"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519467847.897,0.673,0.563,98.523,0.238,0.0,0.003,0.667,0.541,98.549,0.239,0.0,0.004,0.913,0.572,98.288,0.224,0.0,0.003,0.637,0.537,98.577,0.246,0.0,0.003,0.617,0.558,98.593,0.227,0.0,0.003,0.647,0.584,98.522,0.244,0.0,0.003,0.648,0.585,98.527,0.236,0.0,0.003,0.656,0.557,98.538,0.247,0.0,0.003,0.600,0.568,98.587,0.242,0.0,0.003,0.0,0.0,293392384.0,49314111488.0,16159.827,45803.774,1.831,0.469,2.573
1519467849.974,1.148,1.208,73.656,23.988,0.0,0.0,1.442,1.442,38.942,58.173,0.0,0.0,0.481,0.962,72.596,25.962,0.0,0.0,0.483,0.0,97.585,1.932,0.0,0.0,0.966,0.966,84.541,13.527,0.0,0.0,0.481,1.442,95.192,2.885,0.0,0.0,4.348,2.415,30.918,62.319,0.0,0.0,0.0,0.966,94.686,4.348,0.0,0.0,0.976,1.951,74.634,22.439,0.0,0.0,0.0,0.0,299651072.0,49299582976.0,610304.0,12288.0,20.0,111.0,3.0
1519467850.898,2.717,2.174,80.978,14.130,0.0,0.0,1.087,1.087,68.478,29.348,0.0,0.0,12.903,3.226,73.118,10.753,0.0,0.0,3.297,4.396,68.132,24.176,0.0,0.0,0.0,1.087,98.913,0.0,0.0,0.0,2.128,3.191,74.468,20.213,0.0,0.0,1.124,2.247,88.764,7.865,0.0,0.0,1.075,2.151,87.097,9.677,0.0,0.0,1.087,1.087,88.043,9.783,0.0,0.0,0.0,0.0,302665728.0,49290346496.0,3854336.0,81920.0,78.800,305.0,9.0
1519467851.898,2.516,7.044,78.994,11.321,0.0,0.126,1.010,8.081,30.303,60.606,0.0,0.0,2.020,6.061,88.889,3.030,0.0,0.0,1.0,10.0,78.0,11.0,0.0,0.0,1.020,4.082,92.857,2.041,0.0,0.0,1.010,8.081,90.909,0.0,0.0,0.0,1.010,6.061,82.828,10.101,0.0,0.0,1.961,9.804,86.275,1.961,0.0,0.0,11.0,3.0,83.0,2.0,0.0,1.0,7114752.0,9736704.0,308727808.0,49282179072.0,15204352.0,73728.0,100.0,279.0,7.0
1519467852.898,2.381,2.381,78.321,16.917,0.0,0.0,2.0,2.0,58.0,38.0,0.0,0.0,0.0,1.0,86.0,13.0,0.0,0.0,0.990,0.990,91.089,6.931,0.0,0.0,1.010,2.020,71.717,25.253,0.0,0.0,12.0,4.0,67.0,17.0,0.0,0.0,2.0,0.0,76.0,22.0,0.0,0.0,1.010,6.061,84.848,8.081,0.0,0.0,0.0,2.041,91.837,6.122,0.0,0.0,8978432.0,6796800.0,322129920.0,49275420672.0,5685248.0,720896.0,97.600,123.0,38.0
1519467853.898,3.011,6.148,82.183,8.532,0.0,0.125,0.0,1.020,98.980,0.0,0.0,0.0,3.0,3.0,56.0,38.0,0.0,0.0,0.0,1.031,98.969,0.0,0.0,0.0,0.0,1.010,77.778,21.212,0.0,0.0,3.0,30.0,61.0,6.0,0.0,0.0,2.970,5.941,89.109,1.980,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,11.765,5.882,81.373,0.0,0.0,0.980,40710144.0,31673344.0,332103680.0,49199591424.0,8994816.0,16384.0,39.200,123.0,4.0
1519467854.898,4.511,11.153,81.454,2.882,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,88.0,11.0,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,21.0,76.0,0.0,3.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,2.970,92.079,3.960,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,40976384.0,31796224.0,332136448.0,49199050752.0,598528.0,253952.0,20.0,25.0,19.0
1519467855.898,5.270,10.540,83.312,0.878,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,14.0,2.0,80.0,4.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,23.762,76.238,0.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,40976384.0,31796224.0,332128256.0,49199177728.0,0.0,147456.0,12.0,0.0,13.0
1519467856.898,5.257,10.889,81.727,2.128,0.0,0.0,15.152,1.010,83.838,0.0,0.0,0.0,0.0,2.0,89.0,9.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.0,3.0,89.0,7.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,40976384.0,31806464.0,332169216.0,49198968832.0,4096.0,151552.0,12.800,1.0,14.0
1519467857.898,4.386,11.404,81.454,2.757,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,1.0,4.0,90.0,5.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,82.828,17.172,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,40976384.0,31830016.0,334598144.0,49199435776.0,0.0,2899968.0,23.200,0.0,41.0
1519467858.898,5.006,11.014,83.855,0.125,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,3.0,95.0,1.0,0.0,0.0,40976384.0,31802368.0,334602240.0,49198768128.0,319488.0,114688.0,17.200,68.0,10.0
1519467859.898,5.263,11.278,78.070,5.388,0.0,0.0,1.0,4.0,77.0,18.0,0.0,0.0,0.990,0.990,88.119,9.901,0.0,0.0,1.020,1.020,91.837,6.122,0.0,0.0,1.010,1.010,90.909,7.071,0.0,0.0,22.222,77.778,0.0,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,3.0,81.0,3.0,0.0,0.0,40976384.0,31800320.0,334884864.0,49196863488.0,376832.0,16384.0,23.600,68.0,4.0
1519467860.898,5.382,10.388,84.230,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,13.861,0.990,85.149,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,26.733,73.267,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,40976384.0,31801344.0,334884864.0,49196941312.0,4096.0,65536.0,5.200,1.0,5.0
1519467861.898,5.493,10.737,83.021,0.749,0.0,0.0,0.980,3.922,94.118,0.0,0.0,0.980,1.010,2.020,92.929,4.040,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,28.283,71.717,0.0,0.0,0.0,0.0,11.224,4.082,84.694,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,40976384.0,31781888.0,334893056.0,49196179456.0,0.0,20480.0,0.400,0.0,6.0
1519467862.898,5.144,10.916,82.058,1.631,0.0,0.251,1.010,0.0,98.990,0.0,0.0,0.0,1.0,1.0,89.0,9.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,13.861,1.980,84.158,0.0,0.0,0.0,0.0,1.0,96.0,2.0,0.0,1.0,0.990,3.960,95.050,0.0,0.0,0.0,40976384.0,31781888.0,334880768.0,49195335680.0,64512.0,245760.0,19.600,3.0,19.0
1519467863.898,6.125,9.875,83.125,0.875,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,1.980,95.050,2.970,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,2.0,1.0,94.0,3.0,0.0,0.0,30.693,69.307,0.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,40976384.0,31785984.0,334925824.0,49195130880.0,0.0,77824.0,4.0,0.0,8.0
