"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519468761.361,0.684,0.569,98.498,0.246,0.0,0.003,0.673,0.544,98.535,0.243,0.0,0.004,0.920,0.576,98.263,0.238,0.0,0.003,0.644,0.541,98.562,0.250,0.0,0.003,0.630,0.565,98.559,0.242,0.0,0.003,0.657,0.592,98.498,0.250,0.0,0.003,0.671,0.594,98.489,0.243,0.0,0.003,0.665,0.564,98.515,0.253,0.0,0.003,0.612,0.574,98.561,0.249,0.0,0.003,0.0,0.0,300064768.0,49302712320.0,22346.473,49537.637,1.884,0.633,2.644
1519468762.697,1.786,1.974,79.417,16.823,0.0,0.0,1.504,0.752,84.211,13.534,0.0,0.0,0.746,2.239,97.015,0.0,0.0,0.0,0.0,3.008,91.729,5.263,0.0,0.0,0.752,3.008,93.985,2.256,0.0,0.0,2.256,3.008,69.173,25.564,0.0,0.0,0.0,0.758,90.152,9.091,0.0,0.0,7.519,3.008,27.820,60.902,0.0,0.752,0.758,0.0,81.061,18.182,0.0,0.0,0.0,0.0,304861184.0,49286168576.0,446464.0,12288.0,17.200,61.0,3.0
1519468763.361,2.652,3.977,78.030,15.341,0.0,0.0,2.941,7.353,85.294,4.412,0.0,0.0,0.0,5.970,53.731,40.299,0.0,0.0,1.515,3.030,93.939,1.515,0.0,0.0,0.0,3.030,84.848,12.121,0.0,0.0,0.0,3.030,87.879,9.091,0.0,0.0,16.418,4.478,77.612,1.493,0.0,0.0,0.0,0.0,89.062,10.938,0.0,0.0,0.0,3.077,52.308,44.615,0.0,0.0,2572288.0,1827840.0,307191808.0,49284345856.0,3436544.0,282624.0,65.200,140.0,5.0
1519468764.361,2.008,1.255,80.928,15.809,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.0,2.0,16.0,80.0,0.0,1.0,11.881,3.960,84.158,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,1.980,78.218,18.812,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,15917056.0,13165056.0,320581632.0,49269235712.0,13492224.0,716800.0,100.400,182.0,38.0
1519468765.361,2.879,2.378,83.104,11.514,0.0,0.125,1.010,1.010,88.889,9.091,0.0,0.0,16.0,8.0,24.0,52.0,0.0,0.0,1.0,1.0,87.0,11.0,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,1.010,1.010,94.949,3.030,0.0,0.0,2.0,1.0,92.0,5.0,0.0,0.0,1.980,3.960,92.079,1.980,0.0,0.0,0.0,1.961,89.216,7.843,0.0,0.980,32563200.0,36841472.0,333766656.0,49261101056.0,12713984.0,86016.0,87.600,275.0,7.0
1519468766.361,5.521,9.912,81.430,3.137,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,10.101,11.111,68.687,10.101,0.0,0.0,0.0,1.020,94.898,4.082,0.0,0.0,8.163,30.612,51.020,10.204,0.0,0.0,15.152,4.040,80.808,0.0,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,3.960,26.733,68.317,0.990,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,55336960.0,46006272.0,335732736.0,49190232064.0,3129344.0,86016.0,20.400,77.0,7.0
1519468767.361,8.323,8.827,80.706,2.144,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,22.222,33.333,44.444,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,22.0,20.0,58.0,0.0,0.0,0.0,3.093,5.155,80.412,11.340,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,16.495,5.155,72.165,6.186,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,64245760.0,54919168.0,340262912.0,49177247744.0,2801664.0,249856.0,26.400,68.0,14.0
1519468768.361,4.869,10.986,81.898,2.247,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.0,3.0,77.0,6.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.980,0.980,89.216,8.824,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,64245760.0,54925312.0,340328448.0,49175470080.0,0.0,155648.0,11.600,0.0,16.0
1519468769.361,4.887,10.902,83.208,1.003,0.0,0.0,0.0,0.990,98.020,0.990,0.0,0.0,21.782,78.218,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,3.0,88.0,8.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,13.265,1.020,85.714,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,64245760.0,54918144.0,340328448.0,49175535616.0,0.0,77824.0,5.200,0.0,8.0
1519468770.361,4.881,11.014,83.104,1.001,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,22.222,77.778,0.0,0.0,0.0,0.0,11.224,2.041,86.735,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.980,1.980,91.089,4.950,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,2.0,94.0,3.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,64245760.0,54919168.0,340328448.0,49175408640.0,0.0,24576.0,3.600,0.0,6.0
