"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519469479.564,0.689,0.572,98.485,0.251,0.0,0.003,0.677,0.547,98.525,0.248,0.0,0.004,0.929,0.583,98.243,0.242,0.0,0.003,0.647,0.543,98.551,0.256,0.0,0.003,0.635,0.569,98.546,0.246,0.0,0.003,0.662,0.595,98.483,0.256,0.0,0.003,0.674,0.596,98.479,0.247,0.0,0.003,0.670,0.568,98.500,0.259,0.0,0.003,0.616,0.577,98.549,0.255,0.0,0.003,0.0,0.0,302096384.0,49304821760.0,27662.103,49873.165,1.920,0.740,2.667
1519469481.257,1.406,1.332,81.421,15.766,0.0,0.074,1.183,1.775,83.432,13.609,0.0,0.0,0.588,0.588,85.882,12.941,0.0,0.0,0.599,1.198,86.826,11.377,0.0,0.0,0.0,0.0,98.810,1.190,0.0,0.0,5.917,1.775,41.420,50.296,0.0,0.592,1.190,1.190,88.690,8.929,0.0,0.0,1.176,1.176,88.235,9.412,0.0,0.0,0.588,2.353,78.235,18.235,0.0,0.588,0.0,0.0,307548160.0,49292283904.0,405504.0,69632.0,23.200,16.0,6.0
1519469481.564,5.714,3.673,72.653,17.959,0.0,0.0,0.0,3.333,96.667,0.0,0.0,0.0,0.0,0.0,53.333,46.667,0.0,0.0,6.452,6.452,87.097,0.0,0.0,0.0,3.125,3.125,93.750,0.0,0.0,0.0,3.125,3.125,0.0,93.750,0.0,0.0,3.226,3.226,93.548,0.0,0.0,0.0,0.0,0.0,96.774,3.226,0.0,0.0,35.484,6.452,58.065,0.0,0.0,0.0,0.0,0.0,308154368.0,49289129984.0,1400832.0,12288.0,21.600,244.0,3.0
1519469482.564,3.535,6.061,78.157,12.247,0.0,0.0,0.0,7.0,93.0,0.0,0.0,0.0,1.0,7.0,70.0,22.0,0.0,0.0,0.990,7.921,79.208,11.881,0.0,0.0,11.224,6.122,74.490,8.163,0.0,0.0,4.040,5.051,78.788,12.121,0.0,0.0,2.020,6.061,82.828,9.091,0.0,0.0,5.208,4.167,78.125,12.500,0.0,0.0,2.062,7.216,71.134,19.588,0.0,0.0,0.0,0.0,311025664.0,49278820352.0,3010560.0,602112.0,92.800,178.0,41.0
1519469483.564,2.764,7.663,78.266,11.181,0.0,0.126,11.111,7.071,79.798,2.020,0.0,0.0,2.970,6.931,74.257,15.842,0.0,0.0,1.010,7.071,90.909,1.010,0.0,0.0,1.961,9.804,85.294,2.941,0.0,0.0,1.010,9.091,85.859,4.040,0.0,0.0,0.0,5.208,91.667,3.125,0.0,0.0,1.031,7.216,90.722,1.031,0.0,0.0,3.030,7.071,29.293,60.606,0.0,0.0,5713920.0,6257152.0,315609088.0,49276764160.0,8503296.0,102400.0,90.0,214.0,5.0
1519469484.564,2.005,2.256,79.699,16.040,0.0,0.0,1.0,2.0,93.0,4.0,0.0,0.0,0.0,1.0,62.0,37.0,0.0,0.0,14.0,7.0,77.0,2.0,0.0,0.0,0.0,1.010,96.970,2.020,0.0,0.0,0.0,1.010,76.768,22.222,0.0,0.0,0.0,2.0,80.0,18.0,0.0,0.0,0.0,3.0,95.0,2.0,0.0,0.0,1.0,2.0,56.0,41.0,0.0,0.0,8699904.0,5840384.0,330063872.0,49264320512.0,11210752.0,548864.0,86.800,131.0,28.0
1519469485.565,4.762,3.258,82.331,9.524,0.0,0.125,0.0,3.030,96.970,0.0,0.0,0.0,2.0,3.0,87.0,8.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,12.0,2.0,85.0,1.0,0.0,0.0,1.942,3.883,92.233,0.971,0.0,0.971,17.0,3.0,29.0,51.0,0.0,0.0,3.0,6.0,84.0,7.0,0.0,0.0,1.010,3.030,86.869,9.091,0.0,0.0,75497472.0,89445888.0,342896640.0,49103560704.0,12087296.0,16384.0,54.800,162.0,4.0
1519469486.564,7.403,8.657,80.552,3.388,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,0.0,88.889,11.111,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.010,1.010,86.869,11.111,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,41.0,58.0,1.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,120176640.0,111180288.0,343490560.0,49057148928.0,757760.0,266240.0,22.0,22.0,20.0
1519469487.564,5.257,10.513,83.855,0.375,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,2.020,0.0,94.949,3.030,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,122273792.0,115388928.0,343859200.0,49056419840.0,8192.0,663552.0,17.200,2.0,46.0
1519469488.564,5.535,10.943,77.358,6.164,0.0,0.0,1.020,1.020,94.898,3.061,0.0,0.0,1.0,2.0,77.0,20.0,0.0,0.0,12.245,4.082,76.531,7.143,0.0,0.0,2.020,1.010,77.778,19.192,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,19.192,54.545,26.263,0.0,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,6.061,21.212,72.727,0.0,0.0,0.0,130662400.0,121637376.0,343887872.0,49043869696.0,692224.0,86016.0,39.200,136.0,10.0
1519469489.564,7.431,9.824,79.723,2.519,0.0,0.504,11.0,6.0,82.0,1.0,0.0,0.0,1.010,1.010,92.929,5.051,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.020,92.929,4.040,0.0,1.010,2.0,4.0,88.0,4.0,0.0,2.0,43.0,57.0,0.0,0.0,0.0,0.0,2.0,6.0,85.0,6.0,0.0,1.0,0.0,2.020,97.980,0.0,0.0,0.0,153972736.0,153222656.0,359788544.0,49003372544.0,26157056.0,90112.0,31.600,216.0,10.0
1519469490.564,8.597,9.229,81.416,0.759,0.0,0.0,1.020,3.061,95.918,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,13.402,5.155,77.320,4.124,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,2.105,5.263,90.526,2.105,0.0,0.0,44.0,51.0,5.0,0.0,0.0,0.0,210595840.0,209849856.0,415887360.0,48890707968.0,55967744.0,16384.0,33.200,425.0,4.0
1519469491.564,7.277,10.540,80.803,1.380,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.0,2.020,94.949,3.030,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,3.061,4.082,90.816,2.041,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,3.030,8.081,83.838,5.051,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,265121792.0,264374784.0,470675456.0,48780427264.0,55050240.0,77824.0,38.400,420.0,7.0
1519469492.564,7.259,10.513,81.852,0.375,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,14.286,6.122,77.551,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.692,7.692,82.692,1.923,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,321744896.0,316809728.0,527167488.0,48667422720.0,51904512.0,249856.0,40.400,396.0,14.0
1519469493.564,6.633,10.763,77.972,4.631,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,10.891,4.950,72.277,11.881,0.0,0.0,3.0,7.0,75.0,15.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,5.0,86.0,5.0,0.0,0.0,34.0,66.0,0.0,0.0,0.0,0.0,369979392.0,369228288.0,574402560.0,48574078976.0,52559872.0,81920.0,36.400,400.0,10.0
1519469494.564,6.289,10.818,80.377,2.516,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,3.960,91.089,3.960,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,3.061,5.102,89.796,2.041,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,12.121,11.111,65.657,11.111,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,420311040.0,417462784.0,625111040.0,48472174592.0,49676288.0,90112.0,42.0,380.0,10.0
1519469495.564,7.547,10.692,81.258,0.503,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,12.245,3.061,84.694,0.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,4.040,5.051,89.899,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.101,87.879,2.020,0.0,0.0,39.0,61.0,0.0,0.0,0.0,0.0,476934144.0,476184064.0,681558016.0,48358486016.0,56623104.0,16384.0,25.600,430.0,4.0
1519469496.564,8.407,9.285,80.803,1.506,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.0,2.0,84.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,2.041,6.122,87.755,4.082,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,6.0,4.0,86.0,4.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,529362944.0,528612864.0,736006144.0,48249561088.0,54657024.0,77824.0,33.600,417.0,7.0
