"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520421775.355,0.894,1.282,97.577,0.244,0.0,0.003,0.906,1.162,97.788,0.140,0.0,0.004,0.947,1.278,97.674,0.099,0.0,0.002,0.930,1.457,97.461,0.146,0.0,0.007,0.829,1.323,97.755,0.090,0.0,0.002,1.024,1.353,97.469,0.151,0.0,0.002,0.829,1.112,97.523,0.534,0.0,0.002,0.796,1.257,97.702,0.242,0.0,0.002,0.892,1.312,97.245,0.548,0.0,0.003,0.0,0.0,427315200.0,49335128064.0,404589.557,54308.482,1.863,3.518,2.642
1520421778.001,0.951,1.142,73.073,24.833,0.0,0.0,3.462,0.385,39.231,56.923,0.0,0.0,0.0,0.763,87.405,11.832,0.0,0.0,0.763,1.145,51.908,46.183,0.0,0.0,0.377,0.755,92.830,6.038,0.0,0.0,0.382,1.527,97.328,0.763,0.0,0.0,0.760,0.760,81.369,17.110,0.0,0.0,0.0,1.141,95.817,3.042,0.0,0.0,1.141,2.281,39.544,57.034,0.0,0.0,0.0,0.0,434319360.0,49319120896.0,237568.0,139264.0,21.200,50.0,16.0
1520421778.338,5.204,3.346,71.375,20.074,0.0,0.0,2.857,2.857,45.714,48.571,0.0,0.0,2.857,2.857,91.429,2.857,0.0,0.0,3.030,9.091,18.182,69.697,0.0,0.0,0.0,2.941,73.529,23.529,0.0,0.0,34.286,8.571,51.429,5.714,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.030,0.0,90.909,6.061,0.0,0.0,0.0,2.941,97.059,0.0,0.0,0.0,0.0,0.0,434802688.0,49318731776.0,806912.0,12288.0,25.600,62.0,4.0
1520421779.339,6.500,24.750,58.0,10.750,0.0,0.0,5.941,26.733,57.426,9.901,0.0,0.0,6.0,28.0,65.0,1.0,0.0,0.0,4.0,29.0,56.0,11.0,0.0,0.0,5.051,26.263,68.687,0.0,0.0,0.0,4.0,20.0,70.0,6.0,0.0,0.0,7.143,20.408,50.0,22.449,0.0,0.0,15.842,19.802,58.416,5.941,0.0,0.0,4.0,27.0,37.0,32.0,0.0,0.0,4231168.0,4656640.0,438960128.0,49313296384.0,8011776.0,135168.0,83.600,187.0,14.0
1520421780.339,2.253,2.003,82.228,13.517,0.0,0.0,1.0,6.0,75.0,18.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,83.0,15.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,1.0,89.0,9.0,0.0,0.0,12.871,2.970,64.356,19.802,0.0,0.0,1.0,2.0,51.0,46.0,0.0,0.0,7819264.0,4318208.0,453611520.0,49304805376.0,11399168.0,552960.0,93.600,123.0,42.0
1520421781.339,2.622,3.371,80.899,13.109,0.0,0.0,12.0,7.0,81.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,1.980,0.990,90.099,6.931,0.0,0.0,1.961,5.882,86.275,5.882,0.0,0.0,1.0,2.0,89.0,8.0,0.0,0.0,2.020,5.051,75.758,17.172,0.0,0.0,2.0,5.0,27.0,66.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,60325888.0,53777920.0,464896000.0,49158631424.0,10366976.0,212992.0,60.0,128.0,46.0
1520421782.339,2.750,14.0,82.125,1.125,0.0,0.0,0.0,3.030,91.919,5.051,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.980,97.030,0.990,0.0,0.0,4.040,95.960,0.0,0.0,0.0,0.0,12.0,4.0,81.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59371520.0,50792960.0,464957440.0,49159012352.0,12288.0,118784.0,6.800,3.0,9.0
1520421783.339,2.875,12.625,83.625,0.875,0.0,0.0,11.881,4.950,76.238,6.931,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,9.0,91.0,0.0,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59371520.0,50675712.0,465022976.0,49159426048.0,24576.0,286720.0,13.600,3.0,22.0
1520421784.339,8.886,7.134,80.726,3.254,0.0,0.0,9.0,4.0,83.0,4.0,0.0,0.0,2.0,2.0,87.0,9.0,0.0,0.0,3.0,2.0,82.0,13.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,32.0,33.0,35.0,0.0,0.0,0.0,12.245,9.184,78.571,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,70438912.0,61920768.0,466264064.0,49146273792.0,2220032.0,57344.0,18.0,70.0,11.0
1520421785.339,10.606,8.081,80.303,0.884,0.0,0.126,15.0,12.0,70.0,3.0,0.0,0.0,1.053,4.211,94.737,0.0,0.0,0.0,9.804,16.667,70.588,2.941,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,56.842,28.421,14.737,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,74633216.0,66115072.0,470134784.0,49137762304.0,3801088.0,81920.0,12.800,29.0,14.0
1520421786.339,10.480,7.449,82.071,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,9.184,15.306,75.510,0.0,0.0,0.0,2.083,7.292,90.625,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.789,30.526,13.684,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,99774464.0,200307200.0,473157632.0,49109516288.0,2228224.0,126976.0,3.200,17.0,29.0
1520421787.339,9.262,7.635,82.603,0.501,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,1.980,1.980,92.079,3.960,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,13.131,6.061,80.808,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,638935040.0,837841408.0,473157632.0,48595443712.0,0.0,77824.0,4.400,0.0,9.0
1520421788.338,10.957,5.164,82.620,1.259,0.0,0.0,2.041,2.041,95.918,0.0,0.0,0.0,11.0,5.0,84.0,0.0,0.0,0.0,7.071,2.020,90.909,0.0,0.0,0.0,0.0,1.980,97.030,0.990,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,1.980,89.109,7.921,0.0,0.0,64.356,28.713,6.931,0.0,0.0,0.0,1.0,0.0,98.0,1.0,0.0,0.0,932864000.0,943000064.0,473190400.0,48274665472.0,1269760.0,172032.0,28.0,87.0,18.0
1520421789.339,9.632,7.731,68.314,14.322,0.0,0.0,32.990,16.495,46.392,4.124,0.0,0.0,3.030,4.040,24.242,68.687,0.0,0.0,1.031,5.155,93.814,0.0,0.0,0.0,2.0,2.0,79.0,17.0,0.0,0.0,22.449,24.490,53.061,0.0,0.0,0.0,12.121,4.040,72.727,11.111,0.0,0.0,2.062,2.062,89.691,6.186,0.0,0.0,2.0,3.0,88.0,7.0,0.0,0.0,988925952.0,980353536.0,478179328.0,48210219008.0,5996544.0,90112.0,90.800,277.0,14.0
1520421790.339,10.769,3.462,81.410,4.359,0.0,0.0,5.102,2.041,92.857,0.0,0.0,0.0,0.0,1.075,76.344,22.581,0.0,0.0,57.732,13.402,28.866,0.0,0.0,0.0,0.0,3.261,94.565,2.174,0.0,0.0,0.990,2.970,91.089,3.960,0.0,0.990,20.792,2.970,72.277,3.960,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,994725888.0,986310144.0,480919552.0,48203100160.0,1191936.0,81920.0,14.800,16.0,14.0
1520421791.339,11.810,4.878,82.285,0.899,0.0,0.128,14.141,11.111,72.727,2.020,0.0,0.0,11.111,11.111,77.778,0.0,0.0,0.0,45.361,10.309,41.237,2.062,0.0,1.031,1.075,2.151,93.548,3.226,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,10.0,1.0,89.0,0.0,0.0,0.0,1010634752.0,1012291072.0,482959360.0,48179642368.0,1912832.0,77824.0,9.200,31.0,19.0
1520421792.339,13.745,15.511,66.583,4.161,0.0,0.0,17.172,27.273,34.343,21.212,0.0,0.0,46.535,50.495,2.970,0.0,0.0,0.0,29.167,31.250,34.375,5.208,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,14.141,5.051,80.808,0.0,0.0,0.0,2.0,4.0,88.0,6.0,0.0,0.0,1084035072.0,1094072832.0,484679680.0,48090812416.0,1892352.0,65536.0,30.800,94.0,9.0
1520421793.339,11.631,11.252,74.716,2.402,0.0,0.0,24.742,21.649,50.515,3.093,0.0,0.0,23.711,32.990,43.299,0.0,0.0,0.0,14.583,18.750,66.667,0.0,0.0,0.0,15.0,9.0,76.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,10.891,5.941,73.267,9.901,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,2.0,2.0,90.0,6.0,0.0,0.0,1111298048.0,1102443008.0,484753408.0,48055197696.0,176128.0,212992.0,19.600,5.0,28.0
