"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520494250.666,1.407,2.348,95.902,0.340,0.0,0.003,1.052,1.448,97.297,0.199,0.0,0.004,1.568,2.584,95.696,0.150,0.0,0.002,1.167,1.948,96.674,0.205,0.0,0.006,1.572,2.865,95.420,0.142,0.0,0.002,1.419,2.237,96.123,0.219,0.0,0.002,1.414,2.293,95.641,0.650,0.0,0.002,1.246,2.193,96.253,0.306,0.0,0.002,1.814,3.214,94.115,0.853,0.0,0.004,6175752192.0,6167112192.0,492580864.0,42835304448.0,382986.935,81135.373,2.618,4.112,5.122
1520494251.682,8.674,6.939,71.499,12.887,0.0,0.0,0.0,0.0,83.838,16.162,0.0,0.0,0.980,0.0,87.255,11.765,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,0.980,97.059,0.980,0.0,0.0,0.0,1.961,98.039,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,12.0,6.0,18.0,64.0,0.0,0.0,0.0,0.990,87.129,11.881,0.0,0.0,6175752192.0,6167112192.0,494186496.0,42833801216.0,0.0,16384.0,0.0,0.0,4.0
1520494252.641,9.269,6.397,82.637,1.697,0.0,0.0,1.042,1.042,97.917,0.0,0.0,0.0,0.0,2.105,93.684,4.211,0.0,0.0,0.0,2.105,97.895,0.0,0.0,0.0,0.0,1.042,98.958,0.0,0.0,0.0,14.583,2.083,83.333,0.0,0.0,0.0,56.250,43.750,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.042,0.0,89.583,9.375,0.0,0.0,6175752192.0,6167111168.0,494125056.0,42833104896.0,8192.0,516096.0,22.400,2.0,44.0
1520494253.641,8.271,7.268,81.830,2.632,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,10.101,5.051,84.848,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,80.808,19.192,0.0,0.0,6175752192.0,6167116288.0,494227456.0,42832723968.0,0.0,438272.0,16.0,0.0,51.0
1520494254.641,8.614,9.114,80.524,1.748,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,4.950,95.050,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,4.0,94.0,1.0,0.0,0.0,13.131,5.051,81.818,0.0,0.0,0.0,52.475,47.525,0.0,0.0,0.0,0.0,1.0,7.0,92.0,0.0,0.0,0.0,0.0,0.0,88.0,12.0,0.0,0.0,6175752192.0,6167115264.0,494247936.0,42833866752.0,8192.0,143360.0,8.400,2.0,16.0
1520494255.641,9.363,9.738,79.900,0.874,0.0,0.125,2.0,4.0,94.0,0.0,0.0,0.0,1.0,5.0,94.0,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,2.941,5.882,91.176,0.0,0.0,0.0,5.941,11.881,75.248,6.931,0.0,0.0,12.0,7.0,81.0,0.0,0.0,0.0,47.0,37.0,16.0,0.0,0.0,0.0,6175752192.0,6167110144.0,494247936.0,42833010688.0,0.0,61440.0,4.800,0.0,11.0
1520494256.641,9.512,6.008,83.855,0.626,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,6175752192.0,6167110144.0,494247936.0,42830286848.0,0.0,86016.0,4.0,0.0,33.0
1520494257.641,9.512,6.008,82.728,1.752,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.990,85.149,13.861,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,39.0,0.0,0.0,0.0,1.0,6175752192.0,6167111168.0,494346240.0,42828001280.0,16384.0,393216.0,17.200,4.0,37.0
1520494258.641,10.150,5.263,82.456,2.130,0.0,0.0,14.0,2.0,84.0,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,94.059,3.960,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,87.755,12.245,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,6175752192.0,6167110144.0,494346240.0,42826661888.0,8192.0,131072.0,14.0,2.0,57.0
1520494259.641,9.912,7.654,81.932,0.502,0.0,0.0,1.020,5.102,89.796,4.082,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.990,5.941,93.069,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.0,5.0,80.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,6175752192.0,6167111168.0,494346240.0,42825801728.0,0.0,430080.0,7.600,0.0,63.0
