"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519473827.846,0.704,0.580,98.458,0.254,0.0,0.003,0.685,0.551,98.512,0.249,0.0,0.004,0.930,0.586,98.237,0.244,0.0,0.003,0.665,0.549,98.526,0.257,0.0,0.003,0.645,0.573,98.530,0.248,0.0,0.003,0.682,0.602,98.450,0.262,0.0,0.003,0.693,0.605,98.451,0.248,0.0,0.003,0.682,0.580,98.470,0.265,0.0,0.003,0.654,0.596,98.491,0.256,0.0,0.003,0.0,0.0,313139200.0,49299271680.0,31915.351,50479.548,1.939,0.797,2.685
1519473829.298,2.073,1.382,79.620,16.926,0.0,0.0,2.069,1.379,92.414,4.138,0.0,0.0,1.389,1.389,93.056,4.167,0.0,0.0,0.704,0.704,94.366,4.225,0.0,0.0,0.699,1.399,83.217,14.685,0.0,0.0,0.690,0.690,93.103,5.517,0.0,0.0,4.110,2.055,46.575,47.260,0.0,0.0,0.0,0.694,90.278,9.028,0.0,0.0,6.849,2.055,46.575,44.521,0.0,0.0,0.0,0.0,317222912.0,49288634368.0,962560.0,12288.0,20.400,49.0,3.0
1519473829.847,3.864,1.818,81.818,12.500,0.0,0.0,0.0,1.818,92.727,5.455,0.0,0.0,21.818,3.636,74.545,0.0,0.0,0.0,0.0,1.786,98.214,0.0,0.0,0.0,1.786,1.786,96.429,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.818,0.0,69.091,29.091,0.0,0.0,1.818,5.455,92.727,0.0,0.0,0.0,1.818,1.818,30.909,65.455,0.0,0.0,0.0,0.0,318599168.0,49282703360.0,1769472.0,94208.0,50.800,256.0,8.0
1519473830.847,2.771,5.164,73.300,18.766,0.0,0.0,1.031,2.062,73.196,23.711,0.0,0.0,1.0,5.0,93.0,1.0,0.0,0.0,1.0,4.0,66.0,29.0,0.0,0.0,0.0,2.062,53.608,44.330,0.0,0.0,0.0,7.843,88.235,3.922,0.0,0.0,3.0,9.0,58.0,30.0,0.0,0.0,13.131,5.051,78.788,3.030,0.0,0.0,2.041,5.102,75.510,17.347,0.0,0.0,1101824.0,1119232.0,321441792.0,49273348096.0,3932160.0,339968.0,92.800,158.0,16.0
1519473831.847,1.877,1.377,83.605,13.016,0.0,0.125,0.0,1.0,99.0,0.0,0.0,0.0,1.0,1.0,24.0,74.0,0.0,0.0,11.0,2.0,87.0,0.0,0.0,0.0,0.0,1.0,72.0,27.0,0.0,0.0,1.980,1.980,95.050,0.990,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.990,2.970,92.079,3.960,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,15863808.0,13067776.0,336101376.0,49257951232.0,14270464.0,745472.0,100.800,201.0,67.0
1519473832.847,2.638,2.136,77.010,18.216,0.0,0.0,2.020,5.051,89.899,3.030,0.0,0.0,1.980,1.980,13.861,81.188,0.0,0.990,1.010,2.020,60.606,36.364,0.0,0.0,1.010,0.0,82.828,16.162,0.0,0.0,1.020,1.020,90.816,7.143,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,11685888.0,7806464.0,340434944.0,49260654592.0,5283840.0,176128.0,92.0,115.0,13.0
1519473833.847,3.011,7.152,83.814,6.023,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,3.030,84.848,10.101,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.911,44.554,19.802,26.733,0.0,0.0,12.121,2.020,85.859,0.0,0.0,0.0,1.010,4.040,86.869,8.081,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,53268480.0,43902976.0,350519296.0,49203556352.0,8261632.0,86016.0,33.600,84.0,7.0
1519473834.847,9.285,9.285,80.928,0.502,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,28.571,16.327,55.102,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,20.202,32.323,47.475,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,14.0,11.0,74.0,1.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,8.911,8.911,79.208,2.970,0.0,0.0,58241024.0,48779776.0,354848768.0,49194901504.0,5685248.0,16384.0,14.0,85.0,4.0
1519473835.847,11.832,6.997,79.135,2.036,0.0,0.0,0.0,2.020,96.970,1.010,0.0,0.0,30.392,13.725,55.882,0.0,0.0,0.0,14.141,2.020,79.798,4.040,0.0,0.0,33.673,18.367,47.959,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,11.579,6.316,71.579,10.526,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,2.128,7.447,88.298,2.128,0.0,0.0,62435328.0,52983296.0,359940096.0,49184522240.0,4456448.0,303104.0,21.200,33.0,20.0
1519473836.847,12.005,5.364,81.737,0.894,0.0,0.0,3.030,2.020,92.929,2.020,0.0,0.0,61.458,20.833,17.708,0.0,0.0,0.0,0.0,2.0,93.0,5.0,0.0,0.0,9.0,5.0,86.0,0.0,0.0,0.0,6.316,4.211,89.474,0.0,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,1.042,5.208,93.750,0.0,0.0,0.0,114864128.0,105409024.0,362496000.0,49129172992.0,1761280.0,94208.0,8.400,14.0,10.0
