"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520173067.579,1.129,0.830,97.697,0.340,0.0,0.004,1.062,0.781,97.955,0.198,0.0,0.005,1.345,0.888,97.611,0.153,0.0,0.003,1.177,0.863,97.720,0.230,0.0,0.010,0.992,0.824,98.050,0.132,0.0,0.003,1.441,0.868,97.474,0.215,0.0,0.003,0.908,0.793,97.590,0.706,0.0,0.003,0.984,0.875,97.823,0.315,0.0,0.003,1.125,0.750,97.350,0.771,0.0,0.004,0.0,0.0,279617536.0,49520771072.0,898940.168,64407.564,2.676,7.256,3.381
1520173069.591,0.998,0.811,70.493,27.698,0.0,0.0,0.0,0.503,87.437,12.060,0.0,0.0,0.995,0.995,26.866,71.144,0.0,0.0,6.030,0.0,32.161,61.809,0.0,0.0,0.498,0.995,67.662,30.846,0.0,0.0,0.0,1.0,78.0,21.0,0.0,0.0,0.498,0.498,75.124,23.881,0.0,0.0,0.995,1.493,96.517,0.995,0.0,0.0,0.0,0.498,99.502,0.0,0.0,0.0,0.0,0.0,285966336.0,49507344384.0,385024.0,114688.0,18.800,13.0,11.0
1520173070.563,2.188,2.188,80.695,14.929,0.0,0.0,1.020,2.041,90.816,6.122,0.0,0.0,4.211,3.158,26.316,66.316,0.0,0.0,0.0,1.031,84.536,14.433,0.0,0.0,0.0,3.061,89.796,7.143,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,1.042,0.0,89.583,9.375,0.0,0.0,0.0,0.0,98.958,1.042,0.0,0.0,10.309,7.216,68.041,14.433,0.0,0.0,0.0,0.0,288415744.0,49497718784.0,4194304.0,69632.0,95.200,393.0,13.0
1520173071.563,4.731,21.100,64.322,9.847,0.0,0.0,5.155,25.773,67.010,2.062,0.0,0.0,12.0,30.0,50.0,8.0,0.0,0.0,3.061,21.429,64.286,11.224,0.0,0.0,4.082,19.388,73.469,3.061,0.0,0.0,2.020,18.182,63.636,16.162,0.0,0.0,4.255,17.021,61.702,17.021,0.0,0.0,3.0,19.0,61.0,17.0,0.0,0.0,4.040,17.172,72.727,6.061,0.0,0.0,901120.0,990720.0,289550336.0,49493749760.0,2498560.0,98304.0,54.0,243.0,14.0
1520173072.563,3.865,7.855,75.561,12.594,0.0,0.125,12.745,10.784,75.490,0.980,0.0,0.0,5.0,8.0,87.0,0.0,0.0,0.0,2.970,11.881,85.149,0.0,0.0,0.0,3.061,6.122,90.816,0.0,0.0,0.0,2.020,9.091,63.636,25.253,0.0,0.0,0.990,6.931,78.218,13.861,0.0,0.0,2.0,4.0,35.0,58.0,0.0,1.0,1.980,3.960,90.099,3.960,0.0,0.0,15966208.0,13886976.0,304889856.0,49478238208.0,15220736.0,536576.0,102.400,187.0,37.0
1520173073.563,3.995,6.866,78.402,10.737,0.0,0.0,5.0,7.0,57.0,31.0,0.0,0.0,0.971,7.767,91.262,0.0,0.0,0.0,2.020,3.030,84.848,10.101,0.0,0.0,0.0,5.102,94.898,0.0,0.0,0.0,6.863,7.843,84.314,0.980,0.0,0.0,2.041,3.061,54.082,40.816,0.0,0.0,13.0,7.0,80.0,0.0,0.0,0.0,2.020,15.152,80.808,2.020,0.0,0.0,12472320.0,17701888.0,310349824.0,49470140416.0,4747264.0,532480.0,78.0,84.0,23.0
1520173074.563,5.882,14.268,69.086,10.763,0.0,0.0,6.0,6.0,81.0,7.0,0.0,0.0,3.0,16.0,81.0,0.0,0.0,0.0,3.030,7.071,41.414,48.485,0.0,0.0,2.0,4.0,88.0,6.0,0.0,0.0,9.0,34.0,57.0,0.0,0.0,0.0,20.0,37.0,43.0,0.0,0.0,0.0,3.030,7.071,89.899,0.0,0.0,0.0,1.980,2.970,70.297,24.752,0.0,0.0,112979968.0,84194816.0,319934464.0,49378152448.0,9842688.0,270336.0,48.800,106.0,33.0
1520173075.563,12.798,17.440,68.758,1.004,0.0,0.0,4.902,5.882,86.275,2.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.330,52.577,3.093,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,15.0,4.0,81.0,0.0,0.0,0.0,32.673,66.337,0.990,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,5.0,7.0,83.0,5.0,0.0,0.0,130523136.0,101646336.0,322043904.0,49357615104.0,724992.0,81920.0,9.600,11.0,14.0
1520173076.563,18.546,9.649,70.802,1.003,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,50.505,49.495,0.0,0.0,0.0,0.0,13.861,3.960,82.178,0.0,0.0,0.0,0.0,0.0,91.919,8.081,0.0,0.0,141082624.0,110032896.0,322060288.0,49344716800.0,0.0,86016.0,8.400,0.0,14.0
1520173077.563,29.713,6.117,63.546,0.624,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.0,13.0,69.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.082,13.265,82.653,0.0,0.0,0.0,6.0,11.0,83.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8.081,11.111,76.768,4.040,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,141082624.0,110031872.0,322052096.0,49345028096.0,0.0,61440.0,4.800,0.0,9.0
