"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520174882.807,1.173,0.861,97.612,0.350,0.0,0.004,1.105,0.814,97.876,0.201,0.0,0.005,1.371,0.930,97.533,0.162,0.0,0.003,1.207,0.883,97.665,0.234,0.0,0.010,1.024,0.851,97.982,0.140,0.0,0.003,1.507,0.889,97.376,0.226,0.0,0.003,0.952,0.831,97.488,0.726,0.0,0.003,1.027,0.910,97.739,0.321,0.0,0.003,1.191,0.777,97.238,0.790,0.0,0.004,0.0,0.0,289394688.0,49507078144.0,897920.953,65002.319,2.746,7.326,3.473
1520174885.236,0.982,0.827,72.506,25.685,0.0,0.0,1.240,0.826,90.909,7.025,0.0,0.0,0.0,0.415,99.585,0.0,0.0,0.0,4.149,0.830,22.407,72.614,0.0,0.0,1.653,1.653,21.488,75.207,0.0,0.0,0.0,0.826,83.058,16.116,0.0,0.0,0.0,0.830,78.008,21.162,0.0,0.0,0.415,0.415,99.170,0.0,0.0,0.0,0.0,0.826,86.364,12.810,0.0,0.0,0.0,0.0,297447424.0,49486077952.0,409600.0,57344.0,21.600,85.0,9.0
1520174885.774,4.662,12.587,65.035,17.716,0.0,0.0,0.0,11.765,50.980,37.255,0.0,0.0,20.0,14.545,61.818,3.636,0.0,0.0,1.786,17.857,57.143,23.214,0.0,0.0,1.887,15.094,67.925,15.094,0.0,0.0,1.923,9.615,75.0,13.462,0.0,0.0,1.852,7.407,75.926,14.815,0.0,0.0,5.357,10.714,71.429,12.500,0.0,0.0,3.774,13.208,60.377,22.642,0.0,0.0,0.0,0.0,298102784.0,49482944512.0,806912.0,12288.0,28.400,51.0,3.0
1520174886.774,3.379,8.385,77.972,10.138,0.0,0.125,3.030,9.091,87.879,0.0,0.0,0.0,1.0,12.0,85.0,2.0,0.0,0.0,2.0,7.0,89.0,2.0,0.0,0.0,3.030,7.071,85.859,3.030,0.0,1.010,3.0,7.0,90.0,0.0,0.0,0.0,11.0,8.0,81.0,0.0,0.0,0.0,2.0,10.0,87.0,1.0,0.0,0.0,2.0,8.0,18.0,72.0,0.0,0.0,15884288.0,13240320.0,313593856.0,49466785792.0,16580608.0,479232.0,96.800,264.0,32.0
1520174887.774,6.156,11.432,71.231,11.181,0.0,0.0,6.122,8.163,85.714,0.0,0.0,0.0,4.950,11.881,46.535,36.634,0.0,0.0,5.051,7.071,87.879,0.0,0.0,0.0,7.921,19.802,53.465,18.812,0.0,0.0,1.0,11.0,88.0,0.0,0.0,0.0,5.941,11.881,54.455,27.723,0.0,0.0,4.0,12.0,84.0,0.0,0.0,0.0,15.152,9.091,69.697,6.061,0.0,0.0,16662528.0,19121152.0,321601536.0,49464520704.0,11128832.0,106496.0,86.800,141.0,14.0
1520174888.774,2.500,10.875,82.0,4.625,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,1.020,0.0,78.571,20.408,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,3.0,65.0,31.0,1.0,0.0,0.0,1.980,5.941,79.208,12.871,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,0.0,2.0,95.0,3.0,0.0,0.0,61976576.0,49878016.0,327819264.0,49323085824.0,1925120.0,237568.0,18.0,25.0,19.0
1520174889.774,3.625,11.875,83.500,1.0,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,1.980,1.980,93.069,2.970,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,59424768.0,50625024.0,328003584.0,49325334528.0,172032.0,81920.0,8.800,5.0,14.0
1520174890.774,4.631,11.014,83.354,1.001,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,21.0,79.0,0.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,3.0,81.0,4.0,0.0,0.0,59424768.0,50553344.0,328179712.0,49325748224.0,0.0,73728.0,8.800,0.0,14.0
1520174891.774,6.008,9.387,84.606,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,13.861,2.970,83.168,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,59424768.0,50513408.0,328179712.0,49324331008.0,0.0,16384.0,0.800,0.0,4.0
1520174892.774,7.170,14.465,77.610,0.755,0.0,0.0,3.922,7.843,88.235,0.0,0.0,0.0,12.245,7.143,80.612,0.0,0.0,0.0,1.980,10.891,87.129,0.0,0.0,0.0,3.061,12.245,84.694,0.0,0.0,0.0,27.273,61.616,11.111,0.0,0.0,0.0,4.0,7.0,85.0,4.0,0.0,0.0,1.980,1.980,94.059,1.980,0.0,0.0,2.062,7.216,90.722,0.0,0.0,0.0,63619072.0,54747648.0,328667136.0,49320828928.0,552960.0,61440.0,6.800,11.0,9.0
