"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520175544.895,1.180,0.871,97.592,0.353,0.0,0.004,1.120,0.827,97.848,0.201,0.0,0.005,1.378,0.942,97.514,0.163,0.0,0.003,1.215,0.896,97.644,0.235,0.0,0.010,1.031,0.860,97.963,0.142,0.0,0.003,1.512,0.902,97.357,0.226,0.0,0.003,0.955,0.837,97.468,0.737,0.0,0.003,1.032,0.918,97.726,0.322,0.0,0.003,1.195,0.784,97.218,0.799,0.0,0.004,0.0,0.0,288202752.0,49507229696.0,898220.694,65451.700,2.771,7.346,3.509
1520175547.082,0.801,0.630,73.440,25.129,0.0,0.0,0.457,0.457,25.571,73.516,0.0,0.0,0.459,0.459,98.624,0.459,0.0,0.0,0.457,0.913,96.347,2.283,0.0,0.0,0.457,0.457,73.516,25.571,0.0,0.0,3.182,0.909,63.636,32.273,0.0,0.0,0.0,0.909,88.636,10.455,0.0,0.0,1.389,0.926,62.500,35.185,0.0,0.0,0.0,0.0,78.440,21.560,0.0,0.0,0.0,0.0,294793216.0,49492967424.0,421888.0,53248.0,22.400,89.0,8.0
1520175547.812,4.303,4.303,75.387,16.007,0.0,0.0,7.143,2.857,15.714,74.286,0.0,0.0,2.740,4.110,90.411,2.740,0.0,0.0,0.0,4.110,95.890,0.0,0.0,0.0,17.333,6.667,68.0,8.0,0.0,0.0,1.389,2.778,94.444,1.389,0.0,0.0,1.370,4.110,90.411,4.110,0.0,0.0,1.370,4.110,72.603,21.918,0.0,0.0,1.370,5.479,73.973,19.178,0.0,0.0,0.0,0.0,296919040.0,49482760192.0,3309568.0,57344.0,60.800,274.0,8.0
1520175548.812,6.566,23.737,62.121,7.576,0.0,0.0,4.082,23.469,64.286,8.163,0.0,0.0,4.950,29.703,52.475,12.871,0.0,0.0,3.922,24.510,64.706,6.863,0.0,0.0,5.208,20.833,57.292,16.667,0.0,0.0,15.0,26.0,53.0,6.0,0.0,0.0,8.247,22.680,63.918,4.124,0.0,1.031,7.0,21.0,72.0,0.0,0.0,0.0,5.102,21.429,68.367,5.102,0.0,0.0,0.0,0.0,297877504.0,49481019392.0,1056768.0,12288.0,40.400,95.0,3.0
1520175549.812,2.757,7.644,78.195,11.278,0.0,0.125,3.0,7.0,36.0,54.0,0.0,0.0,1.010,5.051,92.929,0.0,0.0,1.010,1.980,9.901,51.485,36.634,0.0,0.0,3.030,9.091,87.879,0.0,0.0,0.0,0.990,9.901,89.109,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,0.0,2.0,9.0,89.0,0.0,0.0,0.0,10.0,6.0,84.0,0.0,0.0,0.0,9510912.0,10760704.0,305688576.0,49473470464.0,15060992.0,266240.0,98.400,189.0,28.0
1520175550.812,2.387,3.266,80.905,13.317,0.0,0.126,0.0,1.031,80.412,18.557,0.0,0.0,0.0,1.0,64.0,35.0,0.0,0.0,0.0,1.020,72.449,26.531,0.0,0.0,1.010,0.0,87.879,11.111,0.0,0.0,4.0,3.0,93.0,0.0,0.0,0.0,2.0,3.0,92.0,3.0,0.0,0.0,0.0,2.0,97.0,1.0,0.0,0.0,11.224,14.286,63.265,11.224,0.0,0.0,10952704.0,7350272.0,317480960.0,49457758208.0,5427200.0,557056.0,96.800,88.0,47.0
1520175551.812,3.652,6.045,70.403,19.899,0.0,0.0,1.980,1.980,95.050,0.990,0.0,0.0,1.010,7.071,81.818,10.101,0.0,0.0,15.152,7.071,32.323,45.455,0.0,0.0,5.0,9.0,18.0,68.0,0.0,0.0,2.0,5.0,89.0,4.0,0.0,0.0,1.020,5.102,88.776,5.102,0.0,0.0,1.020,7.143,69.388,22.449,0.0,0.0,2.0,7.0,88.0,3.0,0.0,0.0,62234624.0,51444224.0,327913472.0,49380872192.0,8941568.0,1372160.0,95.600,105.0,88.0
1520175552.812,4.881,24.030,66.834,4.255,0.0,0.0,2.020,5.051,67.677,25.253,0.0,0.0,2.0,5.0,93.0,0.0,0.0,0.0,6.061,87.879,5.051,1.010,0.0,0.0,3.0,6.0,89.0,2.0,0.0,0.0,1.020,5.102,93.878,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,18.812,16.832,62.376,1.980,0.0,0.0,4.040,65.657,30.303,0.0,0.0,0.0,115613696.0,81980416.0,328724480.0,49186635776.0,405504.0,233472.0,24.400,10.0,29.0
1520175553.812,7.134,25.657,67.084,0.125,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,3.960,11.881,84.158,0.0,0.0,0.0,7.0,93.0,0.0,0.0,0.0,0.0,2.020,13.131,84.848,0.0,0.0,0.0,15.686,5.882,78.431,0.0,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,2.0,7.0,91.0,0.0,0.0,0.0,27.0,73.0,0.0,0.0,0.0,0.0,114483200.0,82053120.0,328896512.0,49187168256.0,0.0,16384.0,0.0,0.0,4.0
1520175554.812,11.432,16.960,69.347,2.261,0.0,0.0,5.0,1.0,82.0,12.0,0.0,0.0,15.464,6.186,78.351,0.0,0.0,0.0,30.0,45.0,19.0,6.0,0.0,0.0,14.0,5.0,81.0,0.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,125841408.0,93347328.0,330399744.0,49174990848.0,2134016.0,204800.0,20.800,27.0,24.0
