"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519477706.960,0.751,0.611,98.365,0.270,0.0,0.003,0.715,0.572,98.442,0.267,0.0,0.004,0.982,0.625,98.125,0.264,0.0,0.003,0.705,0.574,98.444,0.274,0.0,0.003,0.727,0.616,98.386,0.268,0.0,0.003,0.727,0.632,98.364,0.274,0.0,0.003,0.734,0.633,98.363,0.266,0.0,0.003,0.727,0.617,98.377,0.276,0.0,0.003,0.691,0.616,98.418,0.271,0.0,0.004,0.0,0.0,319406080.0,49289629696.0,42259.564,52047.686,2.057,1.179,2.806
1519477709.720,0.909,0.727,61.699,36.665,0.0,0.0,0.730,0.730,70.073,28.467,0.0,0.0,0.362,0.362,59.420,39.855,0.0,0.0,0.0,0.733,70.696,28.571,0.0,0.0,0.0,0.727,79.636,19.636,0.0,0.0,4.348,1.449,14.855,79.348,0.0,0.0,0.365,0.365,72.628,26.642,0.0,0.0,0.0,0.365,99.635,0.0,0.0,0.0,1.091,1.091,27.273,70.545,0.0,0.0,0.0,0.0,325545984.0,49269010432.0,585728.0,12288.0,13.600,55.0,3.0
1519477709.960,7.812,6.771,76.042,9.375,0.0,0.0,3.846,7.692,84.615,3.846,0.0,0.0,8.696,0.0,91.304,0.0,0.0,0.0,41.667,16.667,41.667,0.0,0.0,0.0,0.0,0.0,95.652,4.348,0.0,0.0,0.0,4.0,88.0,8.0,0.0,0.0,0.0,4.348,95.652,0.0,0.0,0.0,0.0,4.167,79.167,16.667,0.0,0.0,12.500,4.167,37.500,45.833,0.0,0.0,0.0,0.0,326361088.0,49263132672.0,1654784.0,12288.0,20.800,46.0,3.0
1519477710.961,2.261,4.899,76.131,16.583,0.0,0.126,1.010,5.051,84.848,9.091,0.0,0.0,9.901,6.931,78.218,4.950,0.0,0.0,0.0,5.051,75.758,19.192,0.0,0.0,1.010,4.040,80.808,13.131,0.0,1.010,2.041,5.102,86.735,6.122,0.0,0.0,1.0,5.0,25.0,69.0,0.0,0.0,2.020,5.051,85.859,7.071,0.0,0.0,1.010,4.040,91.919,3.030,0.0,0.0,2691072.0,1930240.0,329244672.0,49258254336.0,4042752.0,266240.0,105.200,236.0,17.0
1519477711.961,2.258,1.004,82.936,13.802,0.0,0.0,1.010,1.010,85.859,12.121,0.0,0.0,0.990,0.990,88.119,8.911,0.0,0.990,1.0,1.0,90.0,8.0,0.0,0.0,1.0,1.0,89.0,9.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,1.010,90.909,8.081,0.0,0.0,12.0,1.0,87.0,0.0,0.0,0.0,0.0,2.0,34.0,64.0,0.0,0.0,0.0,11705856.0,344600576.0,49241702400.0,13766656.0,884736.0,91.200,186.0,30.0
1519477712.961,2.387,2.764,82.286,12.563,0.0,0.0,0.0,2.020,64.646,33.333,0.0,0.0,4.040,6.061,77.778,12.121,0.0,0.0,1.0,2.0,79.0,17.0,0.0,1.0,0.0,3.0,86.0,11.0,0.0,0.0,0.0,2.020,92.929,5.051,0.0,0.0,0.990,1.980,92.079,4.950,0.0,0.0,1.0,1.0,80.0,18.0,0.0,0.0,11.111,5.051,83.838,0.0,0.0,0.0,13979648.0,18677248.0,349569024.0,49244246016.0,10723328.0,544768.0,94.800,171.0,35.0
1519477713.961,3.141,7.789,82.286,6.784,0.0,0.0,0.990,1.980,91.089,5.941,0.0,0.0,13.861,5.941,74.257,5.941,0.0,0.0,4.0,6.0,48.0,42.0,0.0,0.0,4.040,46.465,49.495,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,54874112.0,46040576.0,358252544.0,49105829888.0,2576384.0,241664.0,35.600,34.0,16.0
1519477714.961,5.625,10.750,82.750,0.875,0.0,0.0,3.0,2.0,92.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.0,2.0,84.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,55271424.0,46280192.0,358559744.0,49103310848.0,4096.0,16384.0,1.600,1.0,4.0
1519477715.961,5.144,11.920,79.172,3.764,0.0,0.0,0.0,2.0,95.0,3.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,2.020,2.020,91.919,4.040,0.0,0.0,1.010,6.061,81.818,11.111,0.0,0.0,1.980,2.970,90.099,4.950,0.0,0.0,11.111,5.051,76.768,7.071,0.0,0.0,55271424.0,46255616.0,358739968.0,49101586432.0,282624.0,233472.0,31.600,48.0,19.0
1519477716.961,5.375,10.500,83.0,1.125,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,12.0,5.0,79.0,4.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,94.949,5.051,0.0,0.0,55271424.0,48356864.0,358739968.0,49101201408.0,249856.0,81920.0,8.400,5.0,10.0
