"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519486191.431,0.840,0.692,98.165,0.299,0.0,0.004,0.800,0.654,98.239,0.303,0.0,0.004,1.061,0.720,97.924,0.291,0.0,0.004,0.792,0.669,98.224,0.312,0.0,0.004,0.818,0.705,98.184,0.289,0.0,0.004,0.818,0.724,98.158,0.297,0.0,0.004,0.840,0.702,98.160,0.294,0.0,0.004,0.813,0.695,98.188,0.300,0.0,0.004,0.779,0.668,98.246,0.304,0.0,0.004,0.0,0.0,344502272.0,49256443904.0,65274.292,66981.776,2.238,1.461,2.996
1519486193.142,1.465,0.952,79.560,17.949,0.0,0.073,1.754,1.170,69.006,28.070,0.0,0.0,6.936,2.890,27.746,61.850,0.0,0.578,0.585,0.0,97.661,1.754,0.0,0.0,1.176,1.176,54.118,43.529,0.0,0.0,0.592,0.0,97.041,2.367,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.592,93.491,5.917,0.0,0.0,0.588,0.588,98.824,0.0,0.0,0.0,0.0,0.0,350056448.0,49241567232.0,1114112.0,12288.0,15.600,189.0,3.0
1519486193.431,6.926,5.195,77.922,9.957,0.0,0.0,0.0,6.667,90.0,3.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.143,92.857,0.0,0.0,0.0,10.345,10.345,17.241,62.069,0.0,0.0,3.448,0.0,96.552,0.0,0.0,0.0,35.714,7.143,57.143,0.0,0.0,0.0,3.448,10.345,75.862,10.345,0.0,0.0,0.0,6.667,93.333,0.0,0.0,0.0,0.0,0.0,351379456.0,49236791296.0,1892352.0,12288.0,28.0,62.0,3.0
1519486194.432,3.518,6.658,74.246,15.452,0.0,0.126,3.0,8.0,67.0,22.0,0.0,0.0,0.971,7.767,72.816,18.447,0.0,0.0,14.0,8.0,72.0,6.0,0.0,0.0,1.0,8.0,79.0,12.0,0.0,0.0,3.061,6.122,74.490,16.327,0.0,0.0,2.020,6.061,87.879,4.040,0.0,0.0,3.0,4.0,75.0,18.0,0.0,0.0,2.041,5.102,64.286,28.571,0.0,0.0,2170880.0,1538560.0,354332672.0,49232261120.0,3522560.0,360448.0,88.0,209.0,21.0
1519486195.432,1.752,1.627,82.979,13.642,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,1.0,2.0,86.0,11.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.010,89.899,9.091,0.0,0.0,1.010,3.030,10.101,85.859,0.0,0.0,9.0,3.0,86.0,2.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,1.961,1.961,96.078,0.0,0.0,0.0,15953920.0,0.0,368279552.0,49216786432.0,14192640.0,536576.0,98.0,195.0,25.0
1519486196.432,2.390,2.767,81.384,13.459,0.0,0.0,2.020,6.061,87.879,4.040,0.0,0.0,2.020,4.040,23.232,70.707,0.0,0.0,0.0,2.020,77.778,20.202,0.0,0.0,0.990,1.980,96.040,0.0,0.0,0.990,1.010,3.030,95.960,0.0,0.0,0.0,11.224,1.020,87.755,0.0,0.0,0.0,1.010,3.030,94.949,1.010,0.0,0.0,0.0,1.0,88.0,11.0,0.0,0.0,28454912.0,30187520.0,380121088.0,49208819712.0,13140480.0,94208.0,88.800,220.0,7.0
1519486197.432,3.129,11.514,83.605,1.752,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,7.921,76.238,10.891,4.950,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,4.040,87.879,7.071,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,0.0,2.020,95.960,2.020,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,51302400.0,42256384.0,382738432.0,49081921536.0,9728.0,73728.0,3.600,4.0,7.0
1519486198.432,2.130,13.659,84.211,0.0,0.0,0.0,14.141,1.010,84.848,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,51302400.0,42261504.0,382746624.0,49082048512.0,4096.0,16384.0,0.800,1.0,4.0
1519486199.432,2.125,13.625,82.125,2.0,0.0,0.125,1.0,1.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,89.0,11.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.0,94.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51302400.0,42256384.0,382820352.0,49082429440.0,0.0,299008.0,15.200,0.0,20.0
1519486200.432,2.258,13.425,83.187,1.129,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,2.0,89.0,9.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,56033280.0,47040512.0,382803968.0,49077600256.0,636928.0,86016.0,11.600,164.0,10.0
