"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519559291.817,4.432,2.728,92.362,0.473,0.0,0.004,4.087,2.521,92.900,0.487,0.0,0.005,4.665,2.691,92.189,0.450,0.0,0.005,3.785,2.353,93.345,0.512,0.0,0.004,4.177,2.543,92.809,0.467,0.0,0.005,4.997,3.219,91.331,0.448,0.0,0.004,4.549,2.697,92.289,0.460,0.0,0.004,4.483,2.871,92.158,0.484,0.0,0.004,4.716,2.929,91.875,0.476,0.0,0.004,0.0,0.0,564047872.0,49025544192.0,121455.084,151929.730,3.544,3.014,6.140
1519559293.743,1.435,1.239,76.451,20.874,0.0,0.0,0.521,1.042,64.062,34.375,0.0,0.0,1.571,0.524,93.194,4.712,0.0,0.0,1.036,1.036,51.295,46.632,0.0,0.0,0.0,1.053,95.263,3.684,0.0,0.0,1.036,1.036,97.927,0.0,0.0,0.0,5.263,2.632,32.632,59.474,0.0,0.0,0.524,0.524,98.429,0.524,0.0,0.0,1.053,2.105,79.474,17.368,0.0,0.0,0.0,0.0,569843712.0,49011240960.0,909312.0,12288.0,16.400,207.0,3.0
1519559293.918,10.072,5.036,74.820,10.072,0.0,0.0,6.250,6.250,0.0,87.500,0.0,0.0,0.0,5.556,94.444,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.556,0.0,94.444,0.0,0.0,0.0,0.0,5.556,94.444,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,64.706,5.882,29.412,0.0,0.0,0.0,11.111,11.111,77.778,0.0,0.0,0.0,0.0,0.0,569724928.0,49008476160.0,565248.0,12288.0,13.200,33.0,3.0
1519559294.817,4.789,11.268,76.901,7.042,0.0,0.0,2.247,11.236,82.022,4.494,0.0,0.0,3.297,10.989,78.022,7.692,0.0,0.0,3.371,12.360,69.663,14.607,0.0,0.0,3.333,13.333,63.333,20.0,0.0,0.0,14.444,11.111,73.333,1.111,0.0,0.0,4.494,13.483,77.528,4.494,0.0,0.0,3.333,8.889,84.444,3.333,0.0,0.0,3.448,10.345,82.759,3.448,0.0,0.0,0.0,0.0,572252160.0,49002745856.0,2596864.0,12288.0,48.0,111.0,3.0
1519559295.818,2.381,2.256,80.201,15.163,0.0,0.0,12.121,2.020,84.848,1.010,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,3.030,94.949,2.020,0.0,0.0,0.0,2.062,90.722,7.216,0.0,0.0,1.0,1.0,90.0,8.0,0.0,0.0,0.990,2.970,91.089,4.950,0.0,0.0,2.020,3.030,14.141,80.808,0.0,0.0,1.010,1.010,80.808,17.172,0.0,0.0,11558912.0,11473408.0,582434816.0,48990380032.0,14331904.0,376832.0,100.400,222.0,22.0
1519559296.818,2.378,2.503,80.726,14.268,0.0,0.125,1.0,1.0,98.0,0.0,0.0,0.0,1.010,3.030,89.899,6.061,0.0,0.0,11.0,5.0,84.0,0.0,0.0,0.0,1.0,1.0,85.0,13.0,0.0,0.0,1.010,2.020,63.636,33.333,0.0,0.0,0.0,1.980,46.535,51.485,0.0,0.0,3.0,5.0,81.0,11.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,13893632.0,11112960.0,592891904.0,48989163520.0,10838016.0,397312.0,92.0,170.0,20.0
1519559297.818,3.885,6.892,83.584,5.639,0.0,0.0,3.0,6.0,89.0,2.0,0.0,0.0,10.0,40.0,50.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,12.0,5.0,73.0,10.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,3.030,1.010,67.677,28.283,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,67153920.0,58264064.0,601624576.0,48787677184.0,4206592.0,94208.0,32.800,107.0,10.0
1519559298.818,5.912,11.195,81.887,1.006,0.0,0.0,3.061,3.061,93.878,0.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,0.0,12.121,4.040,80.808,3.030,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,2.970,3.960,93.069,0.0,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,5.0,92.0,2.0,0.0,0.0,67420160.0,58562048.0,601628672.0,48785731584.0,0.0,69632.0,3.600,0.0,7.0
1519559299.818,5.514,10.652,82.581,1.253,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,27.0,73.0,0.0,0.0,0.0,0.0,1.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,11.111,4.040,81.818,3.030,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,2.0,91.0,6.0,0.0,0.0,67420160.0,58546688.0,601694208.0,48783794176.0,184320.0,315392.0,31.600,42.0,20.0
1519559300.817,4.625,11.500,80.375,3.500,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,21.0,79.0,0.0,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,0.0,1.0,94.0,5.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,93.878,6.122,0.0,0.0,1.0,1.0,82.0,16.0,0.0,0.0,67420160.0,58552832.0,601845760.0,48782618624.0,98304.0,81920.0,8.400,6.0,8.0
