"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sirena",,,,"User:","andrej"
"Cmdline:","dstat -T -c -C total,0,1,2,3,4,5,6,7 -m -d -D sda --disk-util --disk-tps --output profiling_idle_sirena.csv",,,,"Date:","10 Dec 2017 11:52:06 CET"

"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","util","reads","writs"
1512903126.540,0.173,0.243,99.076,0.508,0.0,0.001,0.141,0.238,99.130,0.490,0.0,0.001,0.202,0.270,98.983,0.544,0.0,0.001,0.127,0.226,99.190,0.455,0.0,0.001,0.170,0.244,99.032,0.552,0.0,0.001,0.210,0.256,98.976,0.557,0.0,0.001,0.142,0.231,99.191,0.436,0.0,0.001,0.257,0.245,98.916,0.581,0.0,0.001,0.133,0.231,99.188,0.447,0.0,0.001,1478430720.0,162394112.0,25086050304.0,23919628288.0,282839.386,311015.177,3.655,1.253,3.406
1512903127.541,0.125,1.0,97.0,1.875,0.0,0.0,0.0,0.0,98.020,1.980,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.990,93.069,5.941,0.0,0.0,0.990,1.980,94.059,2.970,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,1.980,92.079,5.941,0.0,0.0,1479106560.0,162394112.0,25086054400.0,23918948352.0,0.0,188416.0,23.600,0.0,15.0
1512903128.541,0.627,1.003,98.120,0.251,0.0,0.0,0.0,0.0,97.938,2.062,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1479225344.0,162394112.0,25086062592.0,23918821376.0,0.0,28672.0,2.800,0.0,3.0
1512903129.541,0.250,0.876,97.372,1.502,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,91.919,8.081,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1479245824.0,162394112.0,25086062592.0,23918800896.0,0.0,40960.0,12.0,0.0,6.0
1512903130.541,0.376,0.501,97.494,1.629,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,1.0,91.0,8.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,4.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1479606272.0,162394112.0,25086062592.0,23918440448.0,0.0,262144.0,17.200,0.0,32.0
1512903131.541,0.250,0.875,98.875,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1479225344.0,162394112.0,25086062592.0,23918821376.0,0.0,0.0,0.0,0.0,0.0
1512903132.541,0.125,0.125,98.132,1.494,0.0,0.125,0.0,0.990,93.069,5.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,96.040,2.970,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,1479225344.0,162394112.0,25086062592.0,23918821376.0,0.0,172032.0,15.200,0.0,15.0
1512903133.541,0.501,1.003,97.368,1.128,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,99.010,0.990,0.0,0.0,0.0,1.020,95.918,3.061,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,1.980,93.069,3.960,0.0,0.0,1479962624.0,162394112.0,25086062592.0,23918084096.0,0.0,57344.0,10.800,0.0,9.0
1512903134.541,0.125,1.003,97.870,1.003,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,93.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,1479196672.0,162394112.0,25086062592.0,23918850048.0,0.0,172032.0,15.600,0.0,15.0
1512903135.541,0.250,0.626,98.748,0.375,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,95.050,3.960,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,1479573504.0,162394112.0,25086066688.0,23918469120.0,0.0,77824.0,3.200,0.0,16.0
