"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520185349.482,1.633,2.462,95.526,0.374,0.0,0.005,1.520,2.135,96.120,0.219,0.0,0.006,1.812,2.452,95.549,0.182,0.0,0.004,1.642,2.806,95.288,0.252,0.0,0.012,1.516,2.558,95.759,0.162,0.0,0.004,1.986,2.610,95.161,0.240,0.0,0.004,1.445,2.142,95.639,0.771,0.0,0.003,1.469,2.394,95.796,0.336,0.0,0.004,1.673,2.595,94.900,0.827,0.0,0.005,0.0,0.0,4748288000.0,44926382080.0,870351.227,93525.578,2.895,7.155,3.754
1520185350.483,1.748,0.874,96.879,0.375,0.0,0.125,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,10.101,2.020,84.848,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,0.0,4748283904.0,44925120512.0,0.0,86016.0,8.400,0.0,13.0
1520185351.483,1.629,1.003,97.368,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,11.0,2.0,87.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,4748300288.0,44925509632.0,0.0,12288.0,0.400,0.0,3.0
1520185352.483,2.003,1.126,96.871,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,11.111,1.010,87.879,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4748300288.0,44925128704.0,0.0,12288.0,0.0,0.0,3.0
1520185353.483,2.879,5.632,90.738,0.751,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,11.881,5.941,81.188,0.0,0.0,0.990,1.0,5.0,94.0,0.0,0.0,0.0,2.0,6.0,87.0,5.0,0.0,0.0,2.0,8.0,90.0,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,4.0,9.0,87.0,0.0,0.0,0.0,0.0,0.0,4748296192.0,44926685184.0,0.0,61440.0,5.200,0.0,8.0
1520185354.483,1.752,1.001,95.494,1.752,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,2.0,94.0,4.0,0.0,0.0,9.0,3.0,87.0,1.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,0.0,0.0,4748300288.0,44925431808.0,0.0,204800.0,16.400,0.0,27.0
1520185355.483,1.377,1.001,96.746,0.876,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,10.891,1.980,83.168,3.960,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,4748288000.0,44925177856.0,0.0,73728.0,6.800,0.0,13.0
1520185356.483,1.502,1.001,97.497,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.961,2.941,95.098,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,4748300288.0,44925313024.0,0.0,12288.0,0.0,0.0,3.0
1520185357.483,1.752,1.752,96.496,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.804,5.882,84.314,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,4748300288.0,44925370368.0,0.0,12288.0,0.0,0.0,3.0
1520185358.483,2.757,5.514,91.353,0.251,0.0,0.125,0.0,6.0,94.0,0.0,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,13.265,5.102,79.592,2.041,0.0,0.0,1.0,5.0,94.0,0.0,0.0,0.0,2.0,11.0,87.0,0.0,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,1.980,4.950,93.069,0.0,0.0,0.0,0.0,0.0,4748300288.0,44926058496.0,0.0,61440.0,3.200,0.0,8.0
