"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519466793.146,0.656,0.545,98.562,0.233,0.0,0.003,0.653,0.512,98.594,0.237,0.0,0.004,0.897,0.552,98.327,0.220,0.0,0.003,0.617,0.515,98.622,0.243,0.0,0.003,0.601,0.536,98.637,0.222,0.0,0.003,0.637,0.575,98.548,0.237,0.0,0.003,0.629,0.568,98.569,0.230,0.0,0.003,0.635,0.551,98.571,0.240,0.0,0.003,0.581,0.550,98.629,0.236,0.0,0.003,0.0,0.0,294195200.0,49315299328.0,13341.983,44752.859,1.795,0.365,2.516
1519466795.143,1.129,1.003,73.292,24.514,0.0,0.063,2.985,1.990,59.701,35.323,0.0,0.0,0.0,0.500,88.0,11.500,0.0,0.0,3.535,2.020,68.687,25.758,0.0,0.0,0.495,1.980,31.683,65.842,0.0,0.0,1.0,0.500,80.500,18.0,0.0,0.0,1.0,0.0,94.0,5.0,0.0,0.0,0.0,0.0,67.172,32.828,0.0,0.0,0.0,1.010,97.475,1.515,0.0,0.0,0.0,0.0,300130304.0,49300008960.0,344064.0,53248.0,20.800,57.0,7.0
1519466795.356,9.412,2.941,70.0,17.647,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.263,94.737,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,0.0,90.0,5.0,0.0,0.0,0.0,4.762,61.905,33.333,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,0.0,0.0,84.211,15.789,0.0,0.0,61.905,4.762,33.333,0.0,0.0,0.0,0.0,0.0,300040192.0,49297907712.0,1110016.0,12288.0,15.200,188.0,3.0
1519466796.146,2.716,3.674,81.150,12.460,0.0,0.0,1.299,0.0,92.208,6.494,0.0,0.0,3.846,3.846,71.795,20.513,0.0,0.0,1.266,2.532,91.139,5.063,0.0,0.0,12.821,5.128,80.769,1.282,0.0,0.0,1.282,1.282,87.179,10.256,0.0,0.0,1.250,8.750,77.500,12.500,0.0,0.0,1.266,2.532,60.759,35.443,0.0,0.0,0.0,5.128,88.462,6.410,0.0,0.0,0.0,0.0,303083520.0,49289977856.0,2830336.0,65536.0,68.400,142.0,6.0
1519466797.147,4.030,12.343,76.700,6.927,0.0,0.0,1.020,11.224,83.673,4.082,0.0,0.0,3.922,14.706,64.706,16.667,0.0,0.0,5.102,11.224,82.653,1.020,0.0,0.0,2.020,14.141,61.616,22.222,0.0,0.0,1.980,14.851,79.208,3.960,0.0,0.0,11.111,9.091,79.798,0.0,0.0,0.0,4.0,16.0,74.0,6.0,0.0,0.0,3.030,8.081,86.869,2.020,0.0,0.0,4157440.0,2620928.0,306225152.0,49285406720.0,3911680.0,122880.0,62.400,127.0,8.0
1519466798.146,2.0,1.875,79.875,16.125,0.0,0.125,10.0,3.0,81.0,6.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,1.0,2.0,88.0,9.0,0.0,0.0,0.990,2.970,27.723,68.317,0.0,0.0,0.0,1.0,79.0,20.0,0.0,0.0,0.0,1.0,89.0,10.0,0.0,0.0,2.0,4.0,80.0,14.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,319717376.0,49272782848.0,14041088.0,581632.0,94.800,185.0,30.0
1519466799.147,2.628,2.628,81.977,12.766,0.0,0.0,0.0,1.020,86.735,12.245,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,2.0,3.0,92.0,3.0,0.0,0.0,1.0,4.0,91.0,4.0,0.0,0.0,10.891,3.960,83.168,1.980,0.0,0.0,3.960,3.960,12.871,79.208,0.0,0.0,41607168.0,49405952.0,332226560.0,49232150528.0,11653632.0,122880.0,80.400,196.0,12.0
1519466800.147,3.004,12.390,83.980,0.626,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,7.0,90.0,0.0,3.0,0.0,0.0,13.131,4.040,82.828,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,57016320.0,47730688.0,332460032.0,49193750528.0,0.0,16384.0,0.0,0.0,4.0
1519466801.147,3.643,12.312,81.407,2.638,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,92.079,5.941,0.0,0.0,12.871,86.139,0.990,0.0,0.0,0.0,1.010,2.020,84.848,12.121,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,56958976.0,47748096.0,332496896.0,49193447424.0,558080.0,266240.0,23.600,21.0,22.0
1519466802.147,5.006,10.763,84.105,0.125,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,2.0,2.0,95.0,1.0,0.0,0.0,6.122,22.449,71.429,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,16.832,54.455,28.713,0.0,0.0,0.0,56958976.0,47699968.0,332496896.0,49193623552.0,0.0,118784.0,0.400,0.0,5.0
1519466803.147,5.388,11.153,81.328,2.130,0.0,0.0,3.030,3.030,92.929,1.010,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,1.0,82.0,16.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,14.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,56958976.0,47744000.0,332533760.0,49193496576.0,0.0,143360.0,17.600,0.0,18.0
1519466804.147,5.507,10.138,83.354,1.001,0.0,0.0,0.0,2.0,93.0,5.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,27.273,72.727,0.0,0.0,0.0,0.0,56958976.0,47740928.0,332533760.0,49193369600.0,0.0,86016.0,7.600,0.0,10.0
1519466805.147,5.263,10.902,83.584,0.251,0.0,0.0,14.0,3.0,83.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.970,0.0,97.030,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,2.941,1.961,94.118,0.0,0.0,0.980,21.782,78.218,0.0,0.0,0.0,0.0,56958976.0,47740928.0,332533760.0,49193115648.0,8192.0,16384.0,2.0,2.0,4.0
1519466806.147,5.013,10.902,83.584,0.501,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,2.041,93.878,3.061,0.0,0.0,23.232,76.768,0.0,0.0,0.0,0.0,56958976.0,47738880.0,332525568.0,49193242624.0,0.0,77824.0,5.200,0.0,7.0
1519466807.147,5.507,10.263,84.230,0.0,0.0,0.0,12.745,3.922,83.333,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,27.723,72.277,0.0,0.0,0.0,0.0,56958976.0,47745024.0,332533760.0,49193750528.0,8192.0,16384.0,2.400,2.0,4.0
1519466808.147,5.270,11.292,81.179,2.258,0.0,0.0,2.0,4.0,91.0,3.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.041,1.020,90.816,6.122,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,1.020,90.816,8.163,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,56958976.0,47739904.0,332570624.0,49193115648.0,0.0,225280.0,18.400,0.0,19.0
1519466809.147,5.006,10.513,83.479,1.001,0.0,0.0,1.0,0.0,96.0,3.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,12.0,3.0,80.0,5.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,24.242,75.758,0.0,0.0,0.0,0.0,56958976.0,47747072.0,332570624.0,49193369600.0,0.0,86016.0,7.200,0.0,10.0
1519466810.147,4.517,11.041,84.442,0.0,0.0,0.0,11.224,3.061,85.714,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,20.792,79.208,0.0,0.0,0.0,0.0,56958976.0,54439936.0,332570624.0,49194266624.0,9284608.0,16384.0,12.800,290.0,4.0
1519466811.147,6.068,11.252,73.704,8.850,0.0,0.126,1.0,0.0,93.0,6.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.980,1.980,87.129,8.911,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,13.402,7.216,79.381,0.0,0.0,0.0,24.272,57.282,10.680,6.796,0.0,0.971,2.020,3.030,94.949,0.0,0.0,0.0,5.319,15.957,26.596,52.128,0.0,0.0,113852416.0,111064064.0,332570624.0,49140097024.0,57651712.0,69632.0,72.0,1787.0,6.0
1519466812.147,6.508,11.014,74.468,8.010,0.0,0.0,2.0,4.0,60.0,34.0,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,3.922,6.863,59.804,28.431,0.0,0.980,0.0,1.010,98.990,0.0,0.0,0.0,13.131,23.232,63.636,0.0,0.0,0.0,0.0,3.061,96.939,0.0,0.0,0.0,19.388,47.959,32.653,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166674432.0,157266944.0,332570624.0,49085112320.0,45123072.0,69632.0,46.800,1401.0,7.0
1519466813.147,6.658,9.799,81.407,2.136,0.0,0.0,0.0,1.020,95.918,3.061,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,12.0,6.0,78.0,4.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,2.941,2.941,94.118,0.0,0.0,0.0,275726336.0,411001856.0,332611584.0,48975806464.0,0.0,176128.0,19.200,0.0,17.0
