"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519584111.145,4.329,2.738,92.404,0.525,0.0,0.005,3.993,2.530,92.923,0.549,0.0,0.005,4.500,2.656,92.338,0.502,0.0,0.005,3.739,2.419,93.265,0.572,0.0,0.004,4.080,2.549,92.847,0.520,0.0,0.005,4.881,3.251,91.373,0.490,0.0,0.005,4.440,2.692,92.356,0.508,0.0,0.004,4.334,2.824,92.301,0.536,0.0,0.004,4.663,2.985,91.827,0.520,0.0,0.005,0.0,0.0,587386880.0,49001750528.0,142770.221,170500.102,3.898,3.662,6.560
1519584113.763,1.243,0.860,72.323,25.574,0.0,0.0,0.380,0.760,68.061,30.798,0.0,0.0,0.0,0.383,99.617,0.0,0.0,0.0,1.149,0.766,93.870,4.215,0.0,0.0,0.383,0.0,99.617,0.0,0.0,0.0,3.065,1.149,56.322,39.464,0.0,0.0,1.149,1.533,78.544,18.774,0.0,0.0,2.290,0.763,60.305,36.641,0.0,0.0,1.887,1.509,23.019,73.585,0.0,0.0,0.0,0.0,593580032.0,48984469504.0,1110016.0,12288.0,15.200,188.0,3.0
1519584114.145,6.230,4.918,78.689,10.164,0.0,0.0,29.730,8.108,62.162,0.0,0.0,0.0,5.128,5.128,89.744,0.0,0.0,0.0,0.0,2.632,97.368,0.0,0.0,0.0,2.632,2.632,65.789,28.947,0.0,0.0,0.0,2.632,94.737,2.632,0.0,0.0,0.0,7.692,89.744,2.564,0.0,0.0,5.128,5.128,89.744,0.0,0.0,0.0,8.108,5.405,37.838,48.649,0.0,0.0,0.0,0.0,595795968.0,48976408576.0,2043904.0,12288.0,32.800,99.0,3.0
1519584115.145,3.383,8.145,73.183,15.288,0.0,0.0,1.010,5.051,84.848,9.091,0.0,0.0,1.010,12.121,84.848,2.020,0.0,0.0,11.881,13.861,72.277,1.980,0.0,0.0,2.062,7.216,76.289,14.433,0.0,0.0,2.041,5.102,91.837,1.020,0.0,0.0,2.970,9.901,49.505,37.624,0.0,0.0,2.0,7.0,91.0,0.0,0.0,0.0,4.950,4.950,36.634,53.465,0.0,0.0,7135232.0,4206592.0,598405120.0,48980680704.0,3293184.0,442368.0,77.200,92.0,23.0
1519584116.145,10.163,1.882,84.442,3.513,0.0,0.0,1.010,2.020,91.919,5.051,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,0.0,2.0,80.0,18.0,0.0,0.0,10.0,3.0,87.0,0.0,0.0,0.0,66.667,2.020,25.253,6.061,0.0,0.0,14606336.0,20649472.0,602263552.0,48972558336.0,13885440.0,102400.0,31.600,141.0,9.0
1519584117.145,1.875,2.750,80.125,15.250,0.0,0.0,0.980,8.824,26.471,63.725,0.0,0.0,10.0,3.0,87.0,0.0,0.0,0.0,0.0,6.931,67.327,25.743,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,0.0,1.020,88.776,10.204,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,0.0,78.0,21.0,0.0,0.0,67321856.0,72413696.0,654725120.0,48867676160.0,51511296.0,270336.0,100.400,395.0,21.0
1519584118.145,6.492,2.871,85.144,5.493,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.663,7.921,53.465,4.950,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,2.970,95.050,0.990,0.0,0.0,13.0,3.0,71.0,13.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.980,4.902,68.627,25.490,0.0,0.0,208486400.0,296567296.0,681578496.0,48710987776.0,10899456.0,24576.0,28.400,84.0,6.0
1519584119.145,13.0,3.0,82.0,2.0,0.0,0.0,0.0,0.0,88.889,11.111,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,1.020,0.0,94.898,4.082,0.0,0.0,388526080.0,382915072.0,712372224.0,48519585792.0,0.0,229376.0,16.400,0.0,19.0
1519584120.145,15.094,1.761,80.377,2.642,0.0,0.126,1.010,0.0,92.929,6.061,0.0,0.0,2.970,2.970,88.119,5.941,0.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,1.020,1.020,96.939,1.020,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,14.141,2.020,83.838,0.0,0.0,0.0,0.980,1.961,93.137,3.922,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,422584320.0,417542656.0,743337984.0,48483921920.0,413696.0,90112.0,22.0,49.0,10.0
1519584121.145,14.125,1.750,83.875,0.125,0.0,0.125,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,98.020,0.990,0.0,0.0,0.0,0.990,0.0,1.0,99.0,0.0,0.0,0.0,10.891,3.960,84.158,0.0,0.0,0.990,0.0,2.0,98.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,424206336.0,418638336.0,745062400.0,48482238464.0,0.0,16384.0,0.400,0.0,4.0
1519584122.145,10.138,1.502,87.359,1.001,0.0,0.0,0.990,0.0,96.040,2.970,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,65.657,0.0,31.313,3.030,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,95.050,2.970,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,424476672.0,419052032.0,745697280.0,48481079296.0,28672.0,2482176.0,9.200,7.0,48.0
1519584123.145,2.258,1.506,95.609,0.627,0.0,0.0,1.010,1.010,92.929,5.051,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,3.960,0.990,95.050,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,11.881,3.960,84.158,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,424476672.0,419056128.0,745697280.0,48481046528.0,0.0,24576.0,4.400,0.0,6.0
1519584124.145,6.0,1.125,91.375,1.500,0.0,0.0,1.0,1.0,90.0,8.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.980,0.0,94.059,3.960,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,29.0,2.0,69.0,0.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,424476672.0,419054080.0,745738240.0,48480919552.0,0.0,229376.0,16.800,0.0,20.0
1519584125.145,3.759,2.005,93.484,0.752,0.0,0.0,2.0,4.0,90.0,4.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,13.0,5.0,82.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,15.0,0.0,85.0,0.0,0.0,0.0,0.0,3.030,95.960,1.010,0.0,0.0,424476672.0,419054080.0,745742336.0,48480870400.0,0.0,122880.0,8.800,0.0,10.0
1519584126.145,2.250,1.375,95.125,1.250,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,12.245,2.041,85.714,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,1.020,96.939,2.041,0.0,0.0,424476672.0,419054080.0,745746432.0,48480919552.0,4096.0,16384.0,1.200,1.0,4.0
1519584127.145,2.375,1.500,96.125,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,11.881,2.970,85.149,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,424476672.0,419060224.0,745746432.0,48481046528.0,0.0,57344.0,1.600,0.0,5.0
1519584128.145,2.256,1.504,95.614,0.627,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,424476672.0,419064320.0,745750528.0,48481046528.0,0.0,24576.0,3.600,0.0,6.0
1519584129.145,1.880,1.629,95.489,1.003,0.0,0.0,0.0,0.990,91.089,7.921,0.0,0.0,9.091,4.040,86.869,0.0,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,424476672.0,419058176.0,745758720.0,48482697216.0,0.0,233472.0,16.0,0.0,17.0
1519584130.145,2.506,1.880,94.486,1.128,0.0,0.0,1.010,1.010,92.929,5.051,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,2.020,0.0,94.949,3.030,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,424476672.0,419066368.0,745775104.0,48482189312.0,8192.0,20480.0,1.600,2.0,6.0
1519584131.145,2.500,1.375,95.250,0.875,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.990,95.050,3.960,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,11.111,3.030,85.859,0.0,0.0,0.0,424476672.0,419058176.0,745779200.0,48482570240.0,0.0,77824.0,8.0,0.0,10.0
1519584132.145,2.003,1.502,96.245,0.250,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,1.0,3.0,95.0,1.0,0.0,0.0,424476672.0,419058176.0,745779200.0,48482824192.0,4096.0,192512.0,2.400,1.0,28.0
1519584133.145,2.128,1.627,95.494,0.751,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,424476672.0,419068416.0,745787392.0,48481808384.0,0.0,24576.0,4.800,0.0,6.0
1519584134.145,2.247,1.373,94.382,1.998,0.0,0.0,0.0,1.020,91.837,7.143,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.970,1.980,93.069,1.980,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,11.111,2.020,86.869,0.0,0.0,0.0,424476672.0,419058176.0,745820160.0,48482570240.0,0.0,208896.0,16.800,0.0,19.0
