"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519467237.466,0.661,0.547,98.553,0.235,0.0,0.003,0.655,0.513,98.591,0.238,0.0,0.004,0.899,0.553,98.324,0.221,0.0,0.003,0.619,0.516,98.618,0.244,0.0,0.003,0.604,0.538,98.631,0.224,0.0,0.003,0.641,0.579,98.535,0.240,0.0,0.003,0.632,0.570,98.562,0.232,0.0,0.003,0.651,0.553,98.550,0.243,0.0,0.003,0.587,0.555,98.617,0.238,0.0,0.003,0.0,0.0,293834752.0,49312763904.0,14414.704,44967.582,1.807,0.409,2.529
1519467239.242,1.410,1.058,79.972,17.560,0.0,0.0,0.562,1.124,89.888,8.427,0.0,0.0,1.130,0.565,97.175,1.130,0.0,0.0,0.0,0.0,89.714,10.286,0.0,0.0,1.667,1.667,91.111,5.556,0.0,0.0,0.562,0.562,87.640,11.236,0.0,0.0,3.977,1.136,51.136,43.750,0.0,0.0,0.562,1.124,76.404,21.910,0.0,0.0,3.955,1.695,55.932,38.418,0.0,0.0,0.0,0.0,299229184.0,49299857408.0,397312.0,204800.0,17.200,14.0,5.0
1519467239.466,8.939,5.587,69.832,15.642,0.0,0.0,0.0,8.696,91.304,0.0,0.0,0.0,4.545,4.545,90.909,0.0,0.0,0.0,4.348,4.348,91.304,0.0,0.0,0.0,47.619,9.524,42.857,0.0,0.0,0.0,0.0,0.0,61.905,38.095,0.0,0.0,8.696,8.696,73.913,8.696,0.0,0.0,0.0,4.545,95.455,0.0,0.0,0.0,4.545,4.545,9.091,81.818,0.0,0.0,0.0,0.0,299868160.0,49298104320.0,176128.0,266240.0,30.0,19.0,19.0
1519467240.466,2.378,3.004,78.974,15.645,0.0,0.0,1.0,2.0,94.0,3.0,0.0,0.0,10.891,2.970,75.248,10.891,0.0,0.0,1.0,2.0,93.0,4.0,0.0,0.0,1.980,2.970,69.307,25.743,0.0,0.0,0.0,2.020,73.737,24.242,0.0,0.0,3.0,4.0,61.0,32.0,0.0,0.0,0.0,3.960,89.109,6.931,0.0,0.0,1.0,5.0,76.0,18.0,0.0,0.0,0.0,0.0,302780416.0,49289048064.0,4222976.0,12288.0,75.600,399.0,3.0
1519467241.466,2.893,6.038,79.119,11.950,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,2.0,8.0,89.0,1.0,0.0,0.0,2.083,4.167,92.708,1.042,0.0,0.0,0.990,8.911,90.099,0.0,0.0,0.0,1.010,6.061,81.818,11.111,0.0,0.0,1.010,2.020,68.687,28.283,0.0,0.0,1.0,9.0,70.0,20.0,0.0,0.0,12.0,8.0,46.0,34.0,0.0,0.0,4657152.0,4261376.0,306749440.0,49286553600.0,7262208.0,155648.0,94.800,203.0,13.0
1519467242.466,2.378,2.003,80.225,15.394,0.0,0.0,14.286,6.122,72.449,7.143,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,66.0,32.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,98.0,1.0,0.0,0.0,1.980,3.960,51.485,42.574,0.0,0.0,0.990,0.990,85.149,12.871,0.0,0.0,1.010,1.010,71.717,26.263,0.0,0.0,7790592.0,3902976.0,320970752.0,49271922688.0,11862016.0,700416.0,102.400,206.0,32.0
1519467243.466,3.141,2.387,81.910,12.563,0.0,0.0,3.0,5.0,87.0,5.0,0.0,0.0,3.0,5.0,86.0,6.0,0.0,0.0,13.0,2.0,80.0,5.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,88.0,7.0,0.0,1.0,1.0,0.0,99.0,0.0,0.0,0.0,2.041,3.061,17.347,77.551,0.0,0.0,40116224.0,31225344.0,332042240.0,49201590272.0,10944000.0,16384.0,67.600,194.0,4.0
1519467244.466,4.523,11.181,80.653,3.643,0.0,0.0,20.202,77.778,0.0,2.020,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.0,3.0,90.0,6.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,90.0,8.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.010,0.0,85.859,13.131,0.0,0.0,40759296.0,31310336.0,332345344.0,49199812608.0,1003520.0,307200.0,26.400,35.0,21.0
1519467245.466,5.368,11.486,82.022,1.124,0.0,0.0,22.0,78.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,3.922,1.961,94.118,0.0,0.0,0.0,2.0,2.0,92.0,4.0,0.0,0.0,1.961,3.922,92.157,1.961,0.0,0.0,13.0,2.0,80.0,5.0,0.0,0.0,40759296.0,31348224.0,332349440.0,49199030272.0,0.0,73728.0,7.600,0.0,10.0
1519467246.466,5.993,10.237,82.647,0.999,0.0,0.125,30.0,70.0,0.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.020,2.020,91.919,4.040,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.0,4.0,79.0,3.0,0.0,0.0,40759296.0,31348224.0,332345344.0,49199001600.0,8192.0,245760.0,11.600,2.0,45.0
