"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519578690.551,4.348,2.764,92.364,0.520,0.0,0.004,4.011,2.552,92.889,0.544,0.0,0.005,4.531,2.681,92.288,0.495,0.0,0.005,3.769,2.441,93.219,0.567,0.0,0.004,4.087,2.573,92.822,0.514,0.0,0.005,4.918,3.285,91.303,0.490,0.0,0.005,4.445,2.717,92.333,0.501,0.0,0.004,4.361,2.852,92.247,0.536,0.0,0.004,4.659,3.014,91.808,0.514,0.0,0.004,0.0,0.0,579051520.0,49015644160.0,141802.134,170635.036,3.868,3.592,6.562
1519578691.853,1.540,0.770,82.964,14.726,0.0,0.0,0.0,0.0,76.744,23.256,0.0,0.0,0.0,1.550,87.597,10.853,0.0,0.0,0.763,0.763,98.473,0.0,0.0,0.0,0.0,0.0,86.047,13.953,0.0,0.0,1.515,1.515,81.818,15.152,0.0,0.0,8.397,1.527,55.725,34.351,0.0,0.0,0.769,0.769,85.385,13.077,0.0,0.0,2.290,1.527,90.076,6.107,0.0,0.0,0.0,0.0,581742592.0,49009901568.0,4096.0,12288.0,1.200,1.0,3.0
1519578692.551,2.873,2.334,93.896,0.898,0.0,0.0,1.429,0.0,97.143,1.429,0.0,0.0,0.0,1.429,98.571,0.0,0.0,0.0,0.0,2.899,97.101,0.0,0.0,0.0,14.493,2.899,75.362,7.246,0.0,0.0,1.429,1.429,97.143,0.0,0.0,0.0,2.899,2.899,94.203,0.0,0.0,0.0,0.0,1.471,98.529,0.0,0.0,0.0,1.449,1.449,97.101,0.0,0.0,0.0,0.0,0.0,582275072.0,49009258496.0,0.0,86016.0,4.800,0.0,6.0
1519578693.551,2.625,1.625,90.750,5.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,2.970,1.980,83.168,11.881,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.010,1.010,94.949,3.030,0.0,0.0,1.010,2.020,88.889,8.081,0.0,0.0,10.784,2.941,86.275,0.0,0.0,0.0,1.980,2.970,79.208,15.842,0.0,0.0,0.0,0.0,583503872.0,49004445696.0,2351104.0,106496.0,59.600,147.0,12.0
1519578694.551,2.513,2.010,84.548,10.930,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,2.0,2.0,91.0,5.0,0.0,0.0,1.010,1.010,79.798,18.182,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.0,3.0,57.0,38.0,0.0,0.0,1.010,2.020,95.960,1.010,0.0,0.0,14.141,3.030,58.586,24.242,0.0,0.0,0.0,0.0,587292672.0,48991907840.0,4784128.0,241664.0,90.0,410.0,5.0
1519578695.551,2.886,6.901,71.267,18.946,0.0,0.0,1.980,4.950,74.257,18.812,0.0,0.0,2.0,8.0,78.0,12.0,0.0,0.0,13.0,9.0,23.0,55.0,0.0,0.0,0.0,8.081,75.758,16.162,0.0,0.0,1.020,6.122,79.592,13.265,0.0,0.0,3.030,5.051,89.899,2.020,0.0,0.0,1.0,6.0,63.0,30.0,0.0,0.0,2.020,6.061,88.889,3.030,0.0,0.0,4644864.0,4721664.0,592289792.0,48984903680.0,8081408.0,266240.0,98.400,236.0,19.0
1519578696.551,2.381,2.130,83.333,12.155,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,2.0,75.0,22.0,0.0,0.0,1.980,0.990,66.337,30.693,0.0,0.0,12.121,3.030,64.646,20.202,0.0,0.0,0.990,0.990,80.198,17.822,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,1.010,0.0,95.960,3.030,0.0,0.0,0.990,6.931,89.109,2.970,0.0,0.0,7991296.0,4593152.0,606289920.0,48974229504.0,11714560.0,987136.0,90.800,134.0,41.0
1519578697.551,3.262,2.258,82.811,11.669,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,2.0,90.0,8.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.990,2.970,94.059,1.980,0.0,0.0,3.061,1.020,95.918,0.0,0.0,0.0,10.101,3.030,83.838,3.030,0.0,0.0,8.0,4.0,11.0,77.0,0.0,0.0,1.010,3.030,92.929,3.030,0.0,0.0,60104704.0,50878464.0,618246144.0,48935641088.0,10407936.0,81920.0,69.200,156.0,12.0
1519578698.551,15.075,1.633,82.789,0.503,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.131,2.020,84.848,0.0,0.0,0.0,2.0,0.0,94.0,4.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,60104704.0,50913280.0,618237952.0,48934174720.0,0.0,65536.0,4.0,0.0,7.0
1519578699.551,14.768,1.001,84.105,0.125,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,12.871,3.960,82.178,0.990,0.0,0.0,60104704.0,50935808.0,618242048.0,48935337984.0,0.0,221184.0,7.600,0.0,10.0
