"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519582753.136,4.336,2.743,92.395,0.522,0.0,0.004,4.001,2.534,92.915,0.545,0.0,0.005,4.509,2.660,92.328,0.498,0.0,0.005,3.742,2.423,93.262,0.569,0.0,0.004,4.085,2.554,92.840,0.516,0.0,0.005,4.888,3.258,91.361,0.489,0.0,0.005,4.448,2.697,92.346,0.504,0.0,0.004,4.342,2.829,92.290,0.534,0.0,0.004,4.670,2.991,91.817,0.517,0.0,0.004,0.0,0.0,578732032.0,49013014528.0,142198.192,170585.727,3.877,3.628,6.545
1519582754.945,1.111,0.694,79.167,19.028,0.0,0.0,0.562,1.124,44.382,53.933,0.0,0.0,0.552,0.552,92.818,6.077,0.0,0.0,6.667,0.556,29.444,63.333,0.0,0.0,0.0,0.0,85.475,14.525,0.0,0.0,0.552,0.552,96.133,2.762,0.0,0.0,0.552,1.105,88.950,9.392,0.0,0.0,0.0,0.552,96.685,2.762,0.0,0.0,0.0,0.556,98.889,0.556,0.0,0.0,0.0,0.0,584474624.0,49000075264.0,397312.0,12288.0,16.800,14.0,3.0
1519582755.136,8.725,5.369,74.497,11.409,0.0,0.0,5.263,10.526,31.579,52.632,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.111,5.556,44.444,38.889,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,57.895,15.789,26.316,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.556,94.444,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,584630272.0,48998670336.0,352256.0,172032.0,18.400,61.0,5.0
1519582756.136,2.506,2.632,77.444,17.419,0.0,0.0,1.0,4.0,64.0,31.0,0.0,0.0,1.010,3.030,75.758,20.202,0.0,0.0,1.961,4.902,50.980,42.157,0.0,0.0,1.010,1.010,92.929,5.051,0.0,0.0,2.020,4.040,90.909,3.030,0.0,0.0,11.111,2.020,71.717,15.152,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,1.0,77.0,21.0,0.0,0.0,0.0,0.0,587505664.0,48989011968.0,4055040.0,196608.0,94.0,342.0,17.0
1519582757.136,9.194,5.038,74.559,11.209,0.0,0.0,2.0,6.0,69.0,23.0,0.0,0.0,1.0,4.0,86.0,9.0,0.0,0.0,1.020,3.061,85.714,10.204,0.0,0.0,3.061,9.184,83.673,4.082,0.0,0.0,10.0,6.0,69.0,15.0,0.0,0.0,55.0,5.0,20.0,20.0,0.0,0.0,1.031,1.031,96.907,1.031,0.0,0.0,0.0,5.0,87.0,8.0,0.0,0.0,11735040.0,9417728.0,592207872.0,48988147712.0,2670592.0,147456.0,38.800,72.0,10.0
1519582758.136,3.011,2.133,85.320,9.536,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,10.891,4.950,84.158,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,11.340,0.0,54.639,34.021,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,4.950,52.475,41.584,0.0,0.0,50204672.0,51923968.0,627187712.0,48916164608.0,42848256.0,225280.0,84.0,331.0,11.0
1519582759.136,7.366,2.247,81.898,8.489,0.0,0.0,0.0,3.061,95.918,1.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.446,3.960,40.594,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.980,4.902,50.0,44.118,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,1.0,79.0,20.0,0.0,0.0,83488768.0,82783232.0,653520896.0,48860463104.0,13627392.0,180224.0,48.800,242.0,19.0
1519582760.136,13.233,2.247,82.522,1.998,0.0,0.0,1.980,1.980,85.149,10.891,0.0,0.0,0.990,0.990,96.040,1.980,0.0,0.0,89.899,7.071,3.030,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,12.0,2.0,84.0,2.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.010,3.030,93.939,2.020,0.0,0.0,139718656.0,135834624.0,693891072.0,48802721792.0,20480.0,110592.0,9.200,5.0,10.0
1519582761.136,14.304,1.757,82.811,1.129,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.010,89.899,9.091,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,153501696.0,148925440.0,705810432.0,48789008384.0,0.0,16384.0,0.0,0.0,4.0
1519582762.136,14.393,1.627,83.229,0.626,0.0,0.125,0.0,0.0,100.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,13.0,4.0,78.0,5.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,159989760.0,155556864.0,710250496.0,48782659584.0,0.0,77824.0,4.400,0.0,7.0
