"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519586188.024,4.345,2.733,92.390,0.527,0.0,0.005,4.011,2.527,92.907,0.551,0.0,0.005,4.540,2.651,92.300,0.504,0.0,0.005,3.732,2.416,93.271,0.576,0.0,0.004,4.105,2.545,92.823,0.523,0.0,0.005,4.878,3.243,91.381,0.493,0.0,0.005,4.443,2.687,92.355,0.510,0.0,0.004,4.370,2.819,92.269,0.538,0.0,0.004,4.678,2.979,91.815,0.524,0.0,0.005,0.0,0.0,596148224.0,48995880960.0,142522.929,170442.443,3.922,3.656,6.588
1519586189.908,1.396,1.064,79.521,18.019,0.0,0.0,1.604,0.0,97.326,1.070,0.0,0.0,2.632,1.053,58.421,37.895,0.0,0.0,0.0,1.058,98.413,0.529,0.0,0.0,5.851,1.596,34.574,57.979,0.0,0.0,0.0,1.070,90.374,8.556,0.0,0.0,0.532,0.532,86.702,12.234,0.0,0.0,1.058,1.058,77.778,20.106,0.0,0.0,0.0,1.064,92.553,6.383,0.0,0.0,0.0,0.0,601944064.0,48981094400.0,425984.0,12288.0,15.200,61.0,3.0
1519586190.083,10.145,6.522,72.464,10.870,0.0,0.0,0.0,5.882,94.118,0.0,0.0,0.0,64.706,17.647,5.882,11.765,0.0,0.0,5.882,0.0,94.118,0.0,0.0,0.0,5.556,11.111,55.556,27.778,0.0,0.0,5.263,15.789,57.895,21.053,0.0,0.0,0.0,11.111,88.889,0.0,0.0,0.0,0.0,0.0,76.471,23.529,0.0,0.0,0.0,5.556,94.444,0.0,0.0,0.0,0.0,0.0,602062848.0,48979640320.0,1105920.0,12288.0,14.800,188.0,3.0
1519586191.024,3.059,2.128,79.388,15.293,0.0,0.133,2.151,2.151,86.022,9.677,0.0,0.0,0.0,1.087,86.957,11.957,0.0,0.0,0.0,1.075,78.495,20.430,0.0,0.0,1.075,1.075,52.688,45.161,0.0,0.0,11.702,4.255,84.043,0.0,0.0,0.0,2.128,2.128,84.043,11.702,0.0,0.0,4.255,2.128,80.851,12.766,0.0,0.0,3.125,2.083,84.375,10.417,0.0,0.0,0.0,0.0,604983296.0,48970297344.0,2953216.0,339968.0,83.200,171.0,21.0
1519586192.025,5.725,18.957,72.901,2.417,0.0,0.0,3.922,20.588,65.686,9.804,0.0,0.0,6.122,18.367,73.469,2.041,0.0,0.0,5.319,17.021,73.404,4.255,0.0,0.0,5.155,17.526,77.320,0.0,0.0,0.0,3.960,24.752,71.287,0.0,0.0,0.0,4.167,16.667,78.125,1.042,0.0,0.0,3.125,16.667,78.125,2.083,0.0,0.0,14.0,18.0,68.0,0.0,0.0,0.0,0.0,0.0,605200384.0,48970547200.0,0.0,86016.0,8.800,0.0,9.0
1519586193.025,5.668,8.942,75.819,9.572,0.0,0.0,1.980,7.921,49.505,39.604,0.0,0.990,3.030,12.121,80.808,4.040,0.0,0.0,19.388,9.184,71.429,0.0,0.0,0.0,0.990,11.881,67.327,19.802,0.0,0.0,11.340,6.186,81.443,1.031,0.0,0.0,3.922,13.725,82.353,0.0,0.0,0.0,3.030,7.071,78.788,11.111,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,10833920.0,5867008.0,608141312.0,48973844480.0,2531328.0,270336.0,48.400,55.0,26.0
1519586194.025,7.895,1.378,89.599,1.128,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,3.0,90.0,5.0,0.0,0.0,48.515,0.990,50.495,0.0,0.0,0.0,0.0,2.0,94.0,4.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,21708800.0,24329728.0,616370176.0,48958353408.0,16633856.0,12288.0,28.800,130.0,3.0
1519586195.025,2.258,2.635,81.179,13.927,0.0,0.0,1.0,2.0,93.0,4.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,1.0,83.0,16.0,0.0,0.0,0.0,6.186,0.0,93.814,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,66584576.0,70194688.0,662884352.0,48863293440.0,46137344.0,323584.0,104.800,354.0,21.0
1519586196.024,2.875,2.375,85.375,9.375,0.0,0.0,0.0,2.041,91.837,6.122,0.0,0.0,10.101,1.010,88.889,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,0.990,7.921,30.693,60.396,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.980,94.059,3.960,0.0,0.0,118886400.0,113096192.0,705961984.0,48772026368.0,29642752.0,86016.0,54.0,228.0,10.0
1519586197.025,12.547,3.011,83.563,0.878,0.0,0.0,0.990,1.980,93.069,3.960,0.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,12.0,5.0,83.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,360022016.0,354510336.0,711680000.0,48529231872.0,0.0,16384.0,0.0,0.0,4.0
