"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519587049.456,4.349,2.730,92.387,0.529,0.0,0.005,4.006,2.524,92.912,0.553,0.0,0.005,4.543,2.647,92.299,0.505,0.0,0.005,3.730,2.414,93.274,0.577,0.0,0.004,4.112,2.542,92.816,0.525,0.0,0.005,4.872,3.239,91.391,0.494,0.0,0.005,4.458,2.684,92.342,0.512,0.0,0.004,4.371,2.816,92.269,0.540,0.0,0.004,4.702,2.975,91.793,0.525,0.0,0.005,0.0,0.0,596099072.0,48993656832.0,143059.423,170350.336,3.934,3.672,6.596
1519587051.549,1.075,1.135,74.074,23.716,0.0,0.0,0.957,0.957,84.211,13.876,0.0,0.0,0.0,0.481,99.519,0.0,0.0,0.0,0.0,0.962,72.115,26.923,0.0,0.0,0.478,0.478,97.129,1.914,0.0,0.0,5.714,1.905,41.905,50.476,0.0,0.0,0.478,0.957,35.885,62.679,0.0,0.0,0.0,1.435,88.995,9.569,0.0,0.0,0.481,0.962,75.0,23.558,0.0,0.0,0.0,0.0,601604096.0,48981725184.0,385024.0,253952.0,25.600,13.0,13.0
1519587052.456,2.348,2.486,79.282,15.884,0.0,0.0,0.0,1.111,88.889,10.0,0.0,0.0,0.0,0.0,98.889,1.111,0.0,0.0,0.0,2.198,75.824,21.978,0.0,0.0,0.0,1.124,92.135,6.742,0.0,0.0,0.0,3.297,87.912,8.791,0.0,0.0,14.286,5.495,43.956,36.264,0.0,0.0,1.099,4.396,91.209,3.297,0.0,0.0,2.174,2.174,56.522,39.130,0.0,0.0,0.0,0.0,603881472.0,48970010624.0,4087808.0,81920.0,77.600,358.0,9.0
1519587053.456,4.689,14.449,72.877,7.858,0.0,0.127,5.0,15.0,69.0,11.0,0.0,0.0,3.125,14.583,76.042,6.250,0.0,0.0,2.083,14.583,80.208,3.125,0.0,0.0,14.141,14.141,71.717,0.0,0.0,0.0,3.0,11.0,77.0,9.0,0.0,0.0,5.882,12.745,60.784,20.588,0.0,0.0,2.105,17.895,73.684,6.316,0.0,0.0,2.913,16.505,74.757,5.825,0.0,0.0,0.0,0.0,605200384.0,48969457664.0,2412544.0,61440.0,42.0,114.0,6.0
1519587054.456,10.487,2.122,83.521,3.745,0.0,0.125,0.0,2.0,93.0,5.0,0.0,0.0,66.337,1.980,22.772,8.911,0.0,0.0,1.980,3.960,94.059,0.0,0.0,0.0,0.0,1.010,97.980,1.010,0.0,0.0,1.010,3.030,92.929,3.030,0.0,0.0,11.111,2.020,86.869,0.0,0.0,0.0,1.961,3.922,81.373,11.765,0.0,0.980,1.020,0.0,98.980,0.0,0.0,0.0,13635584.0,15512064.0,609935360.0,48966877184.0,9166848.0,98304.0,18.800,73.0,6.0
1519587055.456,1.763,2.267,85.642,10.327,0.0,0.0,11.0,2.0,87.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,3.960,85.149,10.891,0.0,0.0,1.031,3.093,45.361,50.515,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.020,5.102,71.429,22.449,0.0,0.0,81633280.0,80009728.0,677036032.0,48833900544.0,63307776.0,180224.0,100.800,486.0,7.0
1519587056.456,2.003,2.128,79.099,16.771,0.0,0.0,0.990,1.980,78.218,18.812,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,12.0,2.0,69.0,17.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,5.051,46.465,48.485,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,4.0,51.0,44.0,0.0,0.0,127860736.0,128152064.0,724254720.0,48739160064.0,48377856.0,311296.0,99.600,372.0,48.0
1519587057.456,10.388,1.877,78.348,9.387,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,78.0,19.0,0.0,0.0,0.0,4.0,69.0,27.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,70.707,2.020,10.101,17.172,0.0,0.0,0.0,2.020,89.899,8.081,0.0,0.0,158175232.0,153899520.0,738668544.0,48701669376.0,28672.0,2392064.0,33.600,3.0,23.0
1519587058.456,14.643,2.503,82.353,0.501,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,3.0,94.0,2.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,11.111,5.051,80.808,3.030,0.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,188182528.0,199250432.0,762265600.0,48673570816.0,4096.0,90112.0,4.400,1.0,7.0
1519587059.456,14.018,1.627,83.354,1.001,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,11.111,3.030,85.859,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,91.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,96.040,2.970,0.990,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,213053440.0,207458816.0,783749120.0,48645287936.0,0.0,245760.0,15.600,0.0,17.0
1519587060.456,9.649,1.378,86.216,2.757,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,1.0,1.0,96.0,2.0,0.0,0.0,0.980,1.961,82.353,14.706,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,1.980,94.059,1.980,0.0,0.0,61.616,2.020,36.364,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,234409984.0,228766208.0,791764992.0,48624209920.0,12288.0,114688.0,13.600,3.0,17.0
1519587061.456,2.010,1.005,96.985,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,11.111,3.030,85.859,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,234409984.0,228770304.0,791764992.0,48624685056.0,0.0,204800.0,8.0,0.0,11.0
1519587062.456,2.013,1.258,91.950,4.780,0.0,0.0,0.0,1.010,87.879,11.111,0.0,0.0,0.0,0.990,78.218,19.802,0.0,0.990,12.121,2.020,81.818,4.040,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,1.010,0.0,95.960,3.030,0.0,0.0,234409984.0,228806144.0,792154112.0,48623128576.0,651264.0,77824.0,33.200,97.0,12.0
1519587063.456,1.889,2.393,92.191,3.526,0.0,0.0,9.091,5.051,85.859,0.0,0.0,0.0,1.010,3.030,89.899,6.061,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.971,3.883,93.204,1.942,0.0,0.0,2.0,2.0,94.0,2.0,0.0,0.0,1.020,3.061,89.796,6.122,0.0,0.0,0.0,2.041,88.776,9.184,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,234409984.0,228808192.0,792465408.0,48621318144.0,421888.0,61440.0,24.400,51.0,7.0
1519587064.456,2.008,1.129,95.734,1.129,0.0,0.0,0.990,1.980,92.079,4.950,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,234409984.0,228824576.0,792469504.0,48620732416.0,0.0,229376.0,16.400,0.0,17.0
1519587065.456,2.253,1.126,94.493,2.128,0.0,0.0,0.0,0.0,89.899,10.101,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.010,1.010,90.909,7.071,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,2.941,0.980,96.078,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,13.0,1.0,86.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,234409984.0,228816384.0,792518656.0,48621494272.0,0.0,77824.0,10.800,0.0,12.0
1519587066.456,2.757,1.253,95.865,0.125,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.980,0.980,97.059,0.980,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,6.122,0.0,93.878,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,235220992.0,231884288.0,792850432.0,48620752896.0,0.0,110592.0,10.0,0.0,10.0
1519587067.456,14.286,1.378,83.208,1.128,0.0,0.0,1.0,2.0,93.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,3.0,91.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,244142080.0,239404544.0,797229056.0,48611160064.0,0.0,16384.0,0.0,0.0,4.0
1519587068.456,14.750,1.375,83.375,0.500,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,3.0,0.0,94.0,3.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,254414848.0,248770048.0,797888512.0,48601812992.0,8192.0,69632.0,4.0,1.0,7.0
1519587069.456,14.340,1.761,83.774,0.126,0.0,0.0,12.0,6.0,82.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,254414848.0,249005568.0,798142464.0,48600653824.0,0.0,184320.0,8.0,0.0,11.0
1519587070.456,14.393,1.377,82.979,1.252,0.0,0.0,13.0,5.0,82.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.010,89.899,9.091,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,256577536.0,251618816.0,798154752.0,48598327296.0,8192.0,94208.0,10.0,2.0,12.0
1519587071.456,14.662,1.128,83.333,0.877,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,3.0,1.0,92.0,4.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,258740224.0,253303296.0,798265344.0,48596303872.0,0.0,61440.0,0.400,0.0,5.0
1519587072.456,14.357,1.498,83.021,1.124,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,11.0,4.0,81.0,4.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.980,1.980,92.079,3.960,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,260091904.0,254833152.0,798269440.0,48593891328.0,0.0,253952.0,8.400,0.0,44.0
1519587073.456,14.518,1.502,83.605,0.375,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,11.881,2.970,85.149,0.0,0.0,0.0,1.010,3.030,92.929,3.030,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,261443584.0,256246272.0,798269440.0,48592748544.0,0.0,94208.0,3.200,0.0,7.0
1519587074.456,14.322,1.759,83.920,0.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,10.0,4.0,86.0,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,263606272.0,258081280.0,798269440.0,48591474688.0,0.0,180224.0,8.0,0.0,11.0
1519587075.456,14.411,1.128,82.581,1.880,0.0,0.0,0.990,0.0,94.059,4.950,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,1.980,0.0,94.059,3.960,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,264146944.0,258679296.0,798302208.0,48590049280.0,0.0,73728.0,8.0,0.0,12.0
1519587076.456,14.268,1.377,83.354,0.876,0.0,0.125,1.0,1.0,98.0,0.0,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.970,1.980,92.079,2.970,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,264957952.0,259617280.0,798302208.0,48588746752.0,0.0,77824.0,6.800,0.0,10.0
1519587077.456,14.662,1.003,84.336,0.0,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,265228288.0,261521920.0,798371840.0,48589287424.0,0.0,16384.0,0.0,0.0,4.0
1519587078.456,14.268,1.752,83.354,0.626,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.980,0.990,92.079,4.950,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,10.0,6.0,84.0,0.0,0.0,0.0,267390976.0,261812736.0,798367744.0,48587128832.0,0.0,77824.0,5.200,0.0,7.0
1519587079.456,14.555,1.882,83.563,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.881,6.931,81.188,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,267390976.0,261857792.0,798375936.0,48587128832.0,0.0,147456.0,8.400,0.0,8.0
1519587080.456,14.393,1.377,81.852,2.378,0.0,0.0,11.224,3.061,85.714,0.0,0.0,0.0,1.980,0.990,85.149,11.881,0.0,0.0,0.990,2.970,95.050,0.990,0.0,0.0,0.0,1.010,92.929,6.061,0.0,0.0,99.010,0.990,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,269283328.0,263840256.0,798400512.0,48584462336.0,0.0,106496.0,10.0,0.0,15.0
1519587081.456,14.160,1.504,83.459,0.752,0.0,0.125,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,97.959,2.041,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.980,1.980,92.079,3.960,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,86.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,270630912.0,265943552.0,798412800.0,48583319552.0,0.0,81920.0,7.600,0.0,10.0
