"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519630367.706,3.949,2.494,93.061,0.492,0.0,0.004,3.638,2.307,93.535,0.516,0.0,0.005,4.122,2.420,92.983,0.471,0.0,0.004,3.389,2.206,93.862,0.539,0.0,0.004,3.738,2.325,93.444,0.488,0.0,0.004,4.423,2.953,92.160,0.459,0.0,0.004,4.044,2.454,93.019,0.478,0.0,0.004,3.966,2.570,92.959,0.500,0.0,0.004,4.268,2.717,92.522,0.488,0.0,0.004,0.0,0.0,621117440.0,48973541376.0,131242.830,155164.911,3.652,3.403,6.085
1519630369.182,1.699,1.529,81.818,14.953,0.0,0.0,2.721,2.721,75.510,19.048,0.0,0.0,0.680,2.041,95.238,2.041,0.0,0.0,6.122,1.361,57.143,35.374,0.0,0.0,0.0,0.680,97.279,2.041,0.0,0.0,0.676,1.351,76.351,21.622,0.0,0.0,0.676,1.351,95.270,2.703,0.0,0.0,2.013,1.342,77.852,18.792,0.0,0.0,1.351,2.027,78.378,18.243,0.0,0.0,0.0,0.0,625328128.0,48961396736.0,1007616.0,12288.0,20.0,77.0,3.0
1519630369.706,3.373,1.687,83.373,11.566,0.0,0.0,1.961,0.0,98.039,0.0,0.0,0.0,1.961,0.0,98.039,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,19.231,3.846,76.923,0.0,0.0,0.0,3.846,1.923,82.692,11.538,0.0,0.0,0.0,3.922,96.078,0.0,0.0,0.0,0.0,0.0,17.647,82.353,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,627073024.0,48957030400.0,1241088.0,229376.0,49.200,130.0,9.0
1519630370.706,2.010,3.015,79.648,15.327,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,4.0,80.0,16.0,0.0,0.0,0.980,3.922,85.294,9.804,0.0,0.0,0.0,5.0,91.0,4.0,0.0,0.0,1.020,2.041,76.531,20.408,0.0,0.0,11.881,1.980,80.198,5.941,0.0,0.0,1.020,3.061,51.020,44.898,0.0,0.0,0.0,2.041,74.490,23.469,0.0,0.0,0.0,0.0,630071296.0,48949211136.0,4231168.0,139264.0,91.600,379.0,10.0
1519630371.707,2.018,3.026,78.310,16.646,0.0,0.0,0.0,1.010,89.899,9.091,0.0,0.0,1.0,4.0,90.0,5.0,0.0,0.0,1.980,3.960,94.059,0.0,0.0,0.0,1.010,2.020,90.909,6.061,0.0,0.0,1.020,3.061,37.755,58.163,0.0,0.0,1.020,1.020,83.673,14.286,0.0,0.0,1.020,3.061,60.204,35.714,0.0,0.0,9.901,4.950,80.198,4.950,0.0,0.0,6787072.0,4598272.0,636047360.0,48940679168.0,7524352.0,258048.0,100.0,247.0,14.0
1519630372.707,2.381,1.880,80.201,15.539,0.0,0.0,1.0,1.0,89.0,9.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.041,5.102,78.571,14.286,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,2.0,2.0,48.0,48.0,0.0,0.0,0.0,2.0,71.0,27.0,0.0,0.0,11.0,3.0,84.0,2.0,0.0,0.0,2.020,1.010,73.737,23.232,0.0,0.0,7778304.0,5895680.0,647979008.0,48931414016.0,12124160.0,598016.0,100.400,136.0,32.0
1519630373.707,2.760,1.882,78.795,16.437,0.0,0.125,1.010,3.030,78.788,17.172,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,0.0,93.0,5.0,0.0,1.0,1.010,0.0,98.990,0.0,0.0,0.0,0.990,3.960,86.139,8.911,0.0,0.0,0.990,0.990,77.228,20.792,0.0,0.0,3.030,3.030,12.121,80.808,0.0,1.010,11.111,3.030,85.859,0.0,0.0,0.0,44220416.0,42283008.0,659664896.0,48897044480.0,11153408.0,24576.0,80.400,251.0,6.0
1519630374.707,4.762,11.153,81.955,2.005,0.0,0.125,1.042,2.083,91.667,5.208,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,1.980,93.069,3.960,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,15.0,70.0,15.0,0.0,0.0,0.0,6.122,3.061,87.755,3.061,0.0,0.0,9.901,5.941,84.158,0.0,0.0,0.0,1.961,2.941,91.176,3.922,0.0,0.0,57073664.0,47864320.0,660946944.0,48870846464.0,757760.0,286720.0,22.0,8.0,20.0
1519630375.707,9.446,7.809,78.589,4.156,0.0,0.0,18.367,15.306,62.245,4.082,0.0,0.0,2.0,2.0,94.0,2.0,0.0,0.0,5.051,4.040,80.808,10.101,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,18.182,18.182,63.636,0.0,0.0,0.0,1.0,2.0,86.0,11.0,0.0,0.0,30.612,17.347,52.041,0.0,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,69922816.0,60724736.0,661880832.0,48857182208.0,602112.0,212992.0,18.400,54.0,13.0
1519630376.707,6.266,9.649,83.208,0.877,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,1.980,3.960,94.059,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,13.131,2.020,80.808,4.040,0.0,0.0,69922816.0,60724736.0,661897216.0,48856088576.0,0.0,262144.0,18.400,0.0,19.0
