"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519581916.128,4.341,2.746,92.390,0.519,0.0,0.004,4.004,2.536,92.913,0.542,0.0,0.005,4.515,2.663,92.323,0.494,0.0,0.005,3.746,2.425,93.259,0.566,0.0,0.004,4.089,2.556,92.837,0.512,0.0,0.005,4.896,3.262,91.350,0.488,0.0,0.005,4.452,2.699,92.344,0.501,0.0,0.004,4.348,2.833,92.281,0.533,0.0,0.004,4.674,2.994,91.814,0.513,0.0,0.004,0.0,0.0,579366912.0,49011318784.0,141138.025,169498.966,3.860,3.587,6.535
1519581918.121,1.260,1.197,77.946,19.534,0.0,0.063,2.525,1.010,61.616,34.848,0.0,0.0,0.500,0.500,99.0,0.0,0.0,0.0,4.500,1.500,48.500,45.0,0.0,0.500,0.503,0.503,97.487,1.508,0.0,0.0,0.508,2.538,84.772,12.183,0.0,0.0,0.503,2.010,83.920,13.568,0.0,0.0,0.510,0.510,91.837,7.143,0.0,0.0,0.0,0.503,57.286,41.709,0.0,0.503,0.0,0.0,584994816.0,48996204544.0,524288.0,12288.0,18.800,88.0,3.0
1519581918.320,8.805,5.031,74.214,11.950,0.0,0.0,0.0,4.762,90.476,4.762,0.0,0.0,0.0,0.0,94.737,5.263,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,4.762,9.524,85.714,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,57.895,15.789,26.316,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,9.524,4.762,0.0,85.714,0.0,0.0,0.0,0.0,585162752.0,48993767424.0,1314816.0,12288.0,17.200,235.0,3.0
1519581919.128,2.181,2.804,80.530,14.486,0.0,0.0,1.250,2.500,53.750,42.500,0.0,0.0,1.250,3.750,87.500,7.500,0.0,0.0,1.235,3.704,58.025,37.037,0.0,0.0,0.0,2.500,92.500,5.0,0.0,0.0,1.235,2.469,91.358,4.938,0.0,0.0,0.0,0.0,97.500,2.500,0.0,0.0,12.346,4.938,81.481,1.235,0.0,0.0,1.266,2.532,82.278,13.924,0.0,0.0,0.0,0.0,588095488.0,48986439680.0,3129344.0,327680.0,73.600,226.0,13.0
1519581920.128,4.893,12.547,73.651,8.783,0.0,0.125,2.083,10.417,70.833,16.667,0.0,0.0,2.041,11.224,86.735,0.0,0.0,0.0,13.131,12.121,43.434,31.313,0.0,0.0,7.0,11.0,82.0,0.0,0.0,0.0,2.041,11.224,82.653,4.082,0.0,0.0,2.041,12.245,77.551,8.163,0.0,0.0,5.825,17.476,67.961,8.738,0.0,0.0,2.970,13.861,81.188,1.980,0.0,0.0,6717440.0,5230592.0,590241792.0,48990601216.0,5263360.0,155648.0,62.0,149.0,13.0
1519581921.128,2.622,1.124,84.270,11.985,0.0,0.0,4.082,4.082,14.286,77.551,0.0,0.0,1.0,1.0,84.0,14.0,0.0,0.0,12.0,2.0,81.0,5.0,0.0,0.0,1.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.961,0.980,97.059,0.0,0.0,0.0,42135552.0,52424192.0,626642944.0,48953667584.0,49565696.0,12288.0,100.800,461.0,3.0
1519581922.128,2.141,1.259,79.849,16.751,0.0,0.0,1.0,1.0,77.0,21.0,0.0,0.0,0.0,0.0,93.878,6.122,0.0,0.0,2.0,2.0,79.0,17.0,0.0,0.0,1.020,2.041,6.122,90.816,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,85274624.0,88997888.0,671543296.0,48906493952.0,37425152.0,323584.0,105.600,316.0,25.0
1519581923.128,3.755,3.254,85.357,7.635,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,5.941,1.980,92.079,0.0,0.0,0.0,0.0,2.0,90.0,8.0,0.0,0.0,10.204,3.061,32.653,54.082,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,10.891,6.931,82.178,0.0,0.0,0.0,163835904.0,196305920.0,695533568.0,48837197824.0,15605760.0,16384.0,32.0,137.0,4.0
1519581924.128,9.988,1.623,86.142,2.247,0.0,0.0,12.0,3.0,81.0,4.0,0.0,0.0,64.356,3.960,31.683,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.970,1.980,94.059,0.990,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.0,1.0,90.0,8.0,0.0,0.0,207360000.0,203846656.0,695549952.0,48785899520.0,0.0,245760.0,17.200,0.0,19.0
1519581925.128,1.882,1.255,95.985,0.878,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,11.0,3.0,86.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,0.0,0.990,95.050,3.960,0.0,0.0,207618048.0,203981824.0,695558144.0,48786153472.0,0.0,90112.0,8.400,0.0,10.0
