"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519468388.730,0.682,0.567,98.505,0.243,0.0,0.003,0.671,0.543,98.540,0.241,0.0,0.004,0.918,0.575,98.269,0.235,0.0,0.003,0.641,0.540,98.567,0.249,0.0,0.003,0.628,0.564,98.566,0.238,0.0,0.003,0.654,0.591,98.505,0.246,0.0,0.003,0.668,0.593,98.497,0.239,0.0,0.003,0.662,0.563,98.522,0.250,0.0,0.003,0.609,0.571,98.572,0.245,0.0,0.003,0.0,0.0,294162432.0,49309569024.0,20775.972,49338.470,1.862,0.580,2.631
1519468390.358,1.542,1.542,79.029,17.887,0.0,0.0,0.0,1.250,93.750,5.0,0.0,0.0,0.617,0.617,91.358,7.407,0.0,0.0,0.617,1.235,96.296,1.852,0.0,0.0,0.610,1.829,95.122,2.439,0.0,0.0,7.362,2.454,26.994,63.190,0.0,0.0,0.617,0.617,88.889,9.877,0.0,0.0,1.227,1.840,55.828,41.104,0.0,0.0,1.220,3.049,84.146,11.585,0.0,0.0,0.0,0.0,299880448.0,49295495168.0,344064.0,172032.0,17.200,20.0,5.0
1519468390.731,5.0,3.0,74.0,18.0,0.0,0.0,0.0,2.703,97.297,0.0,0.0,0.0,0.0,2.632,78.947,18.421,0.0,0.0,29.730,5.405,64.865,0.0,0.0,0.0,2.632,2.632,65.789,28.947,0.0,0.0,2.778,0.0,0.0,97.222,0.0,0.0,0.0,5.405,91.892,2.703,0.0,0.0,2.778,0.0,97.222,0.0,0.0,0.0,5.263,2.632,92.105,0.0,0.0,0.0,0.0,0.0,300314624.0,49295138816.0,1290240.0,159744.0,37.600,232.0,12.0
1519468391.730,2.760,3.639,77.666,15.935,0.0,0.0,0.0,3.030,85.859,11.111,0.0,0.0,2.0,2.0,81.0,15.0,0.0,0.0,1.0,2.0,77.0,20.0,0.0,0.0,2.0,2.0,85.0,11.0,0.0,0.0,2.970,6.931,51.485,38.614,0.0,0.0,1.980,2.970,93.069,1.980,0.0,0.0,10.891,5.941,60.396,22.772,0.0,0.0,1.031,5.155,87.629,6.186,0.0,0.0,0.0,0.0,303149056.0,49288093696.0,3190784.0,102400.0,85.600,186.0,12.0
1519468392.731,2.258,2.760,77.541,17.440,0.0,0.0,0.0,1.020,95.918,3.061,0.0,0.0,0.0,0.990,49.505,49.505,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.980,56.436,41.584,0.0,0.0,2.020,4.040,90.909,3.030,0.0,0.0,2.020,7.071,55.556,35.354,0.0,0.0,11.111,4.040,81.818,3.030,0.0,0.0,0.990,1.980,93.069,3.960,0.0,0.0,9617408.0,5663744.0,308039680.0,49289416704.0,6266880.0,344064.0,100.800,125.0,52.0
1519468393.731,2.010,1.256,84.548,12.186,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,1.010,0.0,96.970,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,16633856.0,9795072.0,317243392.0,49278115840.0,7000064.0,3047424.0,106.0,157.0,31.0
1519468394.731,2.760,2.258,83.061,11.794,0.0,0.125,0.0,0.0,96.0,4.0,0.0,0.0,1.010,1.010,90.909,7.071,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,2.0,7.0,21.0,70.0,0.0,0.0,2.0,1.0,95.0,2.0,0.0,0.0,12.0,3.0,80.0,5.0,0.0,0.0,0.0,0.990,98.020,0.990,0.0,0.0,4.0,5.0,84.0,7.0,0.0,0.0,52006912.0,45034496.0,333156352.0,49229860864.0,14446592.0,81920.0,61.200,220.0,11.0
1519468395.731,3.639,8.407,86.826,1.129,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,0.0,1.0,94.0,5.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,3.030,38.384,55.556,3.030,0.0,0.0,5.051,15.152,78.788,1.010,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,56655872.0,47329280.0,333750272.0,49221935104.0,528384.0,122880.0,8.800,14.0,10.0
1519468396.731,2.378,1.377,95.745,0.501,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,56655872.0,47334400.0,333766656.0,49222664192.0,0.0,69632.0,4.0,0.0,7.0
1519468397.731,6.784,2.889,89.698,0.628,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,14.0,3.0,80.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,16.667,6.863,75.490,0.980,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,20.408,8.163,70.408,1.020,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,62947328.0,53661696.0,337559552.0,49212739584.0,5222400.0,77824.0,13.600,48.0,7.0
1519468398.730,11.375,5.125,82.125,1.375,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.131,5.051,74.747,7.071,0.0,0.0,0.990,0.990,97.030,0.990,0.0,0.0,2.0,1.0,94.0,3.0,0.0,0.0,19.0,7.0,74.0,0.0,0.0,0.0,0.990,0.990,97.030,0.0,0.0,0.990,56.0,23.0,21.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,104472576.0,99373056.0,341032960.0,49171054592.0,2031616.0,253952.0,10.0,16.0,14.0
1519468399.731,7.375,4.125,87.625,0.875,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,2.020,94.949,3.030,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.020,1.020,94.898,3.061,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,42.574,20.792,36.634,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,113111040.0,104010752.0,341024768.0,49157926912.0,0.0,86016.0,6.800,0.0,10.0
