"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519474063.964,0.706,0.581,98.455,0.255,0.0,0.003,0.685,0.551,98.510,0.250,0.0,0.004,0.932,0.587,98.232,0.245,0.0,0.003,0.666,0.550,98.523,0.258,0.0,0.003,0.648,0.575,98.524,0.249,0.0,0.003,0.683,0.603,98.449,0.262,0.0,0.003,0.694,0.606,98.447,0.250,0.0,0.003,0.682,0.581,98.468,0.265,0.0,0.003,0.655,0.596,98.487,0.258,0.0,0.003,0.0,0.0,310996992.0,49295396864.0,32243.265,50551.083,1.947,0.815,2.692
1519474065.843,1.067,1.600,76.200,21.133,0.0,0.0,0.532,1.064,98.404,0.0,0.0,0.0,0.0,0.535,97.326,2.139,0.0,0.0,0.0,0.535,97.326,2.139,0.0,0.0,2.105,2.105,69.474,26.316,0.0,0.0,0.0,2.139,90.374,7.487,0.0,0.0,3.226,1.613,48.387,46.774,0.0,0.0,0.532,1.596,55.319,42.553,0.0,0.0,2.128,3.191,52.660,42.021,0.0,0.0,0.0,0.0,316895232.0,49284157440.0,372736.0,12288.0,20.800,27.0,4.0
1519474066.052,7.927,5.488,73.171,13.415,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,80.0,15.0,0.0,0.0,52.381,4.762,28.571,14.286,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,0.0,10.526,21.053,68.421,0.0,0.0,10.0,5.0,75.0,10.0,0.0,0.0,0.0,0.0,317243392.0,49281314816.0,1183744.0,12288.0,15.200,224.0,3.0
1519474066.965,2.473,3.984,79.121,14.423,0.0,0.0,1.124,2.247,91.011,5.618,0.0,0.0,1.087,4.348,82.609,11.957,0.0,0.0,12.222,4.444,83.333,0.0,0.0,0.0,1.075,3.226,83.871,11.828,0.0,0.0,3.333,3.333,72.222,21.111,0.0,0.0,1.075,4.301,64.516,30.108,0.0,0.0,1.087,6.522,78.261,14.130,0.0,0.0,1.111,3.333,76.667,18.889,0.0,0.0,0.0,0.0,319905792.0,49272233984.0,2969600.0,102400.0,74.400,158.0,9.0
1519474067.965,3.129,8.260,79.349,9.262,0.0,0.0,1.980,11.881,86.139,0.0,0.0,0.0,1.010,6.061,86.869,6.061,0.0,0.0,2.885,9.615,87.500,0.0,0.0,0.0,11.111,5.051,83.838,0.0,0.0,0.0,1.010,8.081,89.899,1.010,0.0,0.0,2.970,8.911,28.713,59.406,0.0,0.0,1.010,9.091,83.838,6.061,0.0,0.0,1.042,7.292,89.583,2.083,0.0,0.0,4902912.0,4822016.0,324030464.0,49269039104.0,7843840.0,139264.0,87.600,207.0,10.0
1519474068.965,3.023,2.393,82.997,11.587,0.0,0.0,4.0,2.0,91.0,3.0,0.0,0.0,1.010,0.0,96.970,2.020,0.0,0.0,1.0,1.0,62.0,36.0,0.0,0.0,2.041,1.020,94.898,2.041,0.0,0.0,1.0,4.0,93.0,2.0,0.0,0.0,1.0,4.0,67.0,28.0,0.0,0.0,14.141,7.071,68.687,10.101,0.0,0.0,0.990,1.980,87.129,9.901,0.0,0.0,7512064.0,4424704.0,338239488.0,49263001600.0,11444224.0,581632.0,81.600,129.0,26.0
1519474069.965,2.996,2.747,79.526,14.607,0.0,0.125,3.030,5.051,17.172,74.747,0.0,0.0,1.010,0.0,68.687,30.303,0.0,0.0,3.061,4.082,86.735,6.122,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.980,3.960,88.119,5.941,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,11.0,2.0,87.0,0.0,0.0,0.0,0.990,0.0,98.020,0.0,0.0,0.990,55599104.0,46482432.0,349376512.0,49118715904.0,11112448.0,16384.0,71.600,237.0,4.0
1519474070.965,7.215,10.253,81.139,1.392,0.0,0.0,3.061,5.102,87.755,4.082,0.0,0.0,1.020,3.061,93.878,2.041,0.0,0.0,35.354,62.626,2.020,0.0,0.0,0.0,2.970,3.960,92.079,0.990,0.0,0.0,12.245,2.041,85.714,0.0,0.0,0.0,1.010,2.020,93.939,3.030,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.020,3.030,92.929,2.020,0.0,0.0,64770048.0,56605696.0,352194560.0,49104470016.0,2064384.0,327680.0,22.400,31.0,20.0
1519474071.965,7.519,8.897,80.451,3.133,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,41.0,59.0,0.0,0.0,0.0,0.0,12.121,4.040,83.838,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,2.970,2.970,85.149,8.911,0.0,0.0,1.980,0.990,91.089,5.941,0.0,0.0,1.0,2.0,87.0,10.0,0.0,0.0,69988352.0,60768256.0,352382976.0,49095303168.0,323584.0,86016.0,24.400,57.0,8.0
1519474072.965,14.768,1.001,83.229,1.001,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.010,0.0,95.960,3.030,0.0,0.0,69988352.0,60768256.0,352391168.0,49094524928.0,0.0,24576.0,4.0,0.0,6.0
