"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519474475.618,0.710,0.584,98.446,0.256,0.0,0.003,0.687,0.552,98.506,0.251,0.0,0.004,0.934,0.588,98.227,0.247,0.0,0.003,0.673,0.554,98.512,0.258,0.0,0.003,0.656,0.580,98.511,0.251,0.0,0.003,0.687,0.604,98.442,0.263,0.0,0.003,0.697,0.607,98.441,0.252,0.0,0.003,0.692,0.588,98.450,0.267,0.0,0.003,0.657,0.598,98.482,0.259,0.0,0.003,0.0,0.0,311353344.0,49294000128.0,32732.103,50645.180,1.958,0.834,2.703
1519474477.996,1.162,1.320,69.905,27.561,0.0,0.053,0.422,1.688,97.046,0.844,0.0,0.0,1.695,1.271,40.678,56.356,0.0,0.0,0.837,1.255,96.653,1.255,0.0,0.0,1.261,0.840,47.059,50.840,0.0,0.0,0.851,1.277,87.660,10.213,0.0,0.0,1.266,2.110,37.975,58.650,0.0,0.0,0.422,1.688,85.232,12.658,0.0,0.0,2.966,0.424,66.949,29.237,0.0,0.424,0.0,0.0,318439424.0,49273679872.0,1085440.0,12288.0,16.0,23.0,3.0
1519474478.619,3.644,5.870,74.696,15.789,0.0,0.0,1.639,4.918,65.574,27.869,0.0,0.0,0.0,4.918,57.377,37.705,0.0,0.0,1.667,5.0,76.667,16.667,0.0,0.0,1.587,7.937,73.016,17.460,0.0,0.0,1.639,3.279,85.246,9.836,0.0,0.0,3.175,7.937,77.778,11.111,0.0,0.0,19.048,6.349,66.667,6.349,0.0,1.587,1.587,4.762,92.063,1.587,0.0,0.0,1138688.0,1066496.0,320475136.0,49270505472.0,2334720.0,114688.0,60.800,163.0,7.0
1519474479.619,2.267,1.134,83.627,12.972,0.0,0.0,1.020,1.020,57.143,40.816,0.0,0.0,2.0,2.0,92.0,4.0,0.0,0.0,1.010,2.020,57.576,39.394,0.0,0.0,0.0,1.010,80.808,18.182,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,95.960,2.020,0.0,0.0,12.0,2.0,86.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,16097280.0,0.0,335175680.0,49253617664.0,15065088.0,446464.0,91.600,212.0,19.0
1519474480.619,3.129,2.753,82.979,11.139,0.0,0.0,10.0,3.0,87.0,0.0,0.0,0.0,1.010,1.010,95.960,2.020,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.990,1.980,88.119,8.911,0.0,0.0,1.010,3.030,93.939,2.020,0.0,0.0,0.0,1.031,98.969,0.0,0.0,0.0,4.040,5.051,89.899,1.010,0.0,0.0,6.0,4.0,16.0,74.0,0.0,0.0,25378816.0,34006528.0,346001408.0,49247219712.0,13160448.0,94208.0,88.800,197.0,7.0
1519474481.619,6.566,8.586,81.566,3.283,0.0,0.0,10.0,9.0,81.0,0.0,0.0,0.0,0.0,2.020,92.929,5.051,0.0,0.0,19.588,37.113,43.299,0.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,15.0,2.0,83.0,0.0,0.0,0.0,6.0,11.0,72.0,11.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,3.030,5.051,85.859,6.061,0.0,0.0,58183680.0,55408640.0,351682560.0,49110454272.0,2260992.0,380928.0,26.400,31.0,21.0
1519474482.619,7.026,9.285,81.305,2.384,0.0,0.0,37.374,60.606,2.020,0.0,0.0,0.0,0.990,0.990,87.129,10.891,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,0.0,1.010,91.919,7.071,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,3.960,95.050,0.990,0.0,0.0,13.0,4.0,82.0,1.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,68669440.0,59609088.0,351838208.0,49096728576.0,0.0,86016.0,6.800,0.0,10.0
1519474483.619,14.411,1.754,81.203,2.632,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,7.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,0.0,2.041,95.918,2.041,0.0,0.0,11.111,4.040,81.818,3.030,0.0,0.0,0.990,2.970,93.069,2.970,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,68669440.0,59597824.0,351956992.0,49096269824.0,290816.0,118784.0,27.200,50.0,13.0
1519474484.619,14.555,1.506,82.434,1.506,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.878,6.122,0.0,0.0,1.010,0.0,92.929,6.061,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,68669440.0,59589632.0,351993856.0,49095618560.0,0.0,16384.0,0.400,0.0,4.0
1519474485.619,14.518,1.126,83.980,0.375,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,1.0,96.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.861,3.960,82.178,0.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,68669440.0,59588608.0,351993856.0,49094856704.0,8192.0,208896.0,14.0,2.0,13.0
