"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519475322.092,0.717,0.588,98.432,0.259,0.0,0.003,0.695,0.558,98.489,0.255,0.0,0.004,0.938,0.590,98.217,0.251,0.0,0.003,0.681,0.560,98.493,0.262,0.0,0.003,0.666,0.587,98.489,0.255,0.0,0.003,0.696,0.609,98.427,0.265,0.0,0.003,0.704,0.612,98.425,0.255,0.0,0.003,0.696,0.590,98.442,0.269,0.0,0.003,0.661,0.600,98.474,0.261,0.0,0.003,0.0,0.0,310763520.0,49293860864.0,33422.005,50856.552,1.980,0.869,2.726
1519475324.510,1.191,0.880,71.569,26.308,0.0,0.052,0.830,0.415,93.776,4.979,0.0,0.0,0.0,0.415,85.062,14.523,0.0,0.0,0.826,0.826,94.215,4.132,0.0,0.0,0.0,0.418,91.632,7.950,0.0,0.0,2.893,0.826,45.868,50.413,0.0,0.0,1.653,1.240,28.099,69.008,0.0,0.0,2.083,0.833,73.333,23.750,0.0,0.0,0.830,2.075,61.826,35.270,0.0,0.0,0.0,0.0,317857792.0,49274212352.0,741376.0,12288.0,21.200,62.0,3.0
1519475325.092,3.888,4.536,70.410,21.166,0.0,0.0,0.0,3.636,74.545,21.818,0.0,0.0,1.724,3.448,89.655,5.172,0.0,0.0,3.390,6.780,66.102,23.729,0.0,0.0,0.0,1.724,94.828,3.448,0.0,0.0,18.644,6.780,55.932,18.644,0.0,0.0,3.509,3.509,54.386,38.596,0.0,0.0,1.724,1.724,89.655,6.897,0.0,0.0,3.390,6.780,40.678,49.153,0.0,0.0,0.0,0.0,319713280.0,49272586240.0,1708032.0,12288.0,40.400,122.0,3.0
1519475326.093,4.282,13.350,69.018,13.350,0.0,0.0,4.854,15.534,77.670,1.942,0.0,0.0,0.990,15.842,78.218,4.950,0.0,0.0,4.040,15.152,70.707,10.101,0.0,0.0,2.062,14.433,62.887,20.619,0.0,0.0,1.031,13.402,29.897,55.670,0.0,0.0,13.131,10.101,75.758,1.010,0.0,0.0,3.093,14.433,68.041,14.433,0.0,0.0,4.0,8.0,88.0,0.0,0.0,0.0,4096000.0,2800640.0,323604480.0,49267363840.0,4743168.0,311296.0,91.200,218.0,19.0
1519475327.093,2.250,1.500,79.125,17.0,0.0,0.125,1.010,2.020,80.808,16.162,0.0,0.0,1.0,2.0,88.0,9.0,0.0,0.0,1.010,1.010,75.758,22.222,0.0,0.0,0.0,1.980,81.188,16.832,0.0,0.0,12.121,3.030,82.828,2.020,0.0,0.0,0.0,0.990,97.030,1.980,0.0,0.0,1.980,0.990,29.703,67.327,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,336928768.0,49253203968.0,13479936.0,598016.0,88.400,180.0,25.0
1519475328.093,4.528,6.667,76.352,12.453,0.0,0.0,2.970,7.921,88.119,0.990,0.0,0.0,12.871,9.901,45.545,31.683,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,3.030,4.040,68.687,24.242,0.0,0.0,4.0,8.0,55.0,33.0,0.0,0.0,2.062,9.278,87.629,1.031,0.0,0.0,3.030,5.051,90.909,1.010,0.0,0.0,9.184,5.102,78.571,7.143,0.0,0.0,18509824.0,18542080.0,344494080.0,49232080896.0,11669504.0,577536.0,92.400,182.0,25.0
1519475329.093,8.281,18.193,65.621,7.905,0.0,0.0,6.0,9.0,74.0,11.0,0.0,0.0,9.0,32.0,56.0,3.0,0.0,0.0,4.040,60.606,35.354,0.0,0.0,0.0,5.0,13.0,55.0,27.0,0.0,0.0,3.030,4.040,88.889,4.040,0.0,0.0,5.941,13.861,63.366,16.832,0.0,0.0,13.725,3.922,81.373,0.980,0.0,0.0,20.0,10.0,69.0,1.0,0.0,0.0,121536512.0,91005440.0,351379456.0,48966938624.0,2658304.0,278528.0,38.400,45.0,22.0
1519475330.093,14.520,15.909,69.444,0.126,0.0,0.0,22.0,32.0,46.0,0.0,0.0,0.0,2.105,4.211,93.684,0.0,0.0,0.0,22.680,26.804,50.515,0.0,0.0,0.0,16.162,8.081,75.758,0.0,0.0,0.0,3.0,4.0,93.0,0.0,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,46.465,49.495,4.040,0.0,0.0,0.0,139444224.0,112330240.0,352534528.0,48947417088.0,0.0,16384.0,0.0,0.0,4.0
1519475331.093,21.679,7.895,68.546,1.880,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,2.941,1.961,87.255,7.843,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,15.842,5.941,71.287,6.931,0.0,0.0,1.020,3.061,95.918,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,91.0,9.0,0.0,0.0,0.0,0.0,147832832.0,116527616.0,352567296.0,48936501248.0,0.0,233472.0,15.600,0.0,19.0
1519475332.093,27.284,1.377,70.463,0.876,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.131,4.040,78.788,4.040,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,2.041,2.041,92.857,3.061,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,67.677,0.0,32.323,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,33.0,0.0,67.0,0.0,0.0,0.0,147832832.0,116523520.0,352567296.0,48937213952.0,0.0,81920.0,7.600,0.0,10.0
1519475333.093,27.034,1.377,71.464,0.125,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,3.922,94.118,0.980,0.0,0.0,15.0,5.0,80.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,147832832.0,116530688.0,352571392.0,48936407040.0,0.0,16384.0,0.0,0.0,4.0
