"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519475694.880,0.723,0.592,98.420,0.261,0.0,0.003,0.702,0.563,98.475,0.257,0.0,0.004,0.943,0.592,98.208,0.254,0.0,0.003,0.684,0.562,98.487,0.263,0.0,0.003,0.675,0.593,98.471,0.258,0.0,0.003,0.705,0.616,98.410,0.266,0.0,0.003,0.710,0.616,98.414,0.256,0.0,0.003,0.699,0.592,98.436,0.270,0.0,0.003,0.669,0.604,98.461,0.262,0.0,0.003,0.0,0.0,311672832.0,49292222464.0,33936.644,50946.767,1.990,0.887,2.736
1519475697.057,1.385,1.154,74.149,23.254,0.0,0.058,0.913,1.370,90.868,6.849,0.0,0.0,1.382,0.922,55.300,42.396,0.0,0.0,0.459,1.376,96.789,1.376,0.0,0.0,1.382,0.461,38.249,59.447,0.0,0.461,0.459,0.917,92.202,6.422,0.0,0.0,6.019,1.389,51.852,40.741,0.0,0.0,0.0,0.922,93.548,5.530,0.0,0.0,0.930,2.326,73.488,23.256,0.0,0.0,0.0,0.0,319238144.0,49269911552.0,389120.0,65536.0,16.800,16.0,5.0
1519475697.881,3.517,7.492,75.229,13.761,0.0,0.0,1.266,3.797,68.354,26.582,0.0,0.0,2.469,8.642,69.136,19.753,0.0,0.0,1.220,9.756,81.707,7.317,0.0,0.0,13.415,7.317,74.390,4.878,0.0,0.0,1.235,9.877,55.556,33.333,0.0,0.0,3.659,6.098,82.927,7.317,0.0,0.0,1.205,8.434,79.518,10.843,0.0,0.0,1.235,6.173,91.358,1.235,0.0,0.0,1581056.0,1393152.0,320602112.0,49269534720.0,2953216.0,49152.0,68.0,176.0,8.0
1519475698.881,2.133,1.631,83.438,12.798,0.0,0.0,0.990,0.990,82.178,15.842,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,10.101,2.020,73.737,14.141,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,2.020,3.030,23.232,71.717,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,2.0,95.0,2.0,0.0,0.0,16084992.0,0.0,335880192.0,49251848192.0,14520320.0,495616.0,89.200,201.0,22.0
1519475699.881,2.381,2.381,80.952,14.160,0.0,0.125,12.0,4.0,84.0,0.0,0.0,0.0,2.970,1.980,24.752,69.307,0.0,0.990,0.0,1.010,87.879,11.111,0.0,0.0,0.0,1.031,69.072,29.897,0.0,0.0,1.0,6.0,92.0,1.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.010,97.980,1.010,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,31490048.0,41750016.0,348786688.0,49242648576.0,13042176.0,98304.0,85.600,213.0,7.0
1519475700.881,4.517,10.790,80.176,4.517,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,16.0,27.0,53.0,4.0,0.0,0.0,0.990,1.980,94.059,2.970,0.0,0.0,4.040,50.505,21.212,24.242,0.0,0.0,12.121,2.020,84.848,1.010,0.0,0.0,62570496.0,57335296.0,349118464.0,49110110208.0,15974400.0,270336.0,40.0,503.0,14.0
1519475701.881,8.701,8.449,75.788,6.936,0.0,0.126,0.0,3.0,95.0,2.0,0.0,0.0,2.041,2.041,92.857,3.061,0.0,0.0,2.020,2.020,94.949,1.010,0.0,0.0,0.990,2.970,92.079,3.960,0.0,0.0,1.053,1.053,61.053,36.842,0.0,0.0,0.0,3.030,92.929,4.040,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,13.0,3.0,77.0,7.0,0.0,0.0,607858688.0,749431296.0,349450240.0,48608686080.0,19144192.0,86016.0,43.600,667.0,10.0
1519475702.881,9.887,6.008,82.353,1.752,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,11.881,3.960,80.198,3.960,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,1.020,1.020,94.898,3.061,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,813379584.0,804547072.0,349634560.0,48351895552.0,0.0,106496.0,7.200,0.0,10.0
1519475703.881,4.135,3.008,92.356,0.501,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,12.121,3.030,80.808,4.040,0.0,0.0,3.030,2.020,94.949,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,14.0,13.0,73.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,897667072.0,894586368.0,349630464.0,48268181504.0,12288.0,73728.0,7.600,3.0,7.0
1519475704.881,12.657,2.005,84.586,0.752,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,85.859,6.061,8.081,0.0,0.0,0.0,0.0,3.0,94.0,3.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,966873088.0,970082816.0,349630464.0,48200671232.0,8192.0,180224.0,3.200,2.0,37.0
