"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519476592.836,0.733,0.596,98.403,0.265,0.0,0.003,0.706,0.566,98.464,0.261,0.0,0.004,0.959,0.597,98.181,0.259,0.0,0.003,0.689,0.566,98.475,0.267,0.0,0.003,0.698,0.598,98.437,0.263,0.0,0.003,0.710,0.619,98.399,0.269,0.0,0.003,0.715,0.621,98.399,0.262,0.0,0.003,0.708,0.596,98.421,0.272,0.0,0.003,0.677,0.608,98.444,0.267,0.0,0.003,0.0,0.0,311291904.0,49290641408.0,35893.171,51218.724,2.020,1.077,2.771
1519476594.962,1.180,1.121,71.858,25.841,0.0,0.0,0.935,0.935,94.860,3.271,0.0,0.0,0.472,0.472,83.019,16.038,0.0,0.0,0.474,0.474,98.104,0.948,0.0,0.0,0.0,0.943,83.019,16.038,0.0,0.0,5.213,1.896,21.801,71.090,0.0,0.0,0.952,2.381,20.952,75.714,0.0,0.0,0.943,0.943,90.566,7.547,0.0,0.0,0.943,0.472,81.604,16.981,0.0,0.0,0.0,0.0,318566400.0,49270607872.0,983040.0,12288.0,18.800,29.0,3.0
1519476595.837,3.305,7.902,74.282,14.511,0.0,0.0,1.163,6.977,86.047,5.814,0.0,0.0,2.299,5.747,68.966,22.989,0.0,0.0,2.222,8.889,88.889,0.0,0.0,0.0,3.448,8.046,66.667,21.839,0.0,0.0,1.149,6.897,82.759,9.195,0.0,0.0,3.448,6.897,47.126,42.529,0.0,0.0,12.791,9.302,70.930,6.977,0.0,0.0,0.0,10.345,82.759,6.897,0.0,0.0,823296.0,184320.0,320172032.0,49268580352.0,2080768.0,278528.0,74.800,182.0,19.0
1519476596.837,2.500,1.750,80.875,14.750,0.0,0.125,3.0,4.0,93.0,0.0,0.0,0.0,0.0,0.0,89.796,10.204,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,10.0,3.0,75.0,12.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,1.010,86.869,11.111,0.0,0.0,0.990,0.990,92.079,5.941,0.0,0.0,2.970,2.970,13.861,80.198,0.0,0.0,11644928.0,11463168.0,329764864.0,49257865216.0,14258176.0,364544.0,96.400,207.0,14.0
1519476597.837,2.632,2.256,77.694,17.419,0.0,0.0,3.0,2.0,83.0,12.0,0.0,0.0,0.0,2.0,68.0,30.0,0.0,0.0,12.0,3.0,84.0,1.0,0.0,0.0,2.020,5.051,79.798,13.131,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,1.980,1.980,69.307,26.733,0.0,0.0,0.0,1.020,57.143,41.837,0.0,0.0,1.0,2.0,87.0,10.0,0.0,0.0,11030528.0,7403008.0,339533824.0,49254932480.0,5828608.0,278528.0,92.0,121.0,25.0
1519476598.837,3.504,5.632,82.979,7.885,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,2.0,80.0,5.0,0.0,0.0,2.0,1.0,96.0,1.0,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,3.960,1.980,48.515,45.545,0.0,0.0,5.0,37.0,55.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,92.0,3.0,0.0,0.0,49971200.0,40973312.0,349495296.0,49177264128.0,8737792.0,200704.0,50.400,114.0,16.0
1519476599.837,4.893,11.418,82.560,1.129,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,3.0,92.0,4.0,0.0,0.0,13.131,4.040,82.828,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.990,1.980,95.050,1.980,0.0,0.0,20.202,79.798,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,93.0,3.0,0.0,0.0,50745344.0,41538048.0,349499392.0,49179709440.0,444416.0,16384.0,3.200,18.0,4.0
1519476600.837,4.506,11.139,82.103,2.253,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,1.020,92.857,6.122,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.990,1.980,85.149,11.881,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,21.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,50745344.0,41531904.0,349507584.0,49179582464.0,0.0,233472.0,18.0,0.0,19.0
1519476601.837,5.144,11.418,82.183,1.255,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.765,4.902,78.431,4.902,0.0,0.0,1.0,6.0,93.0,0.0,0.0,0.0,2.0,3.0,91.0,4.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,50745344.0,41531904.0,349532160.0,49179328512.0,8192.0,86016.0,10.400,2.0,10.0
1519476602.837,5.125,10.750,83.750,0.375,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,14.0,1.0,83.0,2.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,22.772,77.228,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50745344.0,41531904.0,349523968.0,49179836416.0,0.0,98304.0,10.800,0.0,10.0
1519476603.837,4.899,10.804,82.538,1.759,0.0,0.0,0.0,1.020,96.939,2.041,0.0,0.0,1.010,3.030,93.939,2.020,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,93.0,7.0,0.0,0.0,15.0,2.0,83.0,0.0,0.0,0.0,23.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,96.939,3.061,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50745344.0,41540096.0,349528064.0,49179582464.0,0.0,65536.0,4.800,0.0,7.0
