"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519476852.161,0.734,0.598,98.398,0.266,0.0,0.003,0.707,0.567,98.460,0.262,0.0,0.004,0.961,0.598,98.177,0.261,0.0,0.003,0.690,0.566,98.472,0.268,0.0,0.003,0.700,0.599,98.433,0.265,0.0,0.003,0.711,0.620,98.394,0.271,0.0,0.003,0.718,0.624,98.392,0.263,0.0,0.003,0.710,0.597,98.417,0.273,0.0,0.003,0.679,0.609,98.441,0.268,0.0,0.003,0.0,0.0,321970176.0,49278169088.0,36405.859,51293.617,2.029,1.104,2.778
1519476854.230,1.154,1.032,68.852,28.962,0.0,0.0,0.976,0.0,77.073,21.951,0.0,0.0,0.483,0.483,86.473,12.560,0.0,0.0,0.971,0.971,93.689,4.369,0.0,0.0,0.485,0.485,82.524,16.505,0.0,0.0,0.485,0.971,90.291,8.252,0.0,0.0,0.971,2.427,47.573,49.029,0.0,0.0,4.831,1.932,18.841,74.396,0.0,0.0,0.488,0.976,54.146,44.390,0.0,0.0,0.0,0.0,327741440.0,49262895104.0,679936.0,12288.0,21.200,53.0,3.0
1519476855.162,4.060,9.878,76.725,9.337,0.0,0.0,3.191,12.766,79.787,4.255,0.0,0.0,12.766,13.830,71.277,2.128,0.0,0.0,2.198,6.593,84.615,6.593,0.0,0.0,3.226,7.527,80.645,8.602,0.0,0.0,1.099,9.890,80.220,8.791,0.0,0.0,1.124,7.865,71.910,19.101,0.0,0.0,4.301,11.828,64.516,19.355,0.0,0.0,3.371,7.865,84.270,4.494,0.0,0.0,2662400.0,2292224.0,330129408.0,49260249088.0,3518464.0,106496.0,64.400,144.0,10.0
1519476856.162,1.882,1.380,82.811,13.927,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,2.0,79.0,19.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,84.848,15.152,0.0,0.0,10.891,2.970,86.139,0.0,0.0,0.0,0.980,0.980,93.137,4.902,0.0,0.0,1.020,1.020,23.469,74.490,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,16146432.0,0.0,344461312.0,49243672576.0,13713408.0,630784.0,90.800,182.0,28.0
1519476857.162,3.019,3.145,80.0,13.711,0.0,0.126,1.980,0.990,89.109,7.921,0.0,0.0,2.020,2.020,75.758,20.202,0.0,0.0,1.010,1.010,96.970,1.010,0.0,0.0,0.0,2.041,40.816,57.143,0.0,0.0,3.061,9.184,85.714,2.041,0.0,0.0,1.010,1.010,78.788,19.192,0.0,0.0,12.0,3.0,84.0,1.0,0.0,0.0,2.020,5.051,89.899,3.030,0.0,0.0,49369088.0,50891776.0,357666816.0,49170206720.0,12484608.0,94208.0,79.600,187.0,7.0
1519476858.162,3.015,12.563,82.286,2.136,0.0,0.0,0.0,1.010,88.889,10.101,0.0,0.0,2.970,0.990,92.079,3.960,0.0,0.0,0.0,0.0,96.907,3.093,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,6.0,91.0,3.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,59047936.0,49396736.0,357785600.0,49103187968.0,0.0,225280.0,15.600,0.0,19.0
1519476859.162,2.625,13.625,82.500,1.250,0.0,0.0,0.0,2.020,91.919,6.061,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,1.942,0.971,93.204,3.883,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,58970112.0,49824256.0,357830656.0,49103187968.0,53248.0,118784.0,9.200,3.0,13.0
1519476860.162,2.381,13.409,84.085,0.125,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,58970112.0,49830400.0,357838848.0,49103060992.0,0.0,16384.0,0.0,0.0,4.0
1519476861.162,2.258,13.551,82.685,1.506,0.0,0.0,0.0,1.010,85.859,13.131,0.0,0.0,14.0,3.0,83.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,58970112.0,49823232.0,357875712.0,49102172160.0,0.0,225280.0,16.0,0.0,19.0
1519476862.162,4.523,12.437,81.281,1.759,0.0,0.0,0.0,2.0,91.0,7.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,1.010,3.030,91.919,4.040,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,0.0,1.020,95.918,3.061,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,16.0,84.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,63705088.0,54423552.0,358780928.0,49096454144.0,901120.0,266240.0,12.400,23.0,51.0
