"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519485068.174,0.815,0.675,98.213,0.293,0.0,0.004,0.784,0.638,98.279,0.295,0.0,0.004,1.035,0.690,97.985,0.287,0.0,0.004,0.773,0.649,98.271,0.304,0.0,0.004,0.793,0.683,98.234,0.285,0.0,0.004,0.803,0.710,98.189,0.295,0.0,0.004,0.795,0.694,98.220,0.287,0.0,0.004,0.799,0.680,98.221,0.297,0.0,0.004,0.738,0.660,98.306,0.292,0.0,0.004,0.0,0.0,335986688.0,49264992256.0,59848.703,64111.126,2.199,1.392,2.961
1519485070.144,1.333,1.524,74.286,22.730,0.0,0.127,0.0,1.015,65.990,32.995,0.0,0.0,5.051,2.525,37.879,54.040,0.0,0.505,0.505,1.010,65.152,32.828,0.0,0.505,2.041,1.531,51.020,45.408,0.0,0.0,0.505,1.010,97.475,1.010,0.0,0.0,0.505,2.020,91.414,6.061,0.0,0.0,1.015,1.015,89.848,8.122,0.0,0.0,1.026,2.564,95.385,1.026,0.0,0.0,0.0,0.0,341614592.0,49250779136.0,323584.0,167936.0,22.400,58.0,12.0
1519485070.380,6.316,4.737,68.421,20.0,0.0,0.526,4.167,4.167,0.0,91.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.696,78.261,13.043,0.0,0.0,0.0,0.0,91.667,8.333,0.0,0.0,4.167,0.0,62.500,29.167,0.0,4.167,40.909,9.091,50.0,0.0,0.0,0.0,0.0,0.0,83.333,16.667,0.0,0.0,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,341860352.0,49248620544.0,1142784.0,12288.0,14.800,189.0,3.0
1519485071.174,3.165,3.165,80.222,13.449,0.0,0.0,3.846,2.564,42.308,51.282,0.0,0.0,0.0,2.532,88.608,8.861,0.0,0.0,12.821,6.410,75.641,5.128,0.0,0.0,1.250,2.500,95.0,0.0,0.0,1.250,1.250,5.0,77.500,16.250,0.0,0.0,2.500,3.750,90.0,3.750,0.0,0.0,1.266,2.532,81.013,15.190,0.0,0.0,2.500,1.250,88.750,7.500,0.0,0.0,0.0,0.0,345128960.0,49239904256.0,2945024.0,94208.0,66.0,175.0,9.0
1519485072.174,5.283,18.491,73.082,3.019,0.0,0.126,4.167,17.708,78.125,0.0,0.0,0.0,1.942,18.447,75.728,3.883,0.0,0.0,3.922,23.529,69.608,2.941,0.0,0.0,16.162,14.141,69.697,0.0,0.0,0.0,2.970,21.782,69.307,5.941,0.0,0.0,5.155,18.557,71.134,5.155,0.0,0.0,4.167,19.792,70.833,5.208,0.0,0.0,4.082,13.265,81.633,1.020,0.0,0.0,724992.0,728576.0,345141248.0,49241796608.0,1003520.0,315392.0,37.600,72.0,34.0
1519485073.175,2.008,1.255,80.928,15.809,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.245,1.020,86.735,0.0,0.0,0.0,1.0,2.0,0.0,97.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.0,2.0,89.0,8.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,1.0,0.0,81.0,18.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,8916992.0,9499136.0,353742848.0,49231286272.0,12169216.0,229376.0,97.200,187.0,17.0
1519485074.175,2.503,2.253,78.974,16.270,0.0,0.0,0.990,0.990,73.267,24.752,0.0,0.0,1.0,2.0,89.0,8.0,0.0,0.0,0.990,1.980,89.109,7.921,0.0,0.0,0.990,0.990,86.139,11.881,0.0,0.0,1.010,0.0,61.616,37.374,0.0,0.0,12.0,4.0,82.0,2.0,0.0,0.0,0.990,0.990,74.257,23.762,0.0,0.0,3.0,8.0,74.0,15.0,0.0,0.0,11608064.0,7661056.0,364429312.0,49224499200.0,8167424.0,499712.0,94.0,149.0,25.0
1519485075.174,4.025,6.164,73.333,16.478,0.0,0.0,0.0,8.247,90.722,1.031,0.0,0.0,3.0,5.0,90.0,2.0,0.0,0.0,4.0,6.0,84.0,6.0,0.0,0.0,1.010,8.081,90.909,0.0,0.0,0.0,2.062,4.124,32.990,60.825,0.0,0.0,3.0,4.0,93.0,0.0,0.0,0.0,4.040,9.091,28.283,58.586,0.0,0.0,13.131,5.051,78.788,3.030,0.0,0.0,50675712.0,47655424.0,374329344.0,49154912256.0,8409088.0,1376256.0,96.800,94.0,52.0
1519485076.175,4.397,19.849,69.472,6.281,0.0,0.0,3.0,7.0,90.0,0.0,0.0,0.0,6.931,71.287,21.782,0.0,0.0,0.0,4.0,57.0,37.0,2.0,0.0,0.0,2.020,6.061,80.808,11.111,0.0,0.0,0.0,0.990,91.089,7.921,0.0,0.0,4.082,11.224,81.633,3.061,0.0,0.0,2.020,1.010,73.737,23.232,0.0,0.0,15.0,3.0,79.0,3.0,0.0,0.0,115531776.0,82881024.0,375484416.0,48945770496.0,405504.0,262144.0,20.800,10.0,19.0
1519485077.175,7.393,21.805,69.173,1.629,0.0,0.0,0.990,0.990,95.050,2.970,0.0,0.0,8.0,92.0,0.0,0.0,0.0,0.0,31.0,69.0,0.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,14.286,6.122,76.531,3.061,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.010,2.020,89.899,7.071,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,114274304.0,82870784.0,375672832.0,48946642944.0,0.0,118784.0,11.600,0.0,13.0
