"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519478765.994,0.765,0.625,98.331,0.275,0.0,0.004,0.730,0.589,98.403,0.274,0.0,0.004,0.991,0.634,98.102,0.268,0.0,0.004,0.718,0.587,98.411,0.281,0.0,0.003,0.741,0.633,98.352,0.271,0.0,0.004,0.745,0.653,98.319,0.279,0.0,0.004,0.750,0.645,98.331,0.271,0.0,0.003,0.744,0.632,98.341,0.280,0.0,0.003,0.703,0.625,98.392,0.276,0.0,0.004,0.0,0.0,319729664.0,49281961984.0,46959.971,55056.074,2.091,1.245,2.844
1519478768.100,1.248,1.604,73.440,23.708,0.0,0.0,5.660,2.830,1.887,89.151,0.0,0.472,0.474,0.948,74.882,23.697,0.0,0.0,1.932,2.899,36.715,58.454,0.0,0.0,0.952,0.476,94.286,4.286,0.0,0.0,0.472,0.943,95.755,2.830,0.0,0.0,0.0,1.896,97.630,0.474,0.0,0.0,0.0,1.435,94.258,4.306,0.0,0.0,0.474,1.422,91.943,6.161,0.0,0.0,0.0,0.0,327094272.0,49259319296.0,540672.0,53248.0,21.600,31.0,7.0
1519478768.994,4.533,11.898,71.955,11.615,0.0,0.0,4.545,9.091,84.091,2.273,0.0,0.0,3.448,14.943,74.713,6.897,0.0,0.0,3.409,11.364,72.727,12.500,0.0,0.0,2.273,9.091,69.318,19.318,0.0,0.0,1.136,11.364,61.364,26.136,0.0,0.0,2.326,12.791,69.767,15.116,0.0,0.0,4.598,9.195,77.011,9.195,0.0,0.0,14.444,15.556,70.0,0.0,0.0,0.0,0.0,0.0,328130560.0,49256763392.0,1720320.0,81920.0,42.400,271.0,6.0
1519478769.995,3.388,8.532,79.799,8.156,0.0,0.125,4.040,10.101,85.859,0.0,0.0,0.0,1.0,6.0,86.0,6.0,0.0,1.0,3.030,6.061,90.909,0.0,0.0,0.0,11.881,9.901,76.238,1.980,0.0,0.0,1.980,9.901,88.119,0.0,0.0,0.0,2.970,7.921,34.653,54.455,0.0,0.0,0.0,11.881,85.149,2.970,0.0,0.0,2.041,8.163,88.776,1.020,0.0,0.0,4837376.0,4745216.0,331988992.0,49253904384.0,7847936.0,16384.0,82.0,208.0,4.0
1519478770.994,2.375,2.375,81.625,13.625,0.0,0.0,1.010,0.0,82.828,16.162,0.0,0.0,1.0,2.0,70.0,27.0,0.0,0.0,0.990,0.990,95.050,2.970,0.0,0.0,0.0,6.061,91.919,2.020,0.0,0.0,12.0,3.0,72.0,13.0,0.0,0.0,0.990,2.970,59.406,36.634,0.0,0.0,2.0,1.0,96.0,1.0,0.0,0.0,1.010,2.020,88.889,8.081,0.0,0.0,8691712.0,4543488.0,346730496.0,49239212032.0,11571200.0,679936.0,91.200,130.0,30.0
1519478771.995,2.886,4.768,82.811,9.536,0.0,0.0,1.010,1.010,95.960,2.020,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,3.0,5.0,32.0,60.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,2.941,22.549,66.667,7.843,0.0,0.0,1.0,2.0,90.0,7.0,0.0,0.0,13.131,4.040,82.828,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,60510208.0,53227008.0,357449728.0,49098502144.0,10113024.0,77824.0,51.600,150.0,5.0
1519478772.995,3.137,13.300,81.556,2.008,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,14.0,2.0,84.0,0.0,0.0,0.0,1.961,3.922,94.118,0.0,0.0,0.0,8.081,91.919,0.0,0.0,0.0,0.0,1.020,3.061,84.694,11.224,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,2.0,93.0,5.0,0.0,0.0,59523072.0,50162176.0,357482496.0,49098416128.0,4096.0,188416.0,18.0,1.0,18.0
1519478773.995,3.133,12.782,83.083,1.003,0.0,0.0,7.0,47.0,46.0,0.0,0.0,0.0,0.0,1.980,97.030,0.990,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,4.0,43.0,53.0,0.0,0.0,0.0,12.0,5.0,79.0,4.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,96.939,3.061,0.0,0.0,58744832.0,51932672.0,357486592.0,49099579392.0,991232.0,155648.0,22.400,83.0,13.0
1519478774.995,10.253,7.215,76.835,5.696,0.0,0.0,50.505,33.333,16.162,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,5.0,1.0,94.0,0.0,0.0,0.0,12.245,3.061,79.592,5.102,0.0,0.0,5.155,5.155,78.351,10.309,0.0,1.031,1.980,1.980,87.129,8.911,0.0,0.0,5.155,8.247,72.165,14.433,0.0,0.0,3.0,0.0,91.0,6.0,0.0,0.0,70778880.0,63413760.0,359907328.0,49083568128.0,2760704.0,16384.0,29.600,87.0,4.0
1519478775.994,11.504,7.585,79.014,1.896,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,1.980,97.030,0.990,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,39.394,18.182,42.424,0.0,0.0,0.0,5.155,6.186,83.505,5.155,0.0,0.0,29.293,17.172,53.535,0.0,0.0,0.0,15.789,11.579,63.158,9.474,0.0,0.0,74973184.0,65512960.0,364003328.0,49075564544.0,4063232.0,221184.0,17.200,31.0,19.0
1519478776.995,10.189,6.541,82.390,0.881,0.0,0.0,11.881,3.960,84.158,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.010,2.020,92.929,4.040,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,57.426,34.653,7.921,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,8.333,7.292,81.250,3.125,0.0,0.0,454574080.0,497547776.0,365838336.0,48708661248.0,917504.0,98304.0,9.600,7.0,10.0
1519478777.995,8.532,8.156,81.932,1.004,0.0,0.376,1.0,1.0,98.0,0.0,0.0,0.0,21.212,32.323,46.465,0.0,0.0,0.0,16.162,2.020,81.818,0.0,0.0,0.0,0.0,1.010,90.909,8.081,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.010,5.051,92.929,0.0,0.0,1.010,0.990,1.980,96.040,0.0,0.0,0.990,28.571,18.367,53.061,0.0,0.0,0.0,924336128.0,914838016.0,365838336.0,48222744576.0,0.0,86016.0,8.400,0.0,10.0
1519478778.995,11.646,7.468,79.873,0.0,0.0,1.013,15.464,8.247,76.289,0.0,0.0,0.0,50.495,22.772,26.733,0.0,0.0,0.0,7.071,5.051,84.848,0.0,0.0,3.030,3.0,9.0,85.0,0.0,0.0,3.0,1.031,4.124,93.814,0.0,0.0,1.031,1.031,3.093,95.876,0.0,0.0,0.0,1.0,3.0,95.0,0.0,0.0,1.0,13.861,5.941,80.198,0.0,0.0,0.0,973422592.0,963982848.0,365846528.0,48173826048.0,12288.0,69632.0,6.400,3.0,7.0
1519478779.995,10.652,3.759,82.456,2.757,0.0,0.376,38.835,9.709,51.456,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.071,6.061,86.869,0.0,0.0,0.0,1.0,3.0,91.0,5.0,0.0,0.0,19.0,2.0,79.0,0.0,0.0,0.0,2.020,3.030,93.939,0.0,0.0,1.010,14.141,4.040,81.818,0.0,0.0,0.0,1.031,1.031,79.381,17.526,0.0,1.031,993243136.0,983803392.0,368463872.0,48149118976.0,2613248.0,16384.0,11.600,59.0,4.0
