"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519485802.202,0.828,0.689,98.183,0.297,0.0,0.004,0.798,0.652,98.246,0.299,0.0,0.004,1.046,0.706,97.953,0.291,0.0,0.004,0.789,0.667,98.232,0.307,0.0,0.004,0.805,0.697,98.205,0.289,0.0,0.004,0.815,0.722,98.162,0.297,0.0,0.004,0.805,0.702,98.196,0.293,0.0,0.004,0.810,0.694,98.193,0.299,0.0,0.004,0.750,0.667,98.276,0.303,0.0,0.004,0.0,0.0,335986688.0,49265270784.0,64219.769,66912.220,2.227,1.440,2.986
1519485804.153,1.155,0.834,75.160,22.850,0.0,0.0,4.615,2.051,39.487,53.846,0.0,0.0,0.513,1.026,91.282,7.179,0.0,0.0,1.036,0.518,49.223,49.223,0.0,0.0,0.513,0.513,54.359,44.615,0.0,0.0,1.026,0.0,94.872,4.103,0.0,0.0,0.515,0.515,88.660,10.309,0.0,0.0,1.015,1.015,92.386,5.584,0.0,0.0,0.0,0.513,90.769,8.718,0.0,0.0,0.0,0.0,341622784.0,49252245504.0,778240.0,12288.0,20.0,147.0,3.0
1519485804.364,7.692,5.325,73.373,13.609,0.0,0.0,4.762,0.0,95.238,0.0,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,4.545,4.545,0.0,90.909,0.0,0.0,47.619,9.524,42.857,0.0,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,0.0,4.762,95.238,0.0,0.0,0.0,4.762,9.524,71.429,14.286,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,342110208.0,49248690176.0,856064.0,12288.0,16.400,107.0,3.0
1519485805.202,2.999,4.048,79.010,13.943,0.0,0.0,2.410,3.614,51.807,42.169,0.0,0.0,0.0,1.205,81.928,16.867,0.0,0.0,3.571,4.762,69.048,22.619,0.0,0.0,1.205,1.205,97.590,0.0,0.0,0.0,1.205,3.614,83.133,12.048,0.0,0.0,14.118,5.882,77.647,2.353,0.0,0.0,1.176,7.059,76.471,15.294,0.0,0.0,1.205,4.819,93.976,0.0,0.0,0.0,0.0,0.0,345001984.0,49240252416.0,2850816.0,94208.0,67.600,167.0,9.0
1519485806.203,2.767,5.535,79.371,12.327,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,0.0,8.0,84.0,8.0,0.0,0.0,0.0,5.0,91.0,4.0,0.0,0.0,1.020,5.102,93.878,0.0,0.0,0.0,1.010,5.051,92.929,1.010,0.0,0.0,3.061,5.102,69.388,22.449,0.0,0.0,2.041,5.102,83.673,9.184,0.0,0.0,2.041,5.102,37.755,55.102,0.0,0.0,6811648.0,6927872.0,350904320.0,49234866176.0,10735616.0,282624.0,105.200,238.0,44.0
1519485807.202,2.264,2.013,81.258,14.465,0.0,0.0,0.990,1.980,90.099,6.931,0.0,0.0,1.0,0.0,92.0,7.0,0.0,0.0,1.020,1.020,39.796,58.163,0.0,0.0,1.980,4.950,93.069,0.0,0.0,0.0,2.0,2.0,86.0,10.0,0.0,0.0,12.0,3.0,74.0,11.0,0.0,0.0,0.990,1.980,95.050,1.980,0.0,0.0,0.980,2.941,74.510,21.569,0.0,0.0,7598080.0,4371456.0,362291200.0,49224855552.0,8450048.0,528384.0,85.600,99.0,23.0
1519485808.203,2.503,3.379,82.603,11.514,0.0,0.0,2.041,6.122,79.592,12.245,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,3.030,4.040,25.253,67.677,0.0,0.0,2.020,5.051,92.929,0.0,0.0,0.0,11.0,3.0,85.0,0.0,0.0,1.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,4.0,83.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51728384.0,42540544.0,374067200.0,49090830336.0,10481664.0,98304.0,70.0,158.0,7.0
1519485809.202,1.882,13.676,82.183,2.258,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,11.111,4.040,79.798,5.051,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,50245632.0,41294336.0,374607872.0,49090830336.0,53248.0,303104.0,17.600,3.0,20.0
1519485810.203,2.261,14.070,82.789,0.879,0.0,0.0,3.030,4.040,92.929,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,1.980,92.079,4.950,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,12.871,3.960,80.198,2.970,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,50245632.0,41295360.0,374616064.0,49090813952.0,0.0,90112.0,7.600,0.0,10.0
1519485811.202,2.128,13.767,84.105,0.0,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,50245632.0,41295360.0,374616064.0,49090813952.0,0.0,16384.0,0.0,0.0,4.0
