"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519577468.788,4.357,2.769,92.350,0.519,0.0,0.004,4.019,2.556,92.876,0.544,0.0,0.005,4.541,2.686,92.273,0.495,0.0,0.005,3.774,2.443,93.212,0.567,0.0,0.004,4.096,2.578,92.807,0.514,0.0,0.005,4.929,3.291,91.287,0.488,0.0,0.005,4.455,2.722,92.319,0.499,0.0,0.004,4.369,2.857,92.236,0.534,0.0,0.004,4.670,3.021,91.792,0.513,0.0,0.004,0.0,0.0,582799360.0,49013362688.0,141161.667,170956.744,3.863,3.574,6.562
1519577470.380,1.338,1.338,80.566,16.680,0.0,0.079,0.0,1.274,85.987,12.739,0.0,0.0,3.774,1.887,54.717,38.994,0.0,0.629,0.0,0.629,99.371,0.0,0.0,0.0,3.750,2.500,66.875,26.250,0.0,0.625,0.0,0.633,75.316,24.051,0.0,0.0,0.633,0.633,97.468,1.266,0.0,0.0,0.0,1.250,78.125,20.625,0.0,0.0,1.266,0.633,87.975,10.127,0.0,0.0,0.0,0.0,587509760.0,49001046016.0,552960.0,12288.0,17.200,18.0,3.0
1519577470.788,4.630,3.704,80.247,11.420,0.0,0.0,0.0,2.500,97.500,0.0,0.0,0.0,2.439,0.0,97.561,0.0,0.0,0.0,2.500,7.500,90.0,0.0,0.0,0.0,2.439,7.317,90.244,0.0,0.0,0.0,2.381,4.762,40.476,52.381,0.0,0.0,2.439,2.439,95.122,0.0,0.0,0.0,25.641,7.692,30.769,35.897,0.0,0.0,0.0,2.439,97.561,0.0,0.0,0.0,0.0,0.0,588070912.0,48996679680.0,2072576.0,12288.0,34.800,274.0,3.0
1519577471.788,3.279,6.936,75.536,14.250,0.0,0.0,0.0,7.071,68.687,24.242,0.0,0.0,2.020,7.071,79.798,11.111,0.0,0.0,1.980,8.911,81.188,7.921,0.0,0.0,12.371,6.186,57.732,23.711,0.0,0.0,3.0,8.0,79.0,10.0,0.0,0.0,2.062,6.186,86.598,5.155,0.0,0.0,2.020,5.051,72.727,20.202,0.0,0.0,2.020,6.061,79.798,12.121,0.0,0.0,1290240.0,1126400.0,591503360.0,48991477760.0,4063232.0,409600.0,93.200,198.0,20.0
1519577472.788,1.884,1.256,83.543,13.317,0.0,0.0,1.0,0.0,96.0,3.0,0.0,0.0,1.980,1.980,82.178,13.861,0.0,0.0,0.0,1.0,93.0,6.0,0.0,0.0,0.980,0.980,92.157,5.882,0.0,0.0,1.0,2.0,86.0,11.0,0.0,0.0,0.0,1.010,78.788,20.202,0.0,0.0,0.0,1.980,96.040,1.980,0.0,0.0,13.0,2.0,37.0,48.0,0.0,0.0,16166912.0,0.0,606138368.0,48973889536.0,14680064.0,532480.0,96.400,205.0,25.0
1519577473.788,2.506,2.757,80.827,13.784,0.0,0.125,1.010,2.020,84.848,12.121,0.0,0.0,3.061,7.143,36.735,53.061,0.0,0.0,0.0,1.010,78.788,19.192,0.0,1.010,1.0,4.0,72.0,23.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,4.0,81.0,2.0,0.0,1.0,28073984.0,35510784.0,618663936.0,48965623808.0,13213696.0,114688.0,87.200,193.0,10.0
1519577474.788,4.517,9.912,79.548,6.023,0.0,0.0,10.0,15.0,73.0,2.0,0.0,0.0,3.030,7.071,86.869,3.030,0.0,0.0,1.980,1.980,79.208,16.832,0.0,0.0,1.020,9.184,77.551,12.245,0.0,0.0,1.0,1.0,91.0,7.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,11.0,4.0,78.0,7.0,0.0,0.0,7.0,40.0,53.0,0.0,0.0,0.0,59428864.0,50370560.0,622501888.0,48831561728.0,2097152.0,290816.0,24.400,55.0,20.0
1519577475.788,5.632,11.389,82.728,0.250,0.0,0.0,4.0,5.0,91.0,0.0,0.0,0.0,1.980,5.941,92.079,0.0,0.0,0.0,24.0,69.0,7.0,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.0,3.0,96.0,1.0,0.0,0.0,0.0,4.0,94.0,2.0,0.0,0.0,59428864.0,50364416.0,623095808.0,48829403136.0,0.0,98304.0,9.200,0.0,10.0
1519577476.788,4.756,11.139,82.854,1.252,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,11.0,6.0,82.0,1.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.0,91.0,7.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,59428864.0,50365440.0,623099904.0,48828641280.0,0.0,16384.0,0.0,0.0,4.0
1519577477.788,4.887,10.902,84.211,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,1.010,0.0,97.980,1.010,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,59428864.0,50364416.0,623104000.0,48828641280.0,4096.0,16384.0,1.600,1.0,4.0
1519577478.788,5.395,10.414,83.563,0.627,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59428864.0,50365440.0,623104000.0,48828825600.0,0.0,65536.0,4.800,0.0,7.0
1519577479.788,5.276,10.427,83.166,1.131,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,12.745,2.941,79.412,4.902,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.010,0.0,94.949,4.040,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,59428864.0,50364416.0,623099904.0,48829919232.0,20480.0,430080.0,19.200,3.0,60.0
1519577480.788,10.957,7.179,80.605,1.259,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.0,8.0,76.0,2.0,0.0,0.0,5.0,11.0,84.0,0.0,0.0,0.0,8.247,7.216,84.536,0.0,0.0,0.0,1.0,3.0,93.0,3.0,0.0,0.0,24.742,14.433,60.825,0.0,0.0,0.0,0.971,1.942,91.262,5.825,0.0,0.0,33.663,13.861,52.475,0.0,0.0,0.0,69914624.0,60808192.0,626364416.0,48816377856.0,3899392.0,110592.0,13.600,41.0,8.0
1519577481.788,12.075,7.296,79.623,1.006,0.0,0.0,11.0,5.0,84.0,0.0,0.0,0.0,8.0,10.0,82.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,6.122,7.143,86.735,0.0,0.0,0.0,2.0,1.0,93.0,4.0,0.0,0.0,34.0,14.0,52.0,0.0,0.0,0.0,1.010,1.010,94.949,3.030,0.0,0.0,33.684,17.895,48.421,0.0,0.0,0.0,74108928.0,67142656.0,629903360.0,48807976960.0,3538944.0,24576.0,5.600,27.0,6.0
1519577482.788,12.327,6.289,81.384,0.0,0.0,0.0,12.0,5.0,83.0,0.0,0.0,0.0,12.121,10.101,77.778,0.0,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,3.061,6.122,90.816,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,38.776,18.367,42.857,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,31.0,10.0,59.0,0.0,0.0,0.0,82497536.0,75530240.0,633868288.0,48796413952.0,3932160.0,16384.0,4.800,30.0,4.0
1519577483.788,12.025,5.949,81.772,0.253,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,3.061,4.082,92.857,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.042,2.083,96.875,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,19.608,11.765,68.627,0.0,0.0,0.0,11.111,5.051,81.818,2.020,0.0,0.0,60.417,18.750,20.833,0.0,0.0,0.0,90886144.0,83903488.0,637730816.0,48782901248.0,4325376.0,65536.0,6.0,33.0,7.0
1519577484.788,12.010,5.689,78.255,4.046,0.0,0.0,13.131,2.020,82.828,2.020,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,2.0,2.0,83.0,13.0,0.0,0.0,10.309,12.371,77.320,0.0,0.0,0.0,3.0,2.0,86.0,9.0,0.0,0.0,68.421,24.211,7.368,0.0,0.0,0.0,101371904.0,92284928.0,642256896.0,48769069056.0,4780032.0,176128.0,35.200,91.0,13.0
1519577485.788,11.307,7.035,80.528,1.005,0.0,0.126,0.0,1.010,98.990,0.0,0.0,0.0,23.469,11.224,65.306,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,31.313,12.121,56.566,0.0,0.0,0.0,0.0,2.0,94.0,4.0,0.0,0.0,9.709,11.650,78.641,0.0,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,25.510,16.327,58.163,0.0,0.0,0.0,128634880.0,125839360.0,646483968.0,48735993856.0,3014656.0,81920.0,12.0,23.0,10.0
1519577486.788,11.055,8.291,77.261,2.010,0.0,1.382,11.881,4.950,83.168,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,62.0,32.0,6.0,0.0,0.0,0.0,6.061,12.121,67.677,4.040,0.0,10.101,0.0,0.0,98.980,1.020,0.0,0.0,2.041,12.245,80.612,5.102,0.0,0.0,2.041,2.041,89.796,6.122,0.0,0.0,269930496.0,261019648.0,647663616.0,48591294464.0,1044480.0,233472.0,19.600,22.0,20.0
1519577487.788,1.887,1.509,96.101,0.503,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.010,2.020,94.949,2.020,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,269930496.0,261019648.0,647655424.0,48591200256.0,0.0,16384.0,0.0,0.0,4.0
1519577488.788,2.138,1.635,95.849,0.377,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,93.0,4.0,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,269930496.0,261024768.0,647655424.0,48590471168.0,0.0,69632.0,3.200,0.0,7.0
1519577489.788,2.247,1.873,95.381,0.499,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,13.131,2.020,84.848,0.0,0.0,0.0,0.980,2.941,96.078,0.0,0.0,0.0,0.0,0.0,95.918,4.082,0.0,0.0,269930496.0,261025792.0,647516160.0,48589836288.0,147456.0,16384.0,4.400,36.0,4.0
1519577490.788,2.250,1.750,94.875,1.125,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,12.121,2.020,85.859,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.010,2.020,93.939,3.030,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.885,4.808,86.538,5.769,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,269930496.0,261021696.0,647688192.0,48590344192.0,0.0,184320.0,9.600,0.0,13.0
1519577491.788,2.384,1.882,94.730,1.004,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.961,1.961,92.157,3.922,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,2.0,2.0,92.0,4.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,269930496.0,261027840.0,647696384.0,48589709312.0,0.0,81920.0,7.600,0.0,10.0
1519577492.788,5.368,8.614,85.144,0.874,0.0,0.0,25.253,61.616,13.131,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,1.020,95.918,3.061,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,278319104.0,271505408.0,647688192.0,48581496832.0,0.0,86016.0,6.400,0.0,10.0
1519577493.788,5.138,11.028,83.333,0.501,0.0,0.0,26.733,73.267,0.0,0.0,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,11.881,6.931,81.188,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,288804864.0,279895040.0,647696384.0,48571088896.0,0.0,65536.0,4.0,0.0,7.0
1519577494.788,5.382,10.513,84.105,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,297193472.0,290385920.0,647692288.0,48563666944.0,0.0,16384.0,0.0,0.0,4.0
1519577495.788,6.015,10.150,82.456,1.378,0.0,0.0,31.313,68.687,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,1.980,3.960,91.089,2.970,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,0.0,2.0,91.0,7.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,307859456.0,298790912.0,647696384.0,48553771008.0,0.0,348160.0,10.400,0.0,30.0
1519577496.788,6.266,10.150,82.581,0.877,0.0,0.125,33.663,66.337,0.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,2.020,2.020,92.929,3.030,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,13.0,3.0,81.0,3.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,316248064.0,307181568.0,647680000.0,48545636352.0,0.0,81920.0,7.200,0.0,10.0
1519577497.788,5.764,9.774,83.584,0.877,0.0,0.0,31.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,1.0,3.0,92.0,4.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,322736128.0,315568128.0,647696384.0,48538836992.0,0.0,81920.0,7.200,0.0,10.0
