"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519547916.945,4.338,2.532,92.753,0.373,0.0,0.004,3.998,2.344,93.272,0.382,0.0,0.004,4.598,2.536,92.499,0.363,0.0,0.004,3.709,2.208,93.683,0.395,0.0,0.004,4.112,2.401,93.109,0.373,0.0,0.004,4.820,2.871,91.948,0.356,0.0,0.004,4.515,2.595,92.523,0.363,0.0,0.004,4.322,2.552,92.743,0.379,0.0,0.004,4.631,2.746,92.246,0.372,0.0,0.004,0.0,0.0,521990144.0,49069105152.0,82844.623,113654.054,2.849,1.963,5.128
1519547918.181,2.026,1.722,81.155,15.096,0.0,0.0,0.0,0.806,96.774,2.419,0.0,0.0,0.800,3.200,54.400,41.600,0.0,0.0,1.613,0.806,95.968,1.613,0.0,0.0,1.613,1.613,81.452,15.323,0.0,0.0,0.800,1.600,96.800,0.800,0.0,0.0,0.820,0.820,94.262,4.098,0.0,0.0,1.626,1.626,96.748,0.0,0.0,0.0,9.756,3.252,31.707,55.285,0.0,0.0,0.0,0.0,525017088.0,49061834752.0,1122304.0,12288.0,18.400,58.0,3.0
1519547918.946,2.627,1.478,83.251,12.644,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.865,4.054,18.919,62.162,0.0,0.0,0.0,0.0,97.333,2.667,0.0,0.0,1.316,1.316,59.211,38.158,0.0,0.0,1.299,2.597,96.104,0.0,0.0,0.0,1.316,2.632,96.053,0.0,0.0,0.0,0.0,1.316,98.684,0.0,0.0,0.0,1.299,0.0,98.701,0.0,0.0,0.0,0.0,0.0,528072704.0,49050869760.0,1986560.0,372736.0,74.0,107.0,19.0
1519547919.946,4.135,7.644,74.561,13.659,0.0,0.0,4.0,8.0,74.0,14.0,0.0,0.0,3.960,9.901,76.238,9.901,0.0,0.0,2.0,8.0,87.0,3.0,0.0,0.0,13.0,8.0,70.0,9.0,0.0,0.0,3.0,6.0,60.0,31.0,0.0,0.0,3.030,6.061,65.657,25.253,0.0,0.0,2.041,4.082,77.551,16.327,0.0,0.0,2.020,11.111,86.869,0.0,0.0,0.0,0.0,0.0,530759680.0,49044111360.0,2654208.0,81920.0,61.200,119.0,9.0
1519547920.946,3.011,6.023,79.423,11.543,0.0,0.0,2.0,5.0,93.0,0.0,0.0,0.0,2.970,6.931,14.851,75.248,0.0,0.0,2.941,8.824,88.235,0.0,0.0,0.0,3.030,4.040,87.879,5.051,0.0,0.0,1.980,7.921,82.178,7.921,0.0,0.0,1.010,4.040,93.939,1.010,0.0,0.0,1.0,7.0,89.0,3.0,0.0,0.0,10.101,4.040,84.848,1.010,0.0,0.0,9670656.0,11698688.0,538693632.0,49035911168.0,15048704.0,249856.0,102.400,272.0,11.0
1519547921.946,2.757,2.381,79.950,14.912,0.0,0.0,1.010,3.030,49.495,46.465,0.0,0.0,1.010,4.040,92.929,2.020,0.0,0.0,0.0,2.0,76.0,22.0,0.0,0.0,1.980,1.980,81.188,14.851,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,12.0,3.0,74.0,11.0,0.0,0.0,0.990,1.980,76.238,20.792,0.0,0.0,3.061,3.061,91.837,2.041,0.0,0.0,12120064.0,7978496.0,550395904.0,49032155136.0,7102464.0,413696.0,88.800,135.0,24.0
1519547922.946,3.894,5.905,84.045,6.156,0.0,0.0,2.020,3.030,55.556,39.394,0.0,0.0,8.081,32.323,59.596,0.0,0.0,0.0,1.010,2.020,95.960,1.010,0.0,0.0,4.040,6.061,83.838,6.061,0.0,0.0,0.0,2.0,97.0,1.0,0.0,0.0,2.041,0.0,97.959,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.861,1.980,84.158,0.0,0.0,0.0,66080768.0,56729088.0,560103424.0,48828841984.0,7681536.0,294912.0,45.200,98.0,15.0
1519547923.946,4.988,11.222,80.673,2.993,0.0,0.125,0.0,0.0,98.980,1.020,0.0,0.0,22.772,77.228,0.0,0.0,0.0,0.0,0.0,1.980,97.030,0.0,0.0,0.990,0.990,0.990,91.089,6.931,0.0,0.0,1.010,1.010,82.828,15.152,0.0,0.0,12.871,4.950,82.178,0.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,66347008.0,57297408.0,560168960.0,48827617280.0,252416.0,77824.0,10.800,42.0,10.0
1519547924.946,5.263,10.652,83.208,0.877,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,24.242,75.758,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,66347008.0,57312768.0,560152576.0,48828125184.0,0.0,90112.0,8.0,0.0,10.0
1519547925.946,4.762,11.905,82.957,0.376,0.0,0.0,1.010,0.0,96.970,2.020,0.0,0.0,19.802,80.198,0.0,0.0,0.0,0.0,12.0,5.0,83.0,0.0,0.0,0.0,1.010,0.0,97.980,1.010,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,1.980,1.980,95.050,0.990,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,66347008.0,57312768.0,560164864.0,48829767680.0,4096.0,204800.0,2.0,1.0,42.0
