"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519629072.204,3.953,2.497,93.057,0.489,0.0,0.004,3.642,2.309,93.531,0.513,0.0,0.005,4.127,2.423,92.977,0.469,0.0,0.004,3.393,2.209,93.859,0.535,0.0,0.004,3.740,2.327,93.443,0.485,0.0,0.004,4.429,2.957,92.155,0.455,0.0,0.004,4.049,2.457,93.014,0.475,0.0,0.004,3.972,2.573,92.955,0.496,0.0,0.004,4.272,2.718,92.520,0.486,0.0,0.004,0.0,0.0,613056512.0,48987185152.0,130082.183,154999.710,3.630,3.348,6.067
1519629074.263,1.097,0.731,78.245,19.866,0.0,0.061,1.456,1.942,83.010,13.592,0.0,0.0,0.490,0.980,75.490,23.039,0.0,0.0,4.878,0.976,25.854,68.293,0.0,0.0,0.0,0.0,69.268,30.244,0.0,0.488,0.488,0.488,83.415,15.122,0.0,0.488,0.485,0.485,99.029,0.0,0.0,0.0,0.483,0.483,89.372,9.662,0.0,0.0,0.966,0.483,98.551,0.0,0.0,0.0,0.0,0.0,618790912.0,48973611008.0,684032.0,12288.0,18.400,144.0,3.0
1519629075.204,2.413,4.021,82.440,11.126,0.0,0.0,1.087,4.348,58.696,35.870,0.0,0.0,1.042,8.333,72.917,17.708,0.0,0.0,1.087,2.174,90.217,6.522,0.0,0.0,2.128,5.319,77.660,14.894,0.0,0.0,0.0,4.211,91.579,4.211,0.0,0.0,12.632,5.263,80.0,2.105,0.0,0.0,1.087,1.087,93.478,4.348,0.0,0.0,0.0,1.099,95.604,3.297,0.0,0.0,0.0,0.0,621928448.0,48959553536.0,3584000.0,77824.0,76.800,244.0,6.0
1519629076.204,3.008,6.140,76.316,14.411,0.0,0.125,1.031,3.093,88.660,7.216,0.0,0.0,2.0,11.0,75.0,12.0,0.0,0.0,2.020,6.061,13.131,77.778,0.0,1.010,2.0,7.0,77.0,14.0,0.0,0.0,2.020,6.061,89.899,2.020,0.0,0.0,2.020,4.040,92.929,1.010,0.0,0.0,2.0,6.0,92.0,0.0,0.0,0.0,11.0,5.0,84.0,0.0,0.0,0.0,6520832.0,3777536.0,628006912.0,48952672256.0,7921664.0,118784.0,100.800,475.0,7.0
1519629077.204,2.618,1.995,80.424,14.838,0.0,0.125,0.0,1.0,99.0,0.0,0.0,0.0,4.854,3.883,59.223,32.039,0.0,0.0,0.990,1.980,53.465,43.564,0.0,0.0,0.0,2.020,76.768,21.212,0.0,0.0,13.131,4.040,75.758,7.071,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.961,96.078,1.961,0.0,0.0,1.010,2.020,83.838,13.131,0.0,0.0,3379200.0,2493440.0,639008768.0,48941113344.0,12365824.0,659456.0,96.0,206.0,26.0
1519629078.204,2.128,2.253,81.227,14.393,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,1.020,52.041,46.939,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,3.0,3.0,47.0,47.0,0.0,0.0,0.0,2.020,96.970,1.010,0.0,0.0,10.891,2.970,85.149,0.990,0.0,0.0,1.020,0.0,77.551,21.429,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,33812480.0,48653312.0,651509760.0,48928813056.0,11329536.0,118784.0,84.0,193.0,10.0
1519629079.204,3.266,12.060,80.402,4.271,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.041,7.143,76.531,14.286,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,2.0,1.0,78.0,19.0,0.0,0.0,6.0,80.0,14.0,0.0,0.0,0.0,13.131,2.020,84.848,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,60137472.0,56029184.0,654405632.0,48794542080.0,4223488.0,3002368.0,42.0,128.0,54.0
1519629080.204,6.910,10.678,72.111,10.302,0.0,0.0,12.0,4.0,83.0,1.0,0.0,0.0,2.970,2.970,49.505,44.554,0.0,0.0,3.922,0.980,85.294,9.804,0.0,0.0,2.041,3.061,73.469,21.429,0.0,0.0,22.0,51.0,27.0,0.0,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,11.111,17.172,71.717,0.0,0.0,0.0,1.0,4.0,93.0,2.0,0.0,0.0,417521664.0,431461376.0,654557184.0,48434192384.0,27645952.0,57344.0,55.600,701.0,7.0
1519629081.204,12.923,3.513,83.563,0.0,0.0,0.0,14.0,5.0,81.0,0.0,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,84.0,14.0,2.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,602976256.0,604421120.0,654565376.0,48248242176.0,0.0,81920.0,9.200,0.0,10.0
1519629082.204,12.140,2.128,83.730,2.003,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,1.0,0.0,98.0,1.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,2.0,2.0,95.0,1.0,0.0,0.0,78.0,6.0,16.0,0.0,0.0,0.0,0.0,2.020,87.879,10.101,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,636301312.0,629365760.0,654602240.0,48212684800.0,4096.0,217088.0,15.200,1.0,17.0
1519629083.204,14.393,1.377,82.979,1.252,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,13.0,5.0,82.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,657358848.0,652424192.0,654606336.0,48191586304.0,0.0,24576.0,3.600,0.0,6.0
1519629084.204,14.411,1.504,83.083,1.003,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,13.265,4.082,82.653,0.0,0.0,0.0,97.030,2.970,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,713981952.0,704852992.0,654606336.0,48135090176.0,0.0,81920.0,8.400,0.0,10.0
1519629085.204,9.148,3.509,83.709,3.634,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,1.980,95.050,1.980,0.0,0.0,13.0,3.0,83.0,1.0,0.0,0.0,1.010,4.040,77.778,17.172,0.0,0.0,51.515,4.040,44.444,0.0,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,5.0,11.0,80.0,4.0,0.0,0.0,0.0,2.041,94.898,3.061,0.0,0.0,843796480.0,834918400.0,654544896.0,48004845568.0,187392.0,11663872.0,51.200,11.0,83.0
1519629086.204,2.117,2.117,80.946,14.819,0.0,0.0,11.0,4.0,85.0,0.0,0.0,0.0,1.961,1.961,84.314,11.765,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,2.970,87.129,8.911,0.0,0.0,0.0,1.010,49.495,49.495,0.0,0.0,0.0,2.970,77.228,19.802,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,0.0,3.0,67.0,30.0,0.0,0.0,844607488.0,835638272.0,654540800.0,48004239360.0,4096.0,18728960.0,103.600,1.0,152.0
1519629087.204,2.889,2.136,78.643,16.332,0.0,0.0,14.0,2.0,74.0,10.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.980,1.961,74.510,22.549,0.0,0.0,1.0,3.0,92.0,4.0,0.0,0.0,2.0,3.0,43.0,52.0,0.0,0.0,2.041,3.061,85.714,9.184,0.0,0.0,1.020,1.020,68.367,29.592,0.0,0.0,1.0,2.0,94.0,3.0,0.0,0.0,844877824.0,835766272.0,654585856.0,48002719744.0,824320.0,6756864.0,90.800,144.0,87.0
1519629088.204,3.019,1.509,80.252,15.220,0.0,0.0,0.0,1.010,53.535,45.455,0.0,0.0,0.0,1.020,86.735,12.245,0.0,0.0,1.010,1.010,75.758,22.222,0.0,0.0,13.0,4.0,81.0,2.0,0.0,0.0,3.030,2.020,91.919,3.030,0.0,0.0,2.970,0.990,92.079,3.960,0.0,0.0,3.960,0.990,65.347,28.713,0.0,0.990,0.0,2.041,95.918,2.041,0.0,0.0,846974976.0,837876736.0,654585856.0,48000876544.0,26194944.0,363520.0,90.800,342.0,36.0
1519629089.204,6.750,2.500,79.500,11.250,0.0,0.0,1.0,2.0,64.0,33.0,0.0,0.0,0.0,1.0,94.0,5.0,0.0,0.0,1.0,2.0,88.0,9.0,0.0,0.0,1.0,1.0,88.0,10.0,0.0,0.0,5.941,3.960,73.267,16.832,0.0,0.0,1.020,1.020,95.918,2.041,0.0,0.0,30.0,4.0,52.0,14.0,0.0,0.0,12.871,3.960,81.188,1.980,0.0,0.0,874237952.0,865792512.0,654585856.0,47973486592.0,14987264.0,5031424.0,66.400,213.0,129.0
1519629090.204,2.005,2.256,79.073,16.667,0.0,0.0,0.0,4.0,48.0,48.0,0.0,0.0,1.0,0.0,86.0,13.0,0.0,0.0,0.0,2.0,93.0,5.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,13.131,5.051,77.778,4.040,0.0,0.0,0.980,3.922,89.216,5.882,0.0,0.0,0.0,0.0,55.102,44.898,0.0,0.0,1.0,1.0,88.0,10.0,0.0,0.0,874778624.0,866028032.0,654585856.0,47972597760.0,96256.0,15206400.0,88.800,19.0,238.0
1519629091.204,6.892,7.018,84.461,1.629,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,1.980,95.050,1.980,0.0,0.0,12.871,4.950,82.178,0.0,0.0,0.0,38.776,43.878,8.163,9.184,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1090785280.0,1082044928.0,654585856.0,47756210176.0,34816.0,16384.0,1.200,4.0,4.0
1519629092.204,12.375,4.250,80.750,2.625,0.0,0.0,0.990,1.980,95.050,1.980,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,0.0,97.0,2.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,1.0,3.0,82.0,14.0,0.0,0.0,80.0,19.0,1.0,0.0,0.0,0.0,13.131,6.061,76.768,4.040,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1090785280.0,1082044928.0,654618624.0,47756574720.0,17408.0,233472.0,19.600,2.0,19.0
