"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519473488.874,0.701,0.577,98.466,0.252,0.0,0.003,0.683,0.549,98.517,0.247,0.0,0.004,0.928,0.584,98.240,0.243,0.0,0.003,0.663,0.548,98.531,0.255,0.0,0.003,0.643,0.572,98.534,0.247,0.0,0.003,0.678,0.598,98.461,0.259,0.0,0.003,0.689,0.602,98.457,0.248,0.0,0.003,0.677,0.570,98.488,0.262,0.0,0.003,0.647,0.593,98.502,0.255,0.0,0.003,0.0,0.0,302460928.0,49309503488.0,30780.758,50304.139,1.929,0.774,2.675
1519473490.583,1.467,1.027,79.384,18.122,0.0,0.0,1.183,0.592,69.231,28.994,0.0,0.0,1.170,2.339,94.737,1.754,0.0,0.0,0.592,0.592,81.065,17.751,0.0,0.0,0.588,0.588,88.824,10.0,0.0,0.0,0.0,0.592,98.225,1.183,0.0,0.0,1.775,1.183,68.639,28.402,0.0,0.0,0.585,0.0,81.287,18.129,0.0,0.0,5.233,1.744,54.070,38.953,0.0,0.0,0.0,0.0,307720192.0,49297629184.0,679936.0,12288.0,24.0,63.0,3.0
1519473490.874,5.603,3.448,76.724,14.224,0.0,0.0,36.667,6.667,20.0,36.667,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.571,3.571,42.857,50.0,0.0,0.0,0.0,3.333,73.333,23.333,0.0,0.0,3.333,3.333,93.333,0.0,0.0,0.0,0.0,3.333,96.667,0.0,0.0,0.0,0.0,6.897,93.103,0.0,0.0,0.0,0.0,3.448,96.552,0.0,0.0,0.0,0.0,0.0,308097024.0,49294209024.0,1167360.0,12288.0,19.600,198.0,3.0
1519473491.874,3.526,6.549,74.307,15.617,0.0,0.0,2.020,7.071,85.859,5.051,0.0,0.0,2.041,3.061,78.571,16.327,0.0,0.0,12.745,6.863,70.588,9.804,0.0,0.0,3.030,8.081,77.778,11.111,0.0,0.0,1.020,6.122,67.347,25.510,0.0,0.0,2.020,7.071,71.717,19.192,0.0,0.0,2.041,7.143,65.306,25.510,0.0,0.0,4.0,6.0,76.0,14.0,0.0,0.0,0.0,0.0,311455744.0,49284087808.0,3813376.0,450560.0,91.200,209.0,21.0
1519473492.874,2.130,2.506,83.333,12.030,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,9.091,4.040,86.869,0.0,0.0,0.0,1.0,3.0,94.0,2.0,0.0,0.0,1.010,1.010,88.889,9.091,0.0,0.0,1.980,3.960,93.069,0.990,0.0,0.0,1.980,2.970,11.881,83.168,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,13623296.0,11892224.0,324481024.0,49272520704.0,14286848.0,561152.0,101.600,210.0,19.0
1519473493.874,2.638,2.136,79.146,16.080,0.0,0.0,1.0,1.0,96.0,2.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,1.0,1.0,45.0,53.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,1.0,63.0,35.0,0.0,0.0,14.141,7.071,75.758,3.030,0.0,0.0,0.0,1.010,87.879,11.111,0.0,0.0,1.010,1.010,74.747,23.232,0.0,0.0,13205504.0,9382400.0,332046336.0,49272942592.0,8626176.0,110592.0,92.800,153.0,17.0
1519473494.874,2.889,8.166,84.673,4.271,0.0,0.0,1.980,3.960,70.297,23.762,0.0,0.0,0.0,0.0,98.980,1.020,0.0,0.0,13.0,2.0,80.0,5.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.051,56.566,34.343,4.040,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,51163136.0,41910784.0,340443136.0,49139167232.0,5795840.0,16384.0,20.800,60.0,4.0
1519473495.874,14.518,1.377,82.603,1.502,0.0,0.0,1.0,2.0,90.0,7.0,0.0,0.0,9.901,1.980,88.119,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,5.941,2.970,91.089,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51163136.0,41910784.0,340955136.0,49136373760.0,0.0,319488.0,18.400,0.0,20.0
1519473496.874,14.536,1.128,83.584,0.752,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.961,1.961,89.216,6.863,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,51163136.0,41910784.0,340938752.0,49135771648.0,0.0,73728.0,6.0,0.0,8.0
1519473497.874,14.662,1.629,82.581,1.128,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,0.0,1.0,91.0,8.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.141,4.040,81.818,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,51163136.0,46137856.0,340959232.0,49136484352.0,409600.0,24576.0,5.600,8.0,6.0
1519473498.874,5.912,10.566,82.767,0.755,0.0,0.0,11.111,5.051,83.838,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,4.082,3.061,90.816,2.041,0.0,0.0,2.062,10.309,87.629,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,26.733,59.406,13.861,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,55357440.0,46132736.0,341463040.0,49131814912.0,118784.0,69632.0,5.600,4.0,7.0
1519473499.874,6.407,9.925,83.291,0.377,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,7.0,9.0,84.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,2.0,95.0,2.0,0.0,0.0,11.0,31.0,58.0,0.0,0.0,0.0,12.245,2.041,85.714,0.0,0.0,0.0,18.557,34.021,47.423,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,57454592.0,48229888.0,342507520.0,49128525824.0,1146880.0,16384.0,2.0,10.0,4.0
1519473500.874,6.792,9.560,82.390,1.258,0.0,0.0,1.0,1.0,90.0,8.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,11.881,2.970,82.178,2.970,0.0,0.0,5.102,3.061,91.837,0.0,0.0,0.0,25.773,50.515,23.711,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,9.901,13.861,76.238,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,59551744.0,52429312.0,343719936.0,49125412864.0,1310720.0,188416.0,13.600,10.0,13.0
1519473501.874,6.023,10.289,82.811,0.878,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.891,5.941,83.168,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,30.392,67.647,1.961,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,3.061,3.061,86.735,7.143,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,63746048.0,54526464.0,344768512.0,49119567872.0,1179648.0,86016.0,8.800,9.0,10.0
