"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520172392.233,1.123,0.823,97.714,0.336,0.0,0.004,1.055,0.775,97.971,0.195,0.0,0.004,1.329,0.870,97.647,0.151,0.0,0.003,1.169,0.854,97.739,0.228,0.0,0.010,0.990,0.820,98.059,0.129,0.0,0.003,1.440,0.862,97.483,0.212,0.0,0.003,0.905,0.788,97.606,0.698,0.0,0.003,0.978,0.870,97.838,0.311,0.0,0.003,1.118,0.745,97.370,0.762,0.0,0.004,0.0,0.0,280297472.0,49518845952.0,899767.089,62987.759,2.644,7.228,3.344
1520172393.961,1.814,2.177,73.077,22.859,0.0,0.073,1.744,1.744,90.116,6.395,0.0,0.0,0.578,2.312,88.439,8.671,0.0,0.0,1.170,1.170,97.661,0.0,0.0,0.0,1.744,4.070,73.837,20.349,0.0,0.0,1.156,1.156,52.023,45.665,0.0,0.0,0.585,2.339,96.491,0.585,0.0,0.0,0.581,2.326,52.907,44.186,0.0,0.0,6.977,2.326,34.302,55.814,0.0,0.581,0.0,0.0,285958144.0,49507958784.0,606208.0,12288.0,16.800,48.0,3.0
1520172394.232,6.422,4.128,76.147,13.303,0.0,0.0,3.571,7.143,89.286,0.0,0.0,0.0,3.704,0.0,96.296,0.0,0.0,0.0,35.714,10.714,53.571,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.407,0.0,92.593,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.704,0.0,96.296,0.0,0.0,0.0,0.0,7.692,76.923,15.385,0.0,0.0,0.0,0.0,286674944.0,49505333248.0,585728.0,1126400.0,26.400,101.0,9.0
1520172395.233,2.010,1.759,81.156,15.075,0.0,0.0,1.0,2.0,86.0,11.0,0.0,0.0,1.0,1.0,91.0,7.0,0.0,0.0,0.990,4.950,89.109,4.950,0.0,0.0,11.111,1.010,86.869,1.010,0.0,0.0,1.010,1.010,61.616,36.364,0.0,0.0,0.0,1.0,93.0,6.0,0.0,0.0,2.0,3.0,41.0,54.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,291049472.0,49495048192.0,3485696.0,1138688.0,90.0,253.0,49.0
1520172396.233,3.685,12.706,72.046,11.563,0.0,0.0,1.010,14.141,84.848,0.0,0.0,0.0,2.041,13.265,69.388,15.306,0.0,0.0,3.0,16.0,78.0,3.0,0.0,0.0,3.0,15.0,77.0,5.0,0.0,0.0,3.158,8.421,83.158,5.263,0.0,0.0,13.265,11.224,45.918,29.592,0.0,0.0,1.980,13.861,80.198,3.960,0.0,0.0,2.062,9.278,56.701,31.959,0.0,0.0,3706880.0,3990528.0,294547456.0,49491046400.0,6656000.0,114688.0,80.800,180.0,14.0
1520172397.233,3.745,7.740,77.903,10.612,0.0,0.0,3.030,8.081,76.768,12.121,0.0,0.0,1.0,14.0,85.0,0.0,0.0,0.0,3.960,3.960,88.119,2.970,0.0,0.990,3.030,8.081,86.869,2.020,0.0,0.0,0.0,5.0,88.0,7.0,0.0,0.0,11.765,8.824,77.451,1.961,0.0,0.0,2.970,6.931,87.129,2.970,0.0,0.0,5.0,8.0,33.0,54.0,0.0,0.0,0.0,0.0,309194752.0,49475833856.0,12156928.0,512000.0,80.0,126.0,40.0
1520172398.233,4.637,8.647,76.441,10.276,0.0,0.0,3.0,7.0,89.0,1.0,0.0,0.0,5.051,10.101,84.848,0.0,0.0,0.0,2.083,8.333,89.583,0.0,0.0,0.0,4.902,9.804,81.373,3.922,0.0,0.0,10.784,8.824,79.412,0.0,0.0,0.980,5.102,5.102,33.673,56.122,0.0,0.0,1.010,7.071,91.919,0.0,0.0,0.0,4.040,11.111,62.626,22.222,0.0,0.0,53944320.0,45075968.0,321605632.0,49427791872.0,11579392.0,16384.0,70.800,143.0,5.0
1520172399.233,6.407,9.799,83.543,0.251,0.0,0.0,28.283,17.172,54.545,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,5.155,5.155,87.629,2.062,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,4.0,49.0,47.0,0.0,0.0,0.0,63123456.0,55182848.0,323796992.0,49416101888.0,2031616.0,266240.0,14.800,30.0,19.0
1520172400.233,8.0,7.625,81.875,2.500,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,14.0,2.0,84.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,2.0,82.0,16.0,0.0,0.0,68341760.0,59373056.0,323637248.0,49407651840.0,0.0,69632.0,7.600,0.0,14.0
1520172401.233,14.160,1.253,83.584,1.003,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,12.871,4.950,82.178,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,68341760.0,59372032.0,323620864.0,49408413696.0,0.0,81920.0,8.400,0.0,14.0
1520172402.233,15.770,6.008,77.722,0.501,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.010,5.051,93.939,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,4.0,9.0,87.0,0.0,0.0,0.0,2.0,9.0,89.0,0.0,0.0,0.0,13.131,11.111,75.758,0.0,0.0,0.0,3.030,5.051,91.919,0.0,0.0,0.0,0.0,8.0,88.0,4.0,0.0,0.0,68341760.0,59324928.0,323641344.0,49404395520.0,262144.0,65536.0,13.200,47.0,9.0
1520172403.233,14.750,2.125,81.375,1.625,0.0,0.125,34.653,0.0,61.386,3.960,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,67.677,0.0,32.323,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,13.0,5.0,82.0,0.0,0.0,0.0,1.0,3.0,87.0,9.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,68341760.0,59332096.0,323796992.0,49405825024.0,40960.0,200704.0,16.400,9.0,18.0
1520172404.233,14.393,1.001,82.603,2.003,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,13.725,3.922,82.353,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,87.0,11.0,0.0,0.0,0.0,0.990,94.059,4.950,0.0,0.0,68341760.0,59323904.0,323796992.0,49405571072.0,0.0,69632.0,7.600,0.0,14.0
1520172405.233,14.304,1.004,83.814,0.878,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.881,3.960,84.158,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,68341760.0,59333120.0,323796992.0,49406332928.0,0.0,77824.0,7.600,0.0,14.0
1520172406.233,14.838,1.247,79.302,4.613,0.0,0.0,2.0,1.0,96.0,1.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.121,2.020,85.859,0.0,0.0,0.0,1.980,1.980,90.099,5.941,0.0,0.0,1.961,1.961,91.176,4.902,0.0,0.0,1.0,1.0,76.0,22.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,68341760.0,59273728.0,327708672.0,49399603200.0,5230592.0,16384.0,51.600,283.0,4.0
1520172407.233,15.743,4.534,72.544,6.927,0.0,0.252,0.0,1.010,98.990,0.0,0.0,0.0,2.041,6.122,74.490,17.347,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,1.980,4.950,88.119,3.960,0.0,0.990,14.0,6.0,71.0,9.0,0.0,0.0,0.0,5.051,92.929,2.020,0.0,0.0,5.051,9.091,65.657,19.192,0.0,1.010,2.041,3.061,89.796,5.102,0.0,0.0,68341760.0,59269632.0,328908800.0,49398894592.0,737280.0,212992.0,41.200,68.0,35.0
1520172408.233,7.799,10.440,81.761,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,6.061,91.919,0.0,0.0,0.0,41.0,59.0,0.0,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,3.0,5.0,92.0,0.0,0.0,0.0,14.0,3.0,83.0,0.0,0.0,0.0,0.0,4.082,95.918,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,68341760.0,59309568.0,328908800.0,49399115776.0,0.0,200704.0,10.800,0.0,18.0
1520172409.233,5.388,9.900,83.083,1.629,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,29.0,71.0,0.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.030,92.929,4.040,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,68538368.0,59308544.0,328900608.0,49399877632.0,0.0,86016.0,12.800,0.0,14.0
