"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520173452.809,1.138,0.837,97.679,0.342,0.0,0.004,1.075,0.794,97.929,0.198,0.0,0.005,1.348,0.893,97.599,0.157,0.0,0.003,1.185,0.868,97.706,0.231,0.0,0.010,1.003,0.833,98.027,0.134,0.0,0.003,1.445,0.872,97.462,0.218,0.0,0.003,0.929,0.808,97.554,0.707,0.0,0.003,0.988,0.879,97.812,0.318,0.0,0.003,1.128,0.754,97.341,0.773,0.0,0.004,0.0,0.0,288251904.0,49507516416.0,897909.603,64485.623,2.690,7.267,3.401
1520173454.688,0.942,0.808,72.611,25.639,0.0,0.0,0.0,0.538,99.462,0.0,0.0,0.0,0.0,0.538,94.624,4.839,0.0,0.0,0.0,1.613,94.624,3.763,0.0,0.0,0.541,0.541,27.568,71.351,0.0,0.0,1.613,0.538,73.656,24.194,0.0,0.0,0.0,0.541,80.0,19.459,0.0,0.0,0.535,1.070,75.401,22.995,0.0,0.0,4.891,1.087,34.783,59.239,0.0,0.0,0.0,0.0,294227968.0,49494032384.0,466944.0,110592.0,23.200,15.0,10.0
1520173454.929,6.283,4.712,70.681,18.325,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,43.478,8.696,47.826,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,4.0,8.0,0.0,88.0,0.0,0.0,4.348,0.0,60.870,34.783,0.0,0.0,4.0,8.0,80.0,8.0,0.0,0.0,0.0,8.696,82.609,8.696,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,294825984.0,49493573632.0,667648.0,12288.0,19.200,137.0,3.0
1520173455.809,2.286,1.857,78.857,16.857,0.0,0.143,0.0,1.136,80.682,17.045,0.0,1.136,1.149,0.0,80.460,18.391,0.0,0.0,1.163,2.326,86.047,10.465,0.0,0.0,2.273,2.273,75.0,20.455,0.0,0.0,12.644,3.448,51.724,32.184,0.0,0.0,0.0,1.149,72.414,26.437,0.0,0.0,0.0,2.247,89.888,7.865,0.0,0.0,0.0,2.326,95.349,2.326,0.0,0.0,0.0,0.0,297598976.0,49485045760.0,3518464.0,73728.0,75.600,254.0,13.0
1520173456.809,4.250,13.250,72.500,10.0,0.0,0.0,0.990,9.901,86.139,2.970,0.0,0.0,1.031,12.371,81.443,5.155,0.0,0.0,2.970,13.861,79.208,3.960,0.0,0.0,14.851,11.881,71.287,1.980,0.0,0.0,3.061,15.306,38.776,42.857,0.0,0.0,4.0,15.0,73.0,8.0,0.0,0.0,2.041,14.286,72.449,11.224,0.0,0.0,4.808,13.462,76.923,4.808,0.0,0.0,3674112.0,4017152.0,300929024.0,49480138752.0,6619136.0,147456.0,76.400,178.0,15.0
1520173457.809,4.654,5.786,78.742,10.566,0.0,0.252,5.102,8.163,84.694,2.041,0.0,0.0,4.040,8.081,87.879,0.0,0.0,0.0,3.0,5.0,91.0,0.0,0.0,1.0,3.061,3.061,93.878,0.0,0.0,0.0,2.970,4.950,39.604,51.485,0.0,0.990,1.980,7.921,82.178,7.921,0.0,0.0,2.0,5.0,72.0,21.0,0.0,0.0,15.0,5.0,78.0,1.0,0.0,1.0,0.0,0.0,316030976.0,49465044992.0,12066816.0,438272.0,80.800,124.0,35.0
1520173458.809,4.146,7.915,77.261,10.678,0.0,0.0,4.0,9.0,83.0,4.0,0.0,0.0,2.041,4.082,71.429,22.449,0.0,0.0,2.0,7.0,91.0,0.0,0.0,0.0,5.0,9.0,42.0,44.0,0.0,0.0,4.0,14.0,71.0,11.0,0.0,0.0,11.0,8.0,81.0,0.0,0.0,0.0,1.020,3.061,92.857,3.061,0.0,0.0,3.061,7.143,88.776,1.020,0.0,0.0,53088256.0,44685824.0,328028160.0,49422036992.0,11669504.0,94208.0,74.800,145.0,9.0
1520173459.809,6.023,10.414,79.925,3.639,0.0,0.0,2.041,3.061,94.898,0.0,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,1.020,2.041,87.755,9.184,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,12.121,3.030,72.727,12.121,0.0,0.0,9.901,4.950,85.149,0.0,0.0,0.0,0.0,1.980,90.099,7.921,0.0,0.0,21.429,65.306,13.265,0.0,0.0,0.0,56393728.0,53786624.0,329723904.0,49411436544.0,2101248.0,286720.0,23.200,30.0,29.0
1520173460.809,6.792,9.434,82.516,1.258,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.980,0.990,96.040,0.990,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,1.010,4.040,90.909,4.040,0.0,0.0,29.293,60.606,10.101,0.0,0.0,0.0,1.010,1.010,92.929,5.051,0.0,0.0,8.081,2.020,89.899,0.0,0.0,0.0,70385664.0,61652992.0,330338304.0,49396883456.0,0.0,81920.0,9.200,0.0,14.0
1520173461.809,5.632,9.762,84.606,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.881,2.970,85.149,0.0,0.0,0.0,29.293,70.707,0.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,70385664.0,61652992.0,330338304.0,49397047296.0,0.0,57344.0,2.800,0.0,5.0
