"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520173869.504,1.156,0.843,97.653,0.344,0.0,0.004,1.082,0.798,97.917,0.198,0.0,0.005,1.354,0.902,97.583,0.158,0.0,0.003,1.197,0.874,97.688,0.231,0.0,0.010,1.007,0.837,98.018,0.136,0.0,0.003,1.500,0.875,97.401,0.222,0.0,0.003,0.935,0.812,97.537,0.713,0.0,0.003,0.991,0.882,97.804,0.321,0.0,0.003,1.179,0.765,97.276,0.776,0.0,0.004,0.0,0.0,288575488.0,49509638144.0,897327.777,64583.589,2.706,7.280,3.422
1520173871.459,0.911,1.172,78.125,19.792,0.0,0.0,1.042,1.042,97.917,0.0,0.0,0.0,0.0,1.042,91.146,7.812,0.0,0.0,0.0,0.518,88.601,10.881,0.0,0.0,0.518,1.036,70.466,27.979,0.0,0.0,0.0,1.042,98.958,0.0,0.0,0.0,3.109,2.073,69.948,24.870,0.0,0.0,0.0,0.0,94.819,5.181,0.0,0.0,2.591,3.109,12.435,81.865,0.0,0.0,0.0,0.0,294449152.0,49495969792.0,208896.0,139264.0,23.200,9.0,14.0
1520173871.691,6.417,4.813,66.845,21.925,0.0,0.0,4.167,4.167,91.667,0.0,0.0,0.0,0.0,13.636,86.364,0.0,0.0,0.0,0.0,0.0,95.652,4.348,0.0,0.0,0.0,4.167,79.167,16.667,0.0,0.0,7.692,3.846,88.462,0.0,0.0,0.0,0.0,0.0,39.130,60.870,0.0,0.0,41.667,12.500,45.833,0.0,0.0,0.0,0.0,0.0,4.545,95.455,0.0,0.0,0.0,0.0,294723584.0,49494134784.0,786432.0,12288.0,16.800,169.0,3.0
1520173872.479,4.173,6.902,68.379,20.546,0.0,0.0,1.299,3.896,92.208,2.597,0.0,0.0,17.949,7.692,62.821,11.538,0.0,0.0,2.500,7.500,88.750,1.250,0.0,0.0,2.597,9.091,40.260,48.052,0.0,0.0,2.597,7.792,89.610,0.0,0.0,0.0,1.299,6.494,61.039,31.169,0.0,0.0,3.797,7.595,83.544,5.063,0.0,0.0,2.597,6.494,25.974,64.935,0.0,0.0,0.0,0.0,296767488.0,49483694080.0,3280896.0,90112.0,72.0,309.0,18.0
1520173873.479,5.653,19.472,67.588,7.286,0.0,0.0,4.082,16.327,78.571,1.020,0.0,0.0,5.941,17.822,73.267,2.970,0.0,0.0,13.131,22.222,56.566,8.081,0.0,0.0,5.0,19.0,62.0,14.0,0.0,0.0,5.0,18.0,56.0,21.0,0.0,0.0,6.122,19.388,68.367,6.122,0.0,0.0,3.883,20.388,73.786,1.942,0.0,0.0,2.041,21.429,72.449,4.082,0.0,0.0,0.0,0.0,297746432.0,49482870784.0,1200128.0,188416.0,48.400,127.0,17.0
1520173874.480,2.378,5.131,80.225,12.265,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,4.082,93.878,2.041,0.0,0.0,9.901,6.931,83.168,0.0,0.0,0.0,1.020,6.122,80.612,12.245,0.0,0.0,2.0,6.0,91.0,1.0,0.0,0.0,2.0,10.0,6.0,82.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,13578240.0,11989504.0,312446976.0,49467351040.0,15327232.0,532480.0,98.400,198.0,41.0
1520173875.479,3.392,6.658,79.774,10.050,0.0,0.126,11.0,7.0,82.0,0.0,0.0,0.0,3.0,8.0,73.0,16.0,0.0,0.0,1.961,3.922,78.431,14.706,0.0,0.980,1.020,2.041,63.265,33.673,0.0,0.0,2.0,5.0,91.0,2.0,0.0,0.0,2.941,6.863,90.196,0.0,0.0,0.0,4.040,5.051,90.909,0.0,0.0,0.0,1.020,15.306,68.367,15.306,0.0,0.0,12005376.0,6141952.0,318484480.0,49457553408.0,5386240.0,376832.0,80.800,85.0,19.0
1520173876.480,5.750,11.500,68.500,14.250,0.0,0.0,11.111,20.202,68.687,0.0,0.0,0.0,4.902,7.843,26.471,60.784,0.0,0.0,11.0,9.0,78.0,2.0,0.0,0.0,2.041,2.041,65.306,30.612,0.0,0.0,0.980,6.863,86.275,5.882,0.0,0.0,6.061,4.040,88.889,1.010,0.0,0.0,3.0,8.0,85.0,4.0,0.0,0.0,7.071,34.343,49.495,9.091,0.0,0.0,115564544.0,86610944.0,328155136.0,49362178048.0,9891840.0,393216.0,69.200,113.0,47.0
1520173877.479,14.033,22.882,62.326,0.632,0.0,0.126,18.182,66.667,15.152,0.0,0.0,0.0,3.061,7.143,85.714,4.082,0.0,0.0,11.340,6.186,82.474,0.0,0.0,0.0,3.0,9.0,88.0,0.0,0.0,0.0,21.053,17.895,61.053,0.0,0.0,0.0,29.293,36.364,34.343,0.0,0.0,0.0,12.871,26.733,59.406,0.0,0.0,0.990,13.861,11.881,74.257,0.0,0.0,0.0,128819200.0,103208960.0,330465280.0,49345298432.0,1396736.0,65536.0,6.800,17.0,9.0
1520173878.480,11.264,18.648,68.335,1.752,0.0,0.0,38.0,60.0,2.0,0.0,0.0,0.0,2.0,2.0,88.0,8.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,1.961,4.902,86.275,6.863,0.0,0.0,3.960,3.960,92.079,0.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,0.0,15.306,4.082,80.612,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143040512.0,111106048.0,330506240.0,49331421184.0,0.0,204800.0,16.0,0.0,28.0
1520173879.480,8.750,19.500,70.625,1.125,0.0,0.0,21.212,51.515,27.273,0.0,0.0,0.0,0.0,2.970,91.089,5.941,0.0,0.0,7.921,19.802,72.277,0.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,27.723,72.277,0.0,0.0,0.0,0.0,14.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143040512.0,111042560.0,330493952.0,49331658752.0,262144.0,77824.0,18.400,47.0,14.0
1520173880.480,9.262,19.149,69.712,1.877,0.0,0.0,1.0,0.0,94.0,5.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,13.861,3.960,82.178,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,2.0,1.0,88.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143040512.0,111035392.0,330665984.0,49330229248.0,40960.0,98304.0,16.0,9.0,14.0
1520173881.480,9.512,18.648,70.463,1.377,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,89.0,10.0,0.0,0.0,29.0,71.0,0.0,0.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,31.313,68.687,0.0,0.0,0.0,0.0,14.851,3.960,81.188,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143040512.0,110986240.0,330665984.0,49329721344.0,0.0,16384.0,0.0,0.0,4.0
1520173882.479,13.945,20.854,64.698,0.503,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,4.0,12.0,80.0,4.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,2.020,10.101,87.879,0.0,0.0,0.0,19.192,11.111,69.697,0.0,0.0,0.0,44.554,55.446,0.0,0.0,0.0,0.0,4.0,12.0,84.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,143040512.0,111035392.0,330665984.0,49329926144.0,0.0,61440.0,4.0,0.0,9.0
1520173883.480,22.653,6.508,69.337,1.377,0.0,0.125,0.0,0.0,100.0,0.0,0.0,0.0,2.041,2.041,88.776,7.143,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,2.020,1.010,93.939,3.030,0.0,0.0,10.0,19.0,71.0,0.0,0.0,0.0,77.778,0.0,22.222,0.0,0.0,0.0,14.141,5.051,80.808,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,143040512.0,111032320.0,330690560.0,49329594368.0,86016.0,233472.0,20.400,3.0,28.0
1520173884.479,15.250,13.875,65.500,5.375,0.0,0.0,3.0,1.0,73.0,23.0,0.0,0.0,21.0,44.0,29.0,6.0,0.0,0.0,32.323,1.010,66.667,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,9.091,28.283,57.576,5.051,0.0,0.0,34.343,30.303,35.354,0.0,0.0,0.0,1.980,1.980,91.089,4.950,0.0,0.0,17.822,3.960,78.218,0.0,0.0,0.0,143040512.0,110972928.0,334712832.0,49320562688.0,5476352.0,57344.0,50.400,294.0,5.0
1520173885.479,24.341,4.517,61.481,9.661,0.0,0.0,5.941,1.980,57.426,34.653,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,16.0,3.0,76.0,5.0,0.0,0.0,0.0,0.0,84.0,16.0,0.0,0.0,1.0,3.0,90.0,6.0,0.0,0.0,98.020,1.980,0.0,0.0,0.0,0.0,0.0,0.0,85.714,14.286,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,145137664.0,115208192.0,336797696.0,49319862272.0,2965504.0,61440.0,50.400,85.0,13.0
1520173886.480,26.065,2.882,70.927,0.125,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,48.485,2.020,49.495,0.0,0.0,0.0,14.141,4.040,81.818,0.0,0.0,0.0,43.434,5.051,51.515,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,0.0,1.0,3.0,94.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,155623424.0,123600896.0,343277568.0,49302867968.0,6377472.0,16384.0,6.800,52.0,4.0
1520173887.479,23.183,12.657,63.659,0.501,0.0,0.0,2.041,9.184,88.776,0.0,0.0,0.0,2.020,2.020,92.929,3.030,0.0,0.0,3.960,13.861,82.178,0.0,0.0,0.0,93.0,7.0,0.0,0.0,0.0,0.0,6.931,13.861,79.208,0.0,0.0,0.0,61.386,38.614,0.0,0.0,0.0,0.0,16.0,15.0,69.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,174714880.0,144939008.0,350253056.0,49276657664.0,7077888.0,61440.0,12.800,54.0,9.0
1520173888.480,18.319,11.167,69.260,1.255,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,0.0,1.042,94.792,4.167,0.0,0.0,15.152,4.040,80.808,0.0,0.0,0.0,93.0,7.0,0.0,0.0,0.0,0.0,0.0,3.960,96.040,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.990,0.0,93.069,5.941,0.0,0.0,193826816.0,161661952.0,357326848.0,49252868096.0,6815744.0,176128.0,18.800,52.0,18.0
1520173889.479,18.193,10.540,69.762,1.506,0.0,0.0,16.0,3.0,80.0,1.0,0.0,0.0,0.0,1.010,90.909,8.081,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,29.0,71.0,0.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,229478400.0,197321728.0,360251392.0,49210261504.0,3145728.0,77824.0,12.800,24.0,14.0
1520173890.480,17.706,10.973,70.324,0.998,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,4.0,3.0,86.0,7.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,89.899,7.071,3.030,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,35.354,64.646,0.0,0.0,0.0,0.0,12.121,7.071,80.808,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,235769856.0,203600896.0,366956544.0,49197621248.0,6946816.0,77824.0,12.0,53.0,14.0
1520173891.480,17.772,10.889,71.339,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,30.693,69.307,0.0,0.0,0.0,0.0,17.822,3.960,78.218,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,242061312.0,211990528.0,374280192.0,49183703040.0,7077888.0,16384.0,6.400,54.0,4.0
1520173892.479,18.916,16.015,64.187,0.883,0.0,0.0,19.0,10.0,71.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,2.970,12.871,84.158,0.0,0.0,0.0,0.0,0.0,92.632,7.368,0.0,0.0,6.061,9.091,84.848,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,3.093,10.309,86.598,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,248352768.0,218273792.0,381083648.0,49172070400.0,6553600.0,61440.0,12.0,50.0,9.0
1520173893.480,19.173,12.657,66.040,2.130,0.0,0.0,4.082,7.143,84.694,4.082,0.0,0.0,15.0,3.0,72.0,10.0,0.0,0.0,74.257,11.881,13.861,0.0,0.0,0.0,10.0,1.0,89.0,0.0,0.0,0.0,0.0,5.941,94.059,0.0,0.0,0.0,33.333,66.667,0.0,0.0,0.0,0.0,15.842,4.950,76.238,2.970,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,256741376.0,232949760.0,387719168.0,49158541312.0,5644288.0,380928.0,28.0,45.0,43.0
1520173894.480,18.227,9.988,69.788,1.873,0.0,0.125,0.0,0.990,97.030,0.990,0.0,0.990,15.152,4.040,75.758,5.051,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010,89.899,9.091,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,29.0,71.0,0.0,0.0,0.0,0.0,0.990,2.970,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,267227136.0,235051008.0,388104192.0,49144512512.0,0.0,73728.0,7.600,0.0,14.0
