"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519474863.989,0.714,0.586,98.438,0.258,0.0,0.003,0.693,0.557,98.494,0.253,0.0,0.004,0.937,0.589,98.221,0.249,0.0,0.003,0.674,0.555,98.507,0.261,0.0,0.003,0.664,0.586,98.494,0.253,0.0,0.003,0.690,0.605,98.437,0.264,0.0,0.003,0.702,0.611,98.430,0.253,0.0,0.003,0.695,0.590,98.445,0.268,0.0,0.003,0.659,0.599,98.478,0.260,0.0,0.003,0.0,0.0,311406592.0,49297694720.0,33100.116,50741.816,1.968,0.852,2.714
1519474866.032,1.407,0.856,73.211,24.465,0.0,0.061,0.493,0.493,92.118,6.897,0.0,0.0,1.478,0.985,23.645,73.892,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.980,0.490,55.392,42.647,0.0,0.490,0.976,0.976,88.780,9.268,0.0,0.0,5.769,1.442,37.981,54.327,0.0,0.481,0.0,0.0,98.039,1.961,0.0,0.0,0.990,0.990,92.079,5.941,0.0,0.0,0.0,0.0,317517824.0,49280217088.0,847872.0,12288.0,15.200,18.0,3.0
1519474866.990,5.007,12.648,73.254,9.091,0.0,0.0,3.191,10.638,81.915,4.255,0.0,0.0,2.128,11.702,79.787,6.383,0.0,0.0,4.167,14.583,76.042,5.208,0.0,0.0,12.500,14.583,56.250,16.667,0.0,0.0,8.333,12.500,68.750,10.417,0.0,0.0,2.128,11.702,77.660,8.511,0.0,0.0,4.211,12.632,66.316,16.842,0.0,0.0,3.226,12.903,79.570,4.301,0.0,0.0,0.0,0.0,319750144.0,49273741312.0,2809856.0,98304.0,60.400,281.0,9.0
1519474867.990,2.513,5.151,79.020,13.317,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,1.980,4.950,83.168,9.901,0.0,0.0,11.765,6.863,81.373,0.0,0.0,0.0,1.980,5.941,86.139,5.941,0.0,0.0,0.0,5.102,42.857,52.041,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,2.970,5.941,54.455,36.634,0.0,0.0,1.031,5.155,92.784,1.031,0.0,0.0,11636736.0,11203072.0,329695232.0,49263214592.0,14503936.0,278528.0,99.200,263.0,11.0
1519474868.990,3.141,2.764,80.905,13.191,0.0,0.0,1.961,6.863,88.235,2.941,0.0,0.0,3.030,2.020,94.949,0.0,0.0,0.0,3.030,2.020,92.929,2.020,0.0,0.0,2.020,1.010,52.525,44.444,0.0,0.0,11.881,2.970,80.198,4.950,0.0,0.0,1.010,3.030,87.879,8.081,0.0,0.0,0.0,2.0,89.0,9.0,0.0,0.0,0.0,3.030,61.616,35.354,0.0,0.0,11030528.0,7486976.0,339288064.0,49262264320.0,5910528.0,421888.0,84.0,123.0,25.0
1519474869.990,3.383,5.639,84.461,6.516,0.0,0.0,12.871,1.980,85.149,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.010,96.970,2.020,0.0,0.0,6.061,31.313,62.626,0.0,0.0,0.0,2.020,3.030,50.505,44.444,0.0,0.0,3.0,7.0,85.0,5.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,63221760.0,54118400.0,349618176.0,49113124864.0,8843264.0,16384.0,40.800,93.0,4.0
1519474870.990,6.250,11.125,77.750,4.875,0.0,0.0,1.020,1.020,95.918,2.041,0.0,0.0,2.0,4.0,70.0,24.0,0.0,0.0,0.990,0.990,96.040,1.980,0.0,0.0,3.922,6.863,84.314,4.902,0.0,0.0,14.141,55.556,30.303,0.0,0.0,0.0,13.0,3.0,78.0,6.0,0.0,0.0,15.0,17.0,68.0,0.0,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,66101248.0,61026816.0,351203328.0,49107709952.0,2068480.0,512000.0,43.600,32.0,59.0
1519474871.990,6.0,10.375,83.375,0.250,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,2.0,4.0,93.0,1.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,30.0,64.0,6.0,0.0,0.0,0.0,11.881,6.931,81.188,0.0,0.0,0.0,2.0,2.0,95.0,1.0,0.0,0.0,1.0,2.0,96.0,1.0,0.0,0.0,79032320.0,69755392.0,351756288.0,49094049792.0,4096.0,114688.0,12.400,1.0,10.0
1519474872.990,14.429,2.008,81.556,1.882,0.0,0.125,0.0,0.0,96.907,3.093,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,14.0,5.0,81.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.010,2.020,85.859,11.111,0.0,0.0,79032320.0,69755392.0,351760384.0,49093287936.0,4096.0,81920.0,8.800,1.0,8.0
1519474873.990,14.698,1.005,82.789,1.508,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.0,3.0,91.0,4.0,0.0,1.0,14.141,2.020,83.838,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020,94.949,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,79032320.0,69755392.0,351768576.0,49093287936.0,0.0,57344.0,3.600,0.0,9.0
