"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519476154.033,0.730,0.594,98.409,0.263,0.0,0.003,0.705,0.565,98.467,0.260,0.0,0.004,0.956,0.595,98.190,0.256,0.0,0.003,0.687,0.564,98.479,0.266,0.0,0.003,0.695,0.597,98.446,0.260,0.0,0.003,0.707,0.618,98.404,0.268,0.0,0.003,0.712,0.617,98.408,0.259,0.0,0.003,0.706,0.594,98.426,0.271,0.0,0.003,0.671,0.606,98.455,0.265,0.0,0.003,0.0,0.0,313823232.0,49288921088.0,34820.409,51121.438,2.006,0.919,2.756
1519476156.143,1.188,0.950,70.309,27.494,0.0,0.059,0.476,0.0,83.333,15.714,0.0,0.476,0.474,0.948,88.626,9.953,0.0,0.0,0.0,1.422,69.194,29.384,0.0,0.0,0.472,0.472,99.057,0.0,0.0,0.0,1.429,1.429,6.190,90.952,0.0,0.0,4.739,1.422,44.550,49.289,0.0,0.0,0.0,0.478,89.474,10.048,0.0,0.0,1.905,1.429,82.381,14.286,0.0,0.0,0.0,0.0,320352256.0,49270149120.0,1601536.0,12288.0,14.400,39.0,3.0
1519476157.034,2.966,8.616,76.836,11.582,0.0,0.0,1.124,10.112,71.910,16.854,0.0,0.0,2.299,8.046,79.310,10.345,0.0,0.0,1.163,4.651,77.907,16.279,0.0,0.0,2.273,6.818,80.682,10.227,0.0,0.0,1.087,9.783,83.696,4.348,0.0,1.087,2.247,11.236,86.517,0.0,0.0,0.0,1.124,7.865,89.888,1.124,0.0,0.0,12.222,10.0,43.333,34.444,0.0,0.0,876544.0,962048.0,322719744.0,49266536448.0,2633728.0,147456.0,75.200,207.0,10.0
1519476158.034,2.122,1.623,83.021,13.233,0.0,0.0,2.0,2.0,85.0,11.0,0.0,0.0,11.111,3.030,35.354,50.505,0.0,0.0,1.010,2.020,88.889,8.081,0.0,0.0,1.0,2.0,66.0,31.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,16097280.0,13122048.0,337571840.0,49249329152.0,15048704.0,532480.0,101.200,219.0,26.0
1519476159.034,2.882,2.506,79.323,15.288,0.0,0.0,12.871,2.970,68.317,15.842,0.0,0.0,0.990,0.990,96.040,1.980,0.0,0.0,0.990,1.980,80.198,16.832,0.0,0.0,4.0,5.0,90.0,1.0,0.0,0.0,1.010,2.020,95.960,1.010,0.0,0.0,3.883,3.883,67.961,24.272,0.0,0.0,1.010,0.0,76.768,22.222,0.0,0.0,1.0,3.0,55.0,41.0,0.0,0.0,17797120.0,21534720.0,346443776.0,49246203904.0,12701696.0,106496.0,89.200,190.0,10.0
1519476160.034,3.011,10.414,83.061,3.513,0.0,0.0,9.091,5.051,85.859,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,7.0,68.0,17.0,8.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.941,2.941,74.510,19.608,0.0,0.0,53727232.0,44740096.0,352002048.0,49173221376.0,1330688.0,16384.0,12.800,78.0,4.0
1519476161.034,4.386,11.404,82.957,1.253,0.0,0.0,13.0,3.0,78.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,0.0,95.918,3.061,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,0.0,1.010,97.980,1.010,0.0,0.0,18.0,82.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,53727232.0,44741120.0,352067584.0,49172570112.0,0.0,323584.0,18.0,0.0,19.0
1519476162.033,5.625,10.750,80.875,2.750,0.0,0.0,1.961,1.961,88.235,7.843,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,2.0,2.0,92.0,4.0,0.0,0.0,1.010,0.0,97.980,1.010,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,19.0,63.0,18.0,0.0,0.0,0.0,11.881,2.970,81.188,3.960,0.0,0.0,6.061,12.121,81.818,0.0,0.0,0.0,53727232.0,44721664.0,352215040.0,49171759104.0,282624.0,69632.0,13.600,48.0,6.0
1519476163.033,5.144,10.790,83.061,1.004,0.0,0.0,0.0,3.0,93.0,4.0,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,53727232.0,44719616.0,352215040.0,49170583552.0,0.0,57344.0,7.600,0.0,9.0
1519476164.034,5.362,10.848,83.167,0.499,0.0,0.125,0.0,1.0,99.0,0.0,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.980,2.941,96.078,0.0,0.0,0.0,1.980,4.950,93.069,0.0,0.0,0.0,15.842,42.574,41.584,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,10.891,30.693,58.416,0.0,0.0,0.0,53727232.0,44720640.0,352215040.0,49170710528.0,0.0,73728.0,4.400,0.0,7.0
