"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520174473.269,1.161,0.850,97.638,0.347,0.0,0.004,1.087,0.804,97.905,0.199,0.0,0.005,1.359,0.906,97.571,0.161,0.0,0.003,1.202,0.880,97.676,0.232,0.0,0.010,1.014,0.842,98.003,0.138,0.0,0.003,1.504,0.885,97.387,0.222,0.0,0.003,0.944,0.824,97.510,0.720,0.0,0.003,0.996,0.892,97.789,0.320,0.0,0.003,1.182,0.769,97.260,0.785,0.0,0.004,0.0,0.0,291606528.0,49507643392.0,895305.437,64706.056,2.726,7.283,3.449
1520174475.128,0.878,0.743,78.190,20.189,0.0,0.0,0.0,1.075,98.925,0.0,0.0,0.0,0.0,0.538,99.462,0.0,0.0,0.0,0.0,0.541,95.676,3.784,0.0,0.0,0.535,0.535,69.519,29.412,0.0,0.0,0.535,0.0,98.930,0.535,0.0,0.0,1.622,1.081,64.324,32.973,0.0,0.0,1.070,1.070,96.257,1.604,0.0,0.0,4.348,2.174,0.0,93.478,0.0,0.0,0.0,0.0,297738240.0,49495035904.0,585728.0,12288.0,16.400,128.0,3.0
1520174475.307,9.028,5.556,74.306,11.111,0.0,0.0,5.882,0.0,94.118,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,47.368,26.316,26.316,0.0,0.0,0.0,0.0,5.556,94.444,0.0,0.0,0.0,0.0,5.882,94.118,0.0,0.0,0.0,0.0,5.882,41.176,52.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.882,0.0,58.824,35.294,0.0,0.0,0.0,0.0,297820160.0,49492557824.0,684032.0,12288.0,11.600,65.0,3.0
1520174476.245,3.898,11.962,68.952,15.188,0.0,0.0,2.128,12.766,68.085,17.021,0.0,0.0,11.957,14.130,52.174,21.739,0.0,0.0,1.075,11.828,79.570,7.527,0.0,0.0,1.087,8.696,89.130,1.087,0.0,0.0,4.301,10.753,61.290,23.656,0.0,0.0,5.208,12.500,64.583,17.708,0.0,0.0,3.261,10.870,73.913,11.957,0.0,0.0,3.158,12.632,63.158,21.053,0.0,0.0,0.0,0.0,300437504.0,49480515584.0,3219456.0,94208.0,82.0,218.0,13.0
1520174477.245,2.760,6.023,79.799,11.418,0.0,0.0,1.961,4.902,91.176,1.961,0.0,0.0,1.020,4.082,92.857,2.041,0.0,0.0,11.111,4.040,84.848,0.0,0.0,0.0,2.0,10.0,87.0,1.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,1.980,5.941,11.881,80.198,0.0,0.0,3.061,7.143,88.776,1.020,0.0,0.0,2.020,6.061,87.879,4.040,0.0,0.0,15089664.0,12137472.0,315666432.0,49468620800.0,15794176.0,516096.0,97.600,201.0,37.0
1520174478.245,4.146,11.181,72.236,12.312,0.0,0.126,14.286,10.204,64.286,11.224,0.0,0.0,2.041,6.122,77.551,14.286,0.0,0.0,4.0,10.0,45.0,41.0,0.0,0.0,1.961,13.725,84.314,0.0,0.0,0.0,2.020,17.172,77.778,3.030,0.0,0.0,2.970,12.871,63.366,20.792,0.0,0.0,2.041,11.224,86.735,0.0,0.0,0.0,3.061,8.163,80.612,8.163,0.0,0.0,15118336.0,18899456.0,322441216.0,49468354560.0,10858496.0,81920.0,88.0,140.0,9.0
1520174479.245,3.250,10.500,82.875,3.375,0.0,0.0,2.0,1.0,94.0,3.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,2.020,6.061,69.697,22.222,0.0,0.0,12.871,4.950,82.178,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,5.0,64.0,30.0,1.0,0.0,0.0,58867712.0,46946304.0,330604544.0,49326968832.0,2797568.0,139264.0,12.400,33.0,5.0
1520174480.245,2.381,13.158,82.957,1.504,0.0,0.0,13.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,88.776,11.224,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,55881728.0,46995456.0,330723328.0,49328873472.0,315392.0,200704.0,27.600,50.0,28.0
1520174481.245,2.497,14.107,79.900,3.496,0.0,0.0,1.961,0.980,81.373,15.686,0.0,0.0,13.592,2.913,81.553,1.942,0.0,0.0,1.980,2.970,95.050,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.010,3.030,93.939,2.020,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,55881728.0,46985216.0,330878976.0,49327063040.0,40960.0,176128.0,12.400,9.0,14.0
1520174482.245,1.750,15.375,81.375,1.500,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.980,6.863,92.157,0.0,0.0,0.0,0.0,0.0,89.0,11.0,0.0,0.0,10.891,8.911,80.198,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,55881728.0,46954496.0,330878976.0,49327353856.0,0.0,53248.0,3.600,0.0,9.0
