"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519477254.815,0.743,0.604,98.382,0.268,0.0,0.003,0.709,0.569,98.454,0.264,0.0,0.004,0.971,0.611,98.152,0.263,0.0,0.003,0.700,0.572,98.455,0.270,0.0,0.003,0.715,0.608,98.408,0.266,0.0,0.003,0.717,0.623,98.384,0.272,0.0,0.003,0.726,0.628,98.378,0.264,0.0,0.003,0.719,0.609,98.394,0.275,0.0,0.003,0.684,0.611,98.432,0.270,0.0,0.003,0.0,0.0,319188992.0,49286012928.0,39331.242,51529.170,2.042,1.143,2.791
1519477256.834,1.181,0.684,72.716,25.420,0.0,0.0,0.498,0.0,98.010,1.493,0.0,0.0,0.498,0.498,93.035,5.970,0.0,0.0,4.523,1.005,27.638,66.834,0.0,0.0,0.0,0.0,91.045,8.955,0.0,0.0,0.985,0.0,84.236,14.778,0.0,0.0,0.495,1.485,77.228,20.792,0.0,0.0,0.498,0.995,93.035,5.473,0.0,0.0,1.500,1.0,17.0,80.500,0.0,0.0,0.0,0.0,325738496.0,49266114560.0,913408.0,12288.0,14.400,34.0,3.0
1519477257.816,4.129,10.323,76.387,9.161,0.0,0.0,1.020,10.204,83.673,5.102,0.0,0.0,10.101,12.121,73.737,4.040,0.0,0.0,4.124,8.247,79.381,8.247,0.0,0.0,4.167,8.333,85.417,2.083,0.0,0.0,5.051,11.111,81.818,2.020,0.0,0.0,3.158,9.474,62.105,25.263,0.0,0.0,3.093,10.309,75.258,11.340,0.0,0.0,3.125,12.500,68.750,15.625,0.0,0.0,0.0,182272.0,328294400.0,49263722496.0,3129344.0,106496.0,74.800,181.0,9.0
1519477258.816,1.757,1.506,83.438,13.174,0.0,0.125,2.0,3.0,16.0,78.0,0.0,1.0,8.081,5.051,81.818,5.051,0.0,0.0,0.990,0.990,85.149,12.871,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,15675392.0,12006912.0,342982656.0,49247977472.0,14491648.0,528384.0,96.800,211.0,24.0
1519477259.816,2.509,2.509,81.054,13.802,0.0,0.125,11.0,4.0,29.0,55.0,0.0,1.0,2.0,1.0,86.0,11.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,2.041,5.102,84.694,8.163,0.0,0.0,1.020,1.020,83.673,14.286,0.0,0.0,1.0,1.0,82.0,16.0,0.0,0.0,0.0,4.0,94.0,2.0,0.0,0.0,0.0,0.0,95.918,4.082,0.0,0.0,14999552.0,19203072.0,349433856.0,49248759808.0,12234752.0,90112.0,88.0,185.0,7.0
1519477260.816,3.396,9.057,83.270,4.277,0.0,0.0,6.0,6.0,64.0,24.0,0.0,0.0,13.0,1.0,83.0,3.0,0.0,0.0,1.010,2.020,88.889,8.081,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,59.0,35.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,59150336.0,49969664.0,357220352.0,49106001920.0,1986560.0,266240.0,31.200,72.0,13.0
1519477261.816,3.755,12.516,79.975,3.755,0.0,0.0,2.0,2.0,93.0,3.0,0.0,0.0,1.0,1.0,91.0,7.0,0.0,0.0,1.010,2.020,85.859,11.111,0.0,0.0,12.0,5.0,81.0,2.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,59547648.0,50587136.0,358170624.0,49103712256.0,425984.0,122880.0,26.800,44.0,11.0
1519477262.816,5.395,11.167,82.685,0.753,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,13.0,4.0,82.0,1.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.010,0.0,94.949,4.040,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,2.0,5.0,93.0,0.0,0.0,0.0,59547648.0,50553344.0,358174720.0,49101774848.0,0.0,81920.0,7.200,0.0,8.0
1519477263.816,5.388,10.401,83.208,1.003,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,91.837,8.163,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,12.245,2.041,85.714,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,59547648.0,50551296.0,358162432.0,49101361152.0,0.0,69632.0,5.600,0.0,9.0
1519477264.816,5.639,10.150,83.709,0.501,0.0,0.0,13.0,4.0,83.0,0.0,0.0,0.0,1.0,3.0,92.0,4.0,0.0,0.0,1.042,2.083,96.875,0.0,0.0,0.0,1.980,0.0,97.030,0.0,0.0,0.990,2.0,1.0,97.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,24.242,64.646,11.111,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,63741952.0,54755840.0,358842368.0,49096339456.0,548864.0,16384.0,2.0,16.0,4.0
1519477265.815,2.384,3.890,93.350,0.376,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,1.020,11.224,87.755,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,11.111,85.859,3.030,0.0,0.0,1.961,2.941,95.098,0.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,63741952.0,54749696.0,358723584.0,49096163328.0,0.0,204800.0,11.600,0.0,13.0
1519477266.816,1.880,4.386,91.353,2.381,0.0,0.0,0.990,1.980,96.040,0.990,0.0,0.0,2.020,11.111,81.818,5.051,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,0.0,16.667,78.431,4.902,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,12.121,3.030,83.838,1.010,0.0,0.0,63741952.0,54756864.0,358744064.0,49095684096.0,0.0,86016.0,10.0,0.0,10.0
1519477267.816,5.257,9.637,82.103,2.879,0.0,0.125,0.0,7.0,78.0,15.0,0.0,0.0,0.0,4.040,95.960,0.0,0.0,0.0,3.960,5.941,90.099,0.0,0.0,0.0,13.861,4.950,77.228,3.960,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,2.0,91.0,5.0,0.0,1.0,1.0,1.0,98.0,0.0,0.0,0.0,20.202,52.525,27.273,0.0,0.0,0.0,64008192.0,54944256.0,359317504.0,49095766016.0,569344.0,90112.0,16.0,31.0,10.0
1519477268.816,6.179,11.728,81.589,0.378,0.0,0.126,1.010,2.020,96.970,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,23.232,71.717,5.051,0.0,0.0,0.0,16.162,6.061,76.768,1.010,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,6.0,7.0,84.0,3.0,0.0,0.0,64008192.0,54980096.0,359350272.0,49094369280.0,172032.0,77824.0,8.0,15.0,7.0
1519477269.816,6.918,11.321,81.006,0.629,0.0,0.126,12.0,4.0,84.0,0.0,0.0,0.0,0.990,0.990,97.030,0.0,0.0,0.990,1.0,4.0,95.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,31.313,68.687,0.0,0.0,0.0,0.0,4.255,4.255,91.489,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,2.020,4.040,92.929,1.010,0.0,0.0,64008192.0,55009792.0,359510016.0,49093734400.0,4096.0,16384.0,0.0,1.0,4.0
1519477270.816,7.314,10.467,81.967,0.252,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,1.0,96.0,2.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,4.167,5.208,90.625,0.0,0.0,0.0,1.0,1.0,97.0,0.0,0.0,1.0,17.172,4.040,78.788,0.0,0.0,0.0,64008192.0,55009792.0,359510016.0,49094225920.0,0.0,217088.0,13.200,0.0,13.0
1519477271.816,7.009,11.139,79.599,2.128,0.0,0.125,11.0,4.0,85.0,0.0,0.0,0.0,0.990,0.990,92.079,5.941,0.0,0.0,3.0,1.0,95.0,1.0,0.0,0.0,2.020,1.010,87.879,9.091,0.0,0.0,31.683,68.317,0.0,0.0,0.0,0.0,5.882,8.824,85.294,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,5.051,90.909,1.010,0.0,1.010,64008192.0,55016960.0,359792640.0,49094115328.0,905216.0,81920.0,9.200,10.0,10.0
1519477272.816,7.018,11.278,80.827,0.752,0.0,0.125,1.010,0.0,98.990,0.0,0.0,0.0,0.0,5.0,92.0,3.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,29.293,70.707,0.0,0.0,0.0,0.0,3.030,6.061,90.909,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,21.0,6.0,73.0,0.0,0.0,0.0,66105344.0,57049600.0,362418176.0,49089175552.0,2752512.0,86016.0,11.600,21.0,10.0
1519477273.816,7.412,11.558,81.030,0.0,0.0,0.0,0.990,3.960,95.050,0.0,0.0,0.0,13.131,2.020,84.848,0.0,0.0,0.0,1.980,3.960,94.059,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.663,66.337,0.0,0.0,0.0,0.0,7.0,9.0,84.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,2.062,5.155,92.784,0.0,0.0,0.0,72396800.0,63370752.0,365285376.0,49080803328.0,2740224.0,69632.0,6.400,24.0,7.0
1519477274.816,7.080,11.252,81.163,0.506,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,4.0,2.0,94.0,0.0,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,28.0,71.0,0.0,0.0,0.0,1.0,4.167,5.208,87.500,3.125,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,4.167,4.167,91.667,0.0,0.0,0.0,72396800.0,63399424.0,365948928.0,49078784000.0,0.0,16384.0,0.0,0.0,4.0
1519477275.816,5.934,11.742,82.071,0.253,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,5.051,7.071,84.848,3.030,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,2.105,1.053,96.842,0.0,0.0,0.0,72396800.0,63399424.0,365940736.0,49079627776.0,0.0,217088.0,13.600,0.0,13.0
1519477276.816,6.305,10.971,79.950,2.522,0.0,0.252,11.224,5.102,83.673,0.0,0.0,0.0,1.0,2.0,92.0,5.0,0.0,0.0,0.0,1.020,91.837,7.143,0.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,31.0,68.0,0.0,0.0,0.0,1.0,2.083,4.167,91.667,2.083,0.0,0.0,0.0,3.960,96.040,0.0,0.0,0.0,4.040,5.051,90.909,0.0,0.0,0.0,72396800.0,63405568.0,365989888.0,49079451648.0,61440.0,77824.0,8.800,5.0,10.0
1519477277.816,6.549,11.461,80.605,1.385,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,3.061,92.857,4.082,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,11.0,6.0,79.0,4.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,4.040,3.030,89.899,3.030,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,5.102,6.122,88.776,0.0,0.0,0.0,72396800.0,63401472.0,366055424.0,49078992896.0,12288.0,249856.0,12.0,3.0,42.0
1519477278.816,7.152,11.543,81.054,0.0,0.0,0.251,1.0,2.0,97.0,0.0,0.0,0.0,13.861,4.950,81.188,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,3.030,2.020,94.949,0.0,0.0,0.0,31.0,69.0,0.0,0.0,0.0,0.0,3.030,5.051,91.919,0.0,0.0,0.0,0.0,2.0,97.0,0.0,0.0,1.0,3.061,6.122,90.816,0.0,0.0,0.0,72396800.0,63399424.0,366194688.0,49079246848.0,135168.0,118784.0,5.200,7.0,7.0
1519477279.816,7.098,10.773,81.622,0.380,0.0,0.127,1.010,0.0,98.990,0.0,0.0,0.0,13.131,3.030,83.838,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,3.030,93.939,3.030,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,3.158,3.158,93.684,0.0,0.0,0.0,0.0,2.0,97.0,0.0,0.0,1.0,6.061,4.040,88.889,1.010,0.0,0.0,72396800.0,63433216.0,366178304.0,49080930304.0,0.0,16384.0,0.0,0.0,4.0
1519477280.816,6.675,11.335,81.612,0.378,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,13.131,4.040,82.828,0.0,0.0,0.0,1.0,3.0,94.0,2.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,3.125,2.083,94.792,0.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,0.0,6.122,3.061,90.816,0.0,0.0,0.0,72396800.0,63412736.0,366317568.0,49080643584.0,126976.0,212992.0,16.800,6.0,13.0
1519477281.816,7.044,11.069,79.119,2.767,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,2.041,85.714,12.245,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,13.131,4.040,72.727,10.101,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,3.030,7.071,89.899,0.0,0.0,0.0,32.323,67.677,0.0,0.0,0.0,0.0,4.0,4.0,92.0,0.0,0.0,0.0,72396800.0,63408640.0,366342144.0,49079623680.0,0.0,81920.0,6.800,0.0,10.0
1519477282.816,6.218,11.041,81.599,1.142,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.010,2.020,93.939,3.030,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,0.0,0.0,96.939,3.061,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,14.583,4.167,79.167,2.083,0.0,0.0,27.723,72.277,0.0,0.0,0.0,0.0,4.167,4.167,91.667,0.0,0.0,0.0,72396800.0,63408640.0,366354432.0,49079730176.0,12288.0,94208.0,8.0,3.0,11.0
1519477283.816,6.827,11.504,81.416,0.126,0.0,0.126,0.990,2.970,94.059,1.980,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.0,2.941,96.078,0.0,0.0,0.980,15.306,6.122,78.571,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,4.211,5.263,90.526,0.0,0.0,0.0,72396800.0,63408640.0,366366720.0,49079373824.0,0.0,90112.0,3.600,0.0,7.0
1519477284.816,7.098,10.646,81.622,0.507,0.0,0.127,1.042,2.083,96.875,0.0,0.0,0.0,1.010,4.040,94.949,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,0.0,1.020,97.959,0.0,0.0,1.020,2.0,4.0,94.0,0.0,0.0,0.0,31.313,68.687,0.0,0.0,0.0,0.0,5.208,3.125,88.542,3.125,0.0,0.0,72396800.0,63412736.0,366473216.0,49079201792.0,110592.0,16384.0,0.0,3.0,4.0
1519477285.816,5.402,12.312,81.533,0.377,0.0,0.377,3.093,6.186,90.722,0.0,0.0,0.0,0.0,2.941,94.118,0.980,0.0,1.961,3.093,4.124,92.784,0.0,0.0,0.0,12.0,3.0,85.0,0.0,0.0,0.0,0.0,0.990,98.020,0.0,0.0,0.990,0.0,0.0,100.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,3.030,93.939,3.030,0.0,0.0,72396800.0,63407616.0,366473216.0,49078992896.0,0.0,204800.0,12.0,0.0,13.0
1519477286.816,6.557,10.971,80.706,1.639,0.0,0.126,2.062,5.155,92.784,0.0,0.0,0.0,0.990,0.0,95.050,2.970,0.0,0.990,3.125,6.250,90.625,0.0,0.0,0.0,0.990,0.0,94.059,4.950,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,0.990,2.970,93.069,2.970,0.0,0.0,31.0,69.0,0.0,0.0,0.0,0.0,11.0,4.0,83.0,2.0,0.0,0.0,72396800.0,63402496.0,366510080.0,49079500800.0,0.0,81920.0,6.800,0.0,10.0
1519477287.816,6.195,10.999,81.795,0.885,0.0,0.126,1.031,3.093,95.876,0.0,0.0,0.0,0.0,1.010,92.929,6.061,0.0,0.0,4.040,3.030,92.929,0.0,0.0,0.0,11.111,5.051,83.838,0.0,0.0,0.0,1.0,0.0,98.0,0.0,0.0,1.0,3.093,4.124,92.784,0.0,0.0,0.0,29.0,70.0,1.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,72396800.0,63403520.0,366510080.0,49079754752.0,4096.0,106496.0,8.0,1.0,13.0
1519477288.816,5.934,12.500,81.439,0.126,0.0,0.0,3.093,5.155,91.753,0.0,0.0,0.0,10.101,32.323,57.576,0.0,0.0,0.0,2.083,5.208,92.708,0.0,0.0,0.0,11.881,3.960,84.158,0.0,0.0,0.0,0.980,2.941,96.078,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,18.182,44.444,37.374,0.0,0.0,0.0,2.0,5.0,92.0,1.0,0.0,0.0,72396800.0,63400448.0,366600192.0,49078816768.0,77824.0,77824.0,4.0,7.0,7.0
