"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520176603.330,1.205,0.903,97.525,0.362,0.0,0.004,1.144,0.848,97.795,0.209,0.0,0.005,1.410,0.981,97.437,0.169,0.0,0.004,1.234,0.918,97.593,0.244,0.0,0.011,1.057,0.888,97.905,0.147,0.0,0.003,1.533,0.938,97.293,0.233,0.0,0.003,0.993,0.886,97.365,0.753,0.0,0.003,1.054,0.949,97.666,0.328,0.0,0.003,1.217,0.817,97.147,0.814,0.0,0.004,0.0,0.0,288616448.0,49505296384.0,899123.807,72226.300,2.826,7.375,3.585
1520176605.342,1.370,1.494,73.039,24.035,0.0,0.062,5.500,1.500,34.0,59.0,0.0,0.0,0.995,1.990,11.443,85.572,0.0,0.0,0.990,1.485,93.069,4.455,0.0,0.0,0.985,0.493,73.399,24.631,0.0,0.493,0.500,1.0,98.500,0.0,0.0,0.0,1.500,2.0,89.0,7.500,0.0,0.0,1.005,0.503,95.477,3.015,0.0,0.0,0.495,2.475,89.109,7.921,0.0,0.0,0.0,0.0,294367232.0,49492217856.0,294912.0,86016.0,17.600,37.0,11.0
1520176606.314,2.188,2.188,81.725,13.900,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,0.0,2.083,86.458,11.458,0.0,0.0,0.0,2.083,87.500,10.417,0.0,0.0,2.105,4.211,33.684,60.0,0.0,0.0,1.010,2.020,92.929,4.040,0.0,0.0,0.0,2.041,80.612,17.347,0.0,0.0,1.031,2.062,90.722,6.186,0.0,0.0,11.340,2.062,83.505,3.093,0.0,0.0,0.0,0.0,297062400.0,49482977280.0,4444160.0,16384.0,86.800,392.0,5.0
1520176607.314,5.506,20.230,66.709,7.554,0.0,0.0,5.0,20.0,57.0,18.0,0.0,0.0,4.040,22.222,72.727,1.010,0.0,0.0,4.124,18.557,70.103,7.216,0.0,0.0,3.0,21.0,73.0,3.0,0.0,0.0,4.0,23.0,65.0,8.0,0.0,0.0,7.143,26.531,53.061,13.265,0.0,0.0,14.894,15.957,64.894,4.255,0.0,0.0,4.124,14.433,75.258,6.186,0.0,0.0,0.0,0.0,297963520.0,49480876032.0,532480.0,86016.0,34.0,77.0,13.0
1520176608.314,4.015,11.920,72.898,11.167,0.0,0.0,4.040,9.091,86.869,0.0,0.0,0.0,3.922,13.725,73.529,8.824,0.0,0.0,2.970,15.842,81.188,0.0,0.0,0.0,13.684,9.474,75.789,1.053,0.0,0.0,3.030,11.111,61.616,24.242,0.0,0.0,1.980,11.881,85.149,0.990,0.0,0.0,2.0,9.0,37.0,52.0,0.0,0.0,1.0,14.0,83.0,2.0,0.0,0.0,13824000.0,11820544.0,311779328.0,49466179584.0,15351808.0,520192.0,98.0,200.0,23.0
1520176609.314,3.262,4.768,78.545,13.300,0.0,0.125,4.082,5.102,58.163,32.653,0.0,0.0,2.970,3.960,71.287,20.792,0.0,0.990,1.0,4.0,81.0,14.0,0.0,0.0,1.980,3.960,93.069,0.990,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,13.0,5.0,56.0,26.0,0.0,0.0,0.0,3.030,92.929,4.040,0.0,0.0,3.061,9.184,79.592,7.143,0.0,1.020,12247040.0,6859264.0,318164992.0,49456136192.0,6017024.0,212992.0,89.200,98.0,24.0
1520176610.314,3.750,6.250,70.0,20.0,0.0,0.0,3.960,12.871,58.416,24.752,0.0,0.0,3.061,5.102,34.694,57.143,0.0,0.0,4.082,6.122,27.551,62.245,0.0,0.0,2.020,3.030,86.869,8.081,0.0,0.0,2.970,5.941,91.089,0.0,0.0,0.0,0.0,3.960,96.040,0.0,0.0,0.0,0.980,6.863,82.353,9.804,0.0,0.0,12.0,6.0,81.0,1.0,0.0,0.0,76623872.0,49729024.0,328212480.0,49310900224.0,8318976.0,1314816.0,85.600,90.0,90.0
1520176611.314,4.0,22.875,69.875,3.250,0.0,0.0,5.941,94.059,0.0,0.0,0.0,0.0,4.902,66.667,19.608,8.824,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.082,11.224,70.408,14.286,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,12.121,3.030,83.838,1.010,0.0,0.0,4.040,1.010,94.949,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,113795072.0,82589696.0,328888320.0,49187045376.0,405504.0,184320.0,18.400,10.0,26.0
1520176612.314,6.524,21.581,70.891,1.004,0.0,0.0,10.0,89.0,1.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,15.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,113795072.0,82589696.0,328962048.0,49186553856.0,57344.0,90112.0,8.800,4.0,14.0
1520176613.314,14.810,20.253,63.797,1.139,0.0,0.0,51.515,39.394,9.091,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,5.051,9.091,81.818,4.040,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,7.071,9.091,83.838,0.0,0.0,0.0,2.041,8.163,84.694,5.102,0.0,0.0,5.155,8.247,86.598,0.0,0.0,0.0,16.162,16.162,67.677,0.0,0.0,0.0,125108224.0,93841408.0,330604544.0,49174417408.0,2732032.0,69632.0,8.400,27.0,9.0
1520176614.314,15.783,15.783,68.308,0.0,0.0,0.126,71.717,25.253,3.030,0.0,0.0,0.0,28.283,71.717,0.0,0.0,0.0,0.0,9.677,22.581,67.742,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.141,4.040,81.818,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,131399680.0,102222848.0,335675392.0,49162285056.0,5230592.0,110592.0,6.800,43.0,6.0
