"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520420647.489,0.888,1.276,97.593,0.240,0.0,0.003,0.903,1.160,97.796,0.138,0.0,0.004,0.937,1.266,97.697,0.097,0.0,0.002,0.923,1.455,97.472,0.144,0.0,0.007,0.820,1.314,97.778,0.087,0.0,0.002,1.020,1.348,97.480,0.150,0.0,0.002,0.825,1.109,97.538,0.526,0.0,0.002,0.788,1.248,97.720,0.241,0.0,0.002,0.886,1.309,97.261,0.541,0.0,0.003,0.0,0.0,426754048.0,49339613184.0,402670.840,52666.565,1.842,3.496,2.612
1520420650.293,0.761,1.074,67.189,30.976,0.0,0.0,2.878,1.799,10.432,84.892,0.0,0.0,0.712,0.712,83.274,15.302,0.0,0.0,1.799,1.439,29.856,66.906,0.0,0.0,0.358,0.717,97.849,1.075,0.0,0.0,0.0,0.358,97.491,2.151,0.0,0.0,0.0,0.358,77.778,21.864,0.0,0.0,0.356,1.423,81.139,17.082,0.0,0.0,0.360,1.439,59.353,38.849,0.0,0.0,0.0,0.0,435228672.0,49318539264.0,417792.0,12288.0,18.800,57.0,3.0
1520420650.519,9.605,19.209,57.627,13.559,0.0,0.0,0.0,13.043,86.957,0.0,0.0,0.0,8.333,20.833,45.833,25.0,0.0,0.0,45.455,22.727,31.818,0.0,0.0,0.0,0.0,25.0,62.500,12.500,0.0,0.0,4.167,16.667,54.167,25.0,0.0,0.0,4.762,19.048,47.619,28.571,0.0,0.0,9.524,19.048,61.905,9.524,0.0,0.0,4.762,23.810,61.905,9.524,0.0,0.0,1138688.0,708096.0,435556352.0,49317175296.0,888832.0,16384.0,18.0,37.0,4.0
1520420651.456,2.403,1.335,81.175,15.087,0.0,0.0,1.064,1.064,97.872,0.0,0.0,0.0,0.0,1.087,98.913,0.0,0.0,0.0,1.064,1.064,90.426,7.447,0.0,0.0,2.151,0.0,97.849,0.0,0.0,0.0,12.088,3.297,18.681,65.934,0.0,0.0,0.0,1.075,81.720,17.204,0.0,0.0,3.226,1.075,67.742,27.957,0.0,0.0,0.0,0.0,97.849,2.151,0.0,0.0,15847424.0,13622784.0,450805760.0,49301020672.0,15577088.0,544768.0,98.0,192.0,37.0
1520420652.455,2.509,2.258,81.430,13.802,0.0,0.0,0.0,2.020,71.717,26.263,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,1.980,1.980,74.257,21.782,0.0,0.0,0.0,0.990,79.208,19.802,0.0,0.0,1.980,3.960,80.198,13.861,0.0,0.0,1.0,0.0,91.0,8.0,0.0,0.0,13.0,3.0,83.0,1.0,0.0,0.0,2.0,5.0,72.0,21.0,0.0,0.0,7905280.0,4578304.0,454606848.0,49303879680.0,3088384.0,1056768.0,86.400,54.0,89.0
1520420653.456,2.244,5.237,82.045,10.349,0.0,0.125,0.980,2.941,95.098,0.980,0.0,0.0,3.960,1.980,63.366,29.703,0.0,0.990,1.0,0.0,90.0,9.0,0.0,0.0,1.0,2.0,63.0,34.0,0.0,0.0,1.010,19.192,79.798,0.0,0.0,0.0,9.0,4.0,87.0,0.0,0.0,0.0,2.0,6.0,89.0,3.0,0.0,0.0,0.980,4.902,88.235,5.882,0.0,0.0,56446976.0,47624192.0,465448960.0,49163403264.0,10158080.0,16384.0,52.0,118.0,4.0
1520420654.456,4.010,11.529,80.326,4.135,0.0,0.0,14.141,3.030,82.828,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.990,92.079,6.931,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,10.0,0.0,0.0,0.0,0.0,89.899,10.101,0.0,0.0,1.010,0.0,92.929,6.061,0.0,0.0,55250944.0,46619648.0,465772544.0,49160863744.0,176128.0,229376.0,23.200,6.0,28.0
1520420655.456,4.756,11.014,83.104,1.126,0.0,0.0,2.0,2.0,95.0,1.0,0.0,0.0,12.121,3.030,84.848,0.0,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,21.0,79.0,0.0,0.0,0.0,0.0,1.020,1.020,93.878,4.082,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,96.0,3.0,0.0,0.0,55250944.0,46600192.0,466014208.0,49158254592.0,4096.0,81920.0,8.0,1.0,14.0
1520420656.456,6.008,9.887,83.730,0.375,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,32.0,68.0,0.0,0.0,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,55250944.0,46600192.0,466018304.0,49157746688.0,0.0,65536.0,3.200,0.0,9.0
1520420657.455,5.660,8.553,83.522,2.264,0.0,0.0,1.0,2.0,87.0,10.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,0.0,1.010,93.939,5.051,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,28.0,59.0,13.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.020,2.041,93.878,3.061,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,59711488.0,50794496.0,466599936.0,49153298432.0,548864.0,217088.0,18.800,16.0,28.0
