"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520417558.031,0.876,1.267,97.621,0.233,0.0,0.003,0.888,1.154,97.820,0.135,0.0,0.004,0.919,1.250,97.733,0.095,0.0,0.002,0.915,1.453,97.489,0.138,0.0,0.007,0.804,1.299,97.810,0.085,0.0,0.002,1.011,1.338,97.503,0.146,0.0,0.002,0.814,1.098,97.579,0.507,0.0,0.002,0.779,1.239,97.742,0.238,0.0,0.002,0.877,1.304,97.292,0.525,0.0,0.003,0.0,0.0,426045440.0,49341517824.0,399570.359,49321.153,1.792,3.456,2.544
1520417559.185,1.647,1.427,82.656,14.270,0.0,0.0,1.754,0.877,71.053,26.316,0.0,0.0,0.870,0.870,98.261,0.0,0.0,0.0,8.772,2.632,46.491,42.105,0.0,0.0,0.870,3.478,95.652,0.0,0.0,0.0,1.724,3.448,81.897,12.931,0.0,0.0,0.0,0.0,74.336,25.664,0.0,0.0,0.885,0.885,95.575,2.655,0.0,0.0,0.0,0.0,95.575,4.425,0.0,0.0,0.0,0.0,429445120.0,49334910976.0,8192.0,12288.0,5.200,2.0,3.0
1520417560.032,2.222,0.889,95.556,1.333,0.0,0.0,0.0,1.190,95.238,3.571,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.590,2.410,0.0,0.0,1.205,0.0,98.795,0.0,0.0,0.0,13.095,1.190,85.714,0.0,0.0,0.0,1.163,1.163,97.674,0.0,0.0,0.0,1.163,1.163,97.674,0.0,0.0,0.0,1.190,1.190,94.048,3.571,0.0,0.0,0.0,0.0,429461504.0,49334784000.0,0.0,86016.0,3.200,0.0,8.0
1520417561.032,1.754,1.378,92.481,4.386,0.0,0.0,10.0,3.0,81.0,6.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,0.990,1.980,94.059,2.970,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,94.059,5.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,0.990,0.990,81.188,16.832,0.0,0.0,0.0,0.0,430481408.0,49330368512.0,1908736.0,188416.0,48.0,108.0,32.0
1520417562.031,2.136,1.382,84.673,11.809,0.0,0.0,2.020,2.020,90.909,5.051,0.0,0.0,9.0,4.0,85.0,2.0,0.0,0.0,1.010,0.0,96.970,2.020,0.0,0.0,0.0,1.010,90.909,8.081,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.980,1.961,94.118,2.941,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.124,2.062,16.495,77.320,0.0,0.0,0.0,0.0,434294784.0,49317089280.0,4583424.0,12288.0,92.800,413.0,3.0
1520417563.032,2.381,5.138,66.667,25.815,0.0,0.0,0.0,4.0,80.0,16.0,0.0,0.0,1.010,6.061,44.444,48.485,0.0,0.0,3.0,5.0,71.0,21.0,0.0,0.0,0.980,4.902,71.569,22.549,0.0,0.0,1.020,2.041,60.204,36.735,0.0,0.0,0.0,6.122,74.490,19.388,0.0,0.0,10.891,6.931,46.535,35.644,0.0,0.0,0.990,4.950,87.129,6.931,0.0,0.0,2682880.0,1879552.0,437411840.0,49312952320.0,4079616.0,425984.0,108.400,187.0,30.0
1520417564.032,2.264,1.635,78.365,17.736,0.0,0.0,12.121,3.030,77.778,7.071,0.0,0.0,1.010,1.010,79.798,18.182,0.0,0.0,1.010,1.010,95.960,2.020,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.990,1.980,88.119,8.911,0.0,0.0,0.0,1.010,96.970,2.020,0.0,0.0,1.010,2.020,14.141,82.828,0.0,0.0,1.010,3.030,75.758,20.202,0.0,0.0,15876096.0,12060160.0,452079616.0,49296936960.0,13615104.0,946176.0,90.400,153.0,70.0
1520417565.032,2.130,2.506,79.825,15.539,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,0.0,3.0,78.0,19.0,0.0,0.0,0.0,1.020,97.959,1.020,0.0,0.0,0.0,1.010,76.768,22.222,0.0,0.0,1.010,2.020,90.909,6.061,0.0,0.0,1.980,1.980,45.545,50.495,0.0,0.0,1.980,5.941,75.248,16.832,0.0,0.0,0.0,2.020,89.899,8.081,0.0,0.0,12259328.0,9455104.0,456388608.0,49300271104.0,7102464.0,557056.0,90.800,105.0,42.0
1520417566.032,2.753,7.760,84.856,4.631,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,2.020,5.051,87.879,5.051,0.0,0.0,0.0,0.990,98.020,0.990,0.0,0.0,15.0,51.0,34.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.980,1.980,69.307,26.733,0.0,0.0,56655872.0,46515712.0,465612800.0,49160114176.0,6098944.0,16384.0,22.0,68.0,4.0
1520417567.032,4.893,10.540,83.563,1.004,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,0.0,92.079,6.931,0.0,0.0,0.0,2.020,95.960,2.020,0.0,0.0,24.0,76.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55259136.0,46583296.0,465846272.0,49160908800.0,0.0,348160.0,8.800,0.0,20.0
1520417568.031,5.382,9.887,83.605,1.126,0.0,0.0,12.121,2.020,85.859,0.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,2.970,97.030,0.0,0.0,0.0,28.0,72.0,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55259136.0,46591488.0,465850368.0,49161035776.0,0.0,61440.0,7.600,0.0,13.0
1520417569.032,5.507,11.014,82.478,1.001,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.919,8.081,0.0,0.0,3.030,1.010,95.960,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,13.861,4.950,80.198,0.990,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,55259136.0,48635392.0,465858560.0,49159954432.0,385024.0,77824.0,9.600,7.0,14.0
1520417570.032,3.652,6.549,89.169,0.630,0.0,0.0,1.010,7.071,90.909,1.010,0.0,0.0,0.0,1.020,94.898,4.082,0.0,0.0,1.010,5.051,93.939,0.0,0.0,0.0,13.131,32.323,54.545,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,1.0,4.0,95.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,59453440.0,50725376.0,466407424.0,49154871296.0,167936.0,61440.0,6.400,10.0,9.0
1520417571.032,2.133,3.639,94.228,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,2.0,14.0,84.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,10.101,89.899,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,14.0,1.0,85.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59453440.0,50728448.0,466407424.0,49154109440.0,0.0,16384.0,0.400,0.0,4.0
1520417572.032,3.764,7.654,86.073,2.509,0.0,0.0,15.0,43.0,42.0,0.0,0.0,0.0,0.0,0.990,95.050,3.960,0.0,0.0,2.020,11.111,80.808,6.061,0.0,0.0,13.0,3.0,81.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,95.960,3.030,0.0,0.0,59723776.0,50920960.0,466968576.0,49153568768.0,569344.0,212992.0,21.600,31.0,28.0
1520417573.031,6.242,10.986,80.400,2.372,0.0,0.0,26.0,73.0,1.0,0.0,0.0,0.0,0.0,1.010,96.970,2.020,0.0,0.0,4.950,4.950,83.168,6.931,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,13.861,2.970,83.168,0.0,0.0,0.0,2.020,2.020,91.919,4.040,0.0,0.0,1.961,1.961,94.118,1.961,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,59723776.0,50938368.0,467058688.0,49153519616.0,3514368.0,77824.0,39.200,124.0,13.0
1520417574.032,6.927,11.335,72.292,9.446,0.0,0.0,29.0,70.0,1.0,0.0,0.0,0.0,6.0,4.0,36.0,54.0,0.0,0.0,4.0,5.0,90.0,1.0,0.0,0.0,1.010,2.020,91.919,5.051,0.0,0.0,2.020,3.030,88.889,6.061,0.0,0.0,14.0,4.0,78.0,4.0,0.0,0.0,0.0,2.020,95.960,2.020,0.0,0.0,0.0,2.0,95.0,3.0,0.0,0.0,59723776.0,50976256.0,472289280.0,49147011072.0,2494464.0,20480.0,56.400,210.0,5.0
1520417575.032,6.297,10.453,82.494,0.630,0.0,0.126,28.571,71.429,0.0,0.0,0.0,0.0,1.031,0.0,98.969,0.0,0.0,0.0,5.208,2.083,92.708,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,12.245,3.061,79.592,5.102,0.0,0.0,59723776.0,50975232.0,472289280.0,49147342848.0,0.0,69632.0,5.200,0.0,9.0
1520417576.032,5.801,10.467,83.228,0.378,0.0,0.126,27.0,73.0,0.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,6.122,2.041,86.735,4.082,0.0,1.020,0.990,1.980,97.030,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,12.121,2.020,84.848,0.0,0.0,1.010,0.0,0.990,99.010,0.0,0.0,0.0,59723776.0,50974208.0,472309760.0,49146945536.0,643072.0,225280.0,5.200,8.0,43.0
1520417577.032,6.767,9.900,80.952,2.256,0.0,0.125,12.0,24.0,64.0,0.0,0.0,0.0,0.0,0.0,95.960,4.040,0.0,0.0,1.0,3.0,95.0,0.0,0.0,1.0,13.0,3.0,84.0,0.0,0.0,0.0,3.093,5.155,90.722,1.031,0.0,0.0,0.0,1.0,91.0,8.0,0.0,0.0,23.0,42.0,35.0,0.0,0.0,0.0,1.0,1.0,93.0,5.0,0.0,0.0,62083072.0,53073408.0,475193344.0,49142165504.0,2752512.0,233472.0,21.200,21.0,28.0
1520417578.031,6.884,10.388,81.602,1.126,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,2.020,3.030,94.949,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,3.960,7.921,88.119,0.0,0.0,0.0,13.0,2.0,81.0,4.0,0.0,0.0,34.343,65.657,0.0,0.0,0.0,0.0,0.0,2.0,93.0,5.0,0.0,0.0,68374528.0,59363840.0,478064640.0,49132683264.0,2740224.0,81920.0,12.800,24.0,14.0
1520417579.031,6.305,11.223,82.346,0.0,0.0,0.126,2.0,1.0,97.0,0.0,0.0,0.0,6.186,3.093,90.722,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,14.0,5.0,81.0,0.0,0.0,0.0,0.0,2.083,96.875,0.0,0.0,1.042,1.0,3.0,96.0,0.0,0.0,0.0,27.0,73.0,0.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,68374528.0,59364864.0,478724096.0,49131159552.0,262144.0,16384.0,0.800,2.0,4.0
1520417580.032,6.549,10.327,82.494,0.504,0.0,0.126,0.0,1.0,99.0,0.0,0.0,0.0,0.990,1.980,97.030,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,13.861,4.950,81.188,0.0,0.0,0.0,1.042,7.292,90.625,0.0,0.0,1.042,1.010,1.010,93.939,4.040,0.0,0.0,35.644,63.366,0.990,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,68374528.0,59336192.0,478724096.0,49132285952.0,0.0,69632.0,4.0,0.0,9.0
1520417581.032,5.993,11.236,81.648,0.874,0.0,0.250,0.990,1.980,97.030,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,1.0,98.0,0.0,0.0,1.0,12.0,3.0,84.0,0.0,0.0,1.0,6.863,7.843,83.333,1.961,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,26.0,73.0,1.0,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,68374528.0,59323904.0,478793728.0,49131204608.0,69632.0,69632.0,8.800,7.0,9.0
1520417582.032,5.646,11.167,79.925,3.262,0.0,0.0,13.0,2.0,85.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,2.062,97.938,0.0,0.0,0.0,4.0,7.0,89.0,0.0,0.0,0.0,0.0,0.990,88.119,10.891,0.0,0.0,26.531,73.469,0.0,0.0,0.0,0.0,1.010,1.010,83.838,14.141,0.0,0.0,68374528.0,59332096.0,481218560.0,49128681472.0,0.0,2957312.0,23.600,0.0,69.0
1520417583.032,5.764,11.153,81.955,1.003,0.0,0.125,0.0,0.0,100.0,0.0,0.0,0.0,27.0,48.0,25.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,2.020,4.040,91.919,2.020,0.0,0.0,3.960,4.950,91.089,0.0,0.0,0.0,0.0,1.0,95.0,4.0,0.0,0.0,10.891,28.713,59.406,0.0,0.0,0.990,0.0,1.010,95.960,3.030,0.0,0.0,68374528.0,59324928.0,481218560.0,49128316928.0,135168.0,81920.0,7.200,7.0,14.0
1520417584.032,6.658,10.804,82.412,0.0,0.0,0.126,2.0,2.0,96.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.0,5.0,93.0,0.0,0.0,1.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.071,5.051,87.879,0.0,0.0,0.0,12.121,4.040,83.838,0.0,0.0,0.0,68374528.0,59287040.0,481353728.0,49127919616.0,0.0,16384.0,0.0,0.0,4.0
1520417585.031,6.297,11.587,81.612,0.378,0.0,0.126,0.0,1.020,98.980,0.0,0.0,0.0,13.861,40.594,45.545,0.0,0.0,0.0,1.020,2.041,96.939,0.0,0.0,0.0,3.030,8.081,87.879,0.0,0.0,1.010,1.010,1.010,97.980,0.0,0.0,0.0,16.162,30.303,53.535,0.0,0.0,0.0,12.0,5.0,79.0,4.0,0.0,0.0,2.970,3.960,93.069,0.0,0.0,0.0,68374528.0,59333120.0,481480704.0,49127776256.0,126976.0,65536.0,3.600,6.0,9.0
1520417586.031,5.927,10.467,83.607,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.245,3.061,84.694,0.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,30.0,69.0,1.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,4.167,3.125,92.708,0.0,0.0,0.0,68374528.0,59336192.0,481480704.0,49127776256.0,0.0,16384.0,0.400,0.0,4.0
1520417587.032,6.667,10.566,81.132,1.635,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,5.051,4.040,90.909,0.0,0.0,0.0,0.0,3.030,96.970,0.0,0.0,0.0,15.534,0.971,83.495,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.293,70.707,0.0,0.0,0.0,0.0,0.0,1.010,86.869,12.121,0.0,0.0,0.0,5.102,93.878,0.0,0.0,1.020,68374528.0,59324928.0,481521664.0,49127751680.0,8192.0,225280.0,15.200,2.0,28.0
1520417588.032,6.439,10.227,82.323,0.884,0.0,0.126,0.0,2.020,97.980,0.0,0.0,0.0,4.211,0.0,95.789,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,13.402,2.062,84.536,0.0,0.0,0.0,0.980,0.980,94.118,3.922,0.0,0.0,30.693,69.307,0.0,0.0,0.0,0.0,0.0,1.010,94.949,4.040,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,68374528.0,59324928.0,481505280.0,49127243776.0,0.0,81920.0,7.200,0.0,14.0
