"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1520424217.565,0.905,1.301,97.542,0.249,0.0,0.003,0.914,1.168,97.771,0.143,0.0,0.004,0.959,1.301,97.635,0.103,0.0,0.002,0.935,1.463,97.443,0.151,0.0,0.007,0.844,1.344,97.717,0.093,0.0,0.002,1.037,1.365,97.439,0.156,0.0,0.002,0.840,1.145,97.468,0.544,0.0,0.002,0.805,1.267,97.678,0.248,0.0,0.002,0.906,1.353,97.180,0.558,0.0,0.003,0.0,0.0,434266112.0,49332051968.0,405581.785,57155.030,1.904,3.543,2.700
1520424219.225,1.134,1.134,71.882,25.850,0.0,0.0,0.606,0.0,95.152,4.242,0.0,0.0,6.061,1.818,25.455,66.667,0.0,0.0,0.599,0.599,93.413,5.389,0.0,0.0,0.0,1.198,98.802,0.0,0.0,0.0,0.602,1.205,94.578,3.614,0.0,0.0,0.599,0.599,80.240,18.563,0.0,0.0,0.602,1.205,73.494,24.699,0.0,0.0,1.205,2.410,11.446,84.940,0.0,0.0,0.0,0.0,440475648.0,49318674432.0,450560.0,53248.0,19.200,76.0,6.0
1520424219.539,4.724,3.937,56.299,34.646,0.0,0.394,32.258,6.452,61.290,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.667,3.333,0.0,0.0,0.0,3.226,96.774,0.0,0.0,0.0,3.125,6.250,90.625,0.0,0.0,0.0,0.0,6.452,12.903,80.645,0.0,0.0,0.0,3.226,0.0,96.774,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,440606720.0,49317122048.0,1003520.0,61440.0,43.200,184.0,10.0
1520424220.540,2.008,1.882,76.788,19.322,0.0,0.0,0.0,1.0,75.0,24.0,0.0,0.0,1.0,2.0,81.0,16.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.0,3.0,93.0,3.0,0.0,0.0,1.0,1.0,91.0,7.0,0.0,0.0,10.891,3.960,70.297,14.851,0.0,0.0,1.010,2.020,64.646,32.323,0.0,0.0,2.0,5.0,38.0,55.0,0.0,0.0,0.0,0.0,443551744.0,49307361280.0,3936256.0,65536.0,78.800,363.0,5.0
1520424221.540,6.091,23.096,65.482,5.330,0.0,0.0,6.061,22.222,69.697,2.020,0.0,0.0,5.263,22.105,67.368,5.263,0.0,0.0,2.970,26.733,68.317,1.980,0.0,0.0,7.0,19.0,68.0,6.0,0.0,0.0,4.124,23.711,69.072,3.093,0.0,0.0,3.061,15.306,69.388,12.245,0.0,0.0,15.686,24.510,56.863,2.941,0.0,0.0,4.124,28.866,56.701,10.309,0.0,0.0,0.0,0.0,443998208.0,49303310336.0,1183744.0,53248.0,33.200,82.0,11.0
1520424222.540,2.635,3.890,81.179,12.296,0.0,0.0,1.020,4.082,94.898,0.0,0.0,0.0,12.745,5.882,81.373,0.0,0.0,0.0,2.041,3.061,92.857,2.041,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,1.0,6.0,92.0,1.0,0.0,0.0,0.0,1.031,55.670,43.299,0.0,0.0,0.990,5.941,92.079,0.990,0.0,0.0,2.020,3.030,42.424,52.525,0.0,0.0,16199680.0,0.0,459001856.0,49288163328.0,15683584.0,503808.0,93.200,195.0,36.0
1520424223.540,3.275,7.053,74.181,15.491,0.0,0.0,1.0,6.0,89.0,4.0,0.0,0.0,12.0,12.0,28.0,48.0,0.0,0.0,4.0,9.0,85.0,2.0,0.0,0.0,2.062,7.216,67.010,23.711,0.0,0.0,2.0,7.0,76.0,15.0,0.0,0.0,2.970,4.950,65.347,26.733,0.0,0.0,0.0,4.082,94.898,1.020,0.0,0.0,1.020,6.122,89.796,3.061,0.0,0.0,32768000.0,19928064.0,467271680.0,49276407808.0,8826880.0,544768.0,102.800,120.0,30.0
1520424224.540,4.135,8.020,72.306,15.539,0.0,0.0,3.061,3.061,93.878,0.0,0.0,0.0,3.922,5.882,81.373,8.824,0.0,0.0,6.0,13.0,75.0,6.0,0.0,0.0,1.980,4.950,47.525,45.545,0.0,0.0,0.0,8.0,79.0,13.0,0.0,0.0,3.061,25.510,26.531,44.898,0.0,0.0,1.010,1.010,95.960,2.020,0.0,0.0,13.861,2.970,78.218,4.950,0.0,0.0,114491392.0,83746304.0,474083328.0,49020903424.0,4403200.0,860160.0,56.400,54.0,67.0
1520424225.540,4.005,24.406,69.086,2.503,0.0,0.0,3.030,7.071,89.899,0.0,0.0,0.0,8.0,84.0,8.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,1.020,97.959,1.020,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,14.851,4.950,80.198,0.0,0.0,0.0,0.0,1.0,82.0,17.0,0.0,0.0,113614848.0,82761728.0,474595328.0,49012682752.0,172032.0,299008.0,20.0,5.0,29.0
1520424226.540,6.875,21.500,70.0,1.500,0.0,0.125,25.743,73.267,0.0,0.0,0.0,0.990,14.0,3.0,83.0,0.0,0.0,0.0,0.990,0.990,96.040,1.980,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,0.0,0.0,1.980,96.040,1.980,0.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,115294208.0,85613568.0,475017216.0,49010139136.0,688128.0,81920.0,14.0,20.0,14.0
