"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1519486712.732,0.854,0.697,98.142,0.303,0.0,0.004,0.843,0.655,98.193,0.306,0.0,0.004,1.080,0.738,97.881,0.297,0.0,0.004,0.809,0.671,98.200,0.316,0.0,0.004,0.822,0.706,98.170,0.297,0.0,0.004,0.825,0.726,98.143,0.302,0.0,0.004,0.851,0.706,98.140,0.299,0.0,0.004,0.819,0.698,98.177,0.303,0.0,0.004,0.786,0.672,98.231,0.307,0.0,0.004,0.0,0.0,345305088.0,49256095744.0,68411.674,69245.396,2.264,1.528,3.021
1519486714.483,1.003,1.003,70.129,27.794,0.0,0.072,0.0,1.149,91.954,6.897,0.0,0.0,0.575,1.149,5.172,93.103,0.0,0.0,0.568,1.136,84.659,13.636,0.0,0.0,0.568,2.273,92.045,5.114,0.0,0.0,0.0,0.575,89.080,10.345,0.0,0.0,4.651,1.163,30.233,63.953,0.0,0.0,0.0,0.0,70.520,29.480,0.0,0.0,0.571,0.0,97.143,2.286,0.0,0.0,0.0,0.0,350990336.0,49242808320.0,364544.0,110592.0,19.600,72.0,9.0
1519486714.732,7.576,3.535,75.253,13.636,0.0,0.0,4.0,12.0,76.0,8.0,0.0,0.0,4.0,8.0,36.0,52.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,4.0,0.0,56.0,36.0,0.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.652,4.348,0.0,0.0,3.846,0.0,96.154,0.0,0.0,0.0,44.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,351129600.0,49239269376.0,1146880.0,12288.0,17.200,176.0,3.0
1519486715.733,3.254,7.635,77.222,11.890,0.0,0.0,2.0,7.0,89.0,2.0,0.0,0.0,2.020,8.081,80.808,9.091,0.0,0.0,1.980,8.911,71.287,17.822,0.0,0.0,12.871,6.931,72.277,7.921,0.0,0.0,2.0,9.0,72.0,17.0,0.0,0.0,2.020,6.061,90.909,1.010,0.0,0.0,1.010,6.061,73.737,19.192,0.0,0.0,2.020,9.091,67.677,21.212,0.0,0.0,2478080.0,1881088.0,354734080.0,49231249408.0,4620288.0,94208.0,85.600,193.0,10.0
1519486716.733,2.384,1.004,82.936,13.676,0.0,0.0,1.020,2.041,92.857,4.082,0.0,0.0,12.121,1.010,86.869,0.0,0.0,0.0,0.0,1.0,91.0,8.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.010,2.020,91.919,5.051,0.0,0.0,1.980,0.990,97.030,0.0,0.0,0.0,0.0,0.0,83.838,16.162,0.0,0.0,2.0,2.0,22.0,74.0,0.0,0.0,16633856.0,0.0,369364992.0,49215217664.0,14131200.0,536576.0,93.200,197.0,25.0
1519486717.733,3.015,3.141,82.412,11.432,0.0,0.0,12.871,2.970,84.158,0.0,0.0,0.0,1.980,5.941,92.079,0.0,0.0,0.0,1.020,1.020,97.959,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,3.030,2.020,32.323,62.626,0.0,0.0,1.020,1.020,96.939,1.020,0.0,0.0,3.030,6.061,62.626,28.283,0.0,0.0,2.0,3.0,95.0,0.0,0.0,0.0,33988608.0,46199296.0,382517248.0,49171750912.0,12685312.0,118784.0,82.800,187.0,10.0
1519486718.733,5.283,10.189,81.635,2.893,0.0,0.0,0.0,1.010,92.929,6.061,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,94.059,3.960,0.0,0.0,11.111,3.030,85.859,0.0,0.0,0.0,2.020,5.051,83.838,9.091,0.0,0.0,5.0,51.0,44.0,0.0,0.0,0.0,3.960,3.960,89.109,2.970,0.0,0.0,19.0,15.0,63.0,3.0,0.0,0.0,54071296.0,44954624.0,385241088.0,49077026816.0,2588672.0,266240.0,20.0,62.0,14.0
1519486719.733,8.040,7.915,83.166,0.879,0.0,0.0,1.980,0.990,93.069,3.960,0.0,0.0,14.0,3.0,83.0,0.0,0.0,0.0,1.0,1.0,94.0,4.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,54071296.0,44940288.0,385441792.0,49076039680.0,0.0,98304.0,7.600,0.0,10.0
1519486720.733,8.875,7.375,79.750,4.0,0.0,0.0,0.0,3.061,92.857,4.082,0.0,0.0,12.121,4.040,83.838,0.0,0.0,0.0,1.0,1.0,92.0,6.0,0.0,0.0,0.0,0.990,96.040,2.970,0.0,0.0,2.041,0.0,95.918,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,2.020,81.818,14.141,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,54071296.0,45128704.0,385597440.0,49075658752.0,1552384.0,94208.0,30.400,89.0,10.0
1519486721.733,10.773,7.605,81.115,0.507,0.0,0.0,21.429,16.327,62.245,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,34.653,20.792,44.554,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,6.250,5.208,84.375,4.167,0.0,0.0,12.0,5.0,83.0,0.0,0.0,0.0,9.375,10.417,80.208,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,62726144.0,55614464.0,389976064.0,49061142528.0,4116480.0,16384.0,5.200,38.0,4.0
