"epoch","total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"memory usage",,,,"dsk/sda",,"sda","dsk/sda",
"epoch","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","ps","ps_mem","cach","free","read","writ","util","reads","writs"
1522993979.542,2.030,5.676,92.127,0.166,0.0,0.002,1.698,3.459,94.737,0.103,0.0,0.003,2.113,6.237,91.582,0.066,0.0,0.001,1.745,4.204,93.950,0.097,0.0,0.004,2.332,6.476,91.128,0.063,0.0,0.001,2.552,9.197,88.123,0.126,0.0,0.001,1.673,3.462,94.544,0.320,0.0,0.001,2.377,8.550,88.894,0.178,0.0,0.001,1.745,3.807,94.073,0.374,0.0,0.002,130220032.0,124347904.0,683544576.0,48825856000.0,79736.811,34572.598,1.256,1.161,2.397
1522993981.271,5.390,10.998,68.390,15.076,0.0,0.146,11.364,15.341,48.864,24.432,0.0,0.0,4.651,10.465,84.302,0.581,0.0,0.0,6.433,9.357,49.708,33.918,0.0,0.585,3.488,6.977,85.465,4.070,0.0,0.0,4.094,12.281,50.877,32.749,0.0,0.0,4.118,12.941,75.294,7.059,0.0,0.588,3.509,11.696,73.684,11.111,0.0,0.0,5.233,8.721,78.488,6.977,0.0,0.581,130220032.0,124348928.0,688111616.0,48813469696.0,819200.0,16384.0,20.800,81.0,4.0
1522993981.541,9.813,16.822,61.682,11.682,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,7.407,11.111,81.481,0.0,0.0,0.0,3.704,18.519,77.778,0.0,0.0,0.0,0.0,15.385,73.077,11.538,0.0,0.0,7.143,7.143,35.714,50.0,0.0,0.0,0.0,14.286,85.714,0.0,0.0,0.0,7.143,32.143,32.143,28.571,0.0,0.0,53.571,25.0,21.429,0.0,0.0,0.0,130220032.0,124298752.0,688644096.0,48812871680.0,917504.0,16384.0,26.400,66.0,4.0
1522993982.542,4.030,4.534,69.018,22.418,0.0,0.0,1.010,3.030,56.566,39.394,0.0,0.0,1.020,6.122,92.857,0.0,0.0,0.0,2.062,2.062,95.876,0.0,0.0,0.0,14.851,5.941,79.208,0.0,0.0,0.0,5.051,4.040,13.131,77.778,0.0,0.0,4.082,3.061,57.143,35.714,0.0,0.0,3.030,7.071,80.808,9.091,0.0,0.0,0.0,4.040,76.768,19.192,0.0,0.0,130220032.0,124289536.0,690450432.0,48805040128.0,3596288.0,348160.0,89.600,437.0,31.0
1522993983.542,2.771,4.912,77.708,14.610,0.0,0.0,3.030,2.020,86.869,8.081,0.0,0.0,1.980,3.960,90.099,3.960,0.0,0.0,3.061,14.286,74.490,8.163,0.0,0.0,1.010,4.040,86.869,8.081,0.0,0.0,0.0,3.061,80.612,16.327,0.0,0.0,0.0,4.082,90.816,5.102,0.0,0.0,1.010,4.040,52.525,42.424,0.0,0.0,12.121,4.040,60.606,23.232,0.0,0.0,137211904.0,127394304.0,693727232.0,48799666176.0,3497984.0,135168.0,96.800,175.0,16.0
1522993984.542,5.038,6.801,68.388,19.647,0.0,0.126,2.0,5.0,93.0,0.0,0.0,0.0,1.010,3.030,95.960,0.0,0.0,0.0,3.061,1.020,95.918,0.0,0.0,0.0,9.804,19.608,69.608,0.980,0.0,0.0,6.0,4.0,90.0,0.0,0.0,0.0,13.861,7.921,38.614,39.604,0.0,0.0,2.020,7.071,57.576,33.333,0.0,0.0,2.062,7.216,6.186,84.536,0.0,0.0,158371840.0,138750464.0,697176064.0,48787394560.0,4526080.0,77824.0,96.0,143.0,12.0
1522993985.542,9.091,32.955,48.359,9.596,0.0,0.0,10.638,22.340,51.064,15.957,0.0,0.0,10.680,42.718,39.806,6.796,0.0,0.0,4.0,38.0,46.0,12.0,0.0,0.0,7.071,35.354,51.515,6.061,0.0,0.0,8.824,43.137,35.294,12.745,0.0,0.0,5.263,20.0,61.053,13.684,0.0,0.0,5.941,33.663,54.455,5.941,0.0,0.0,20.792,24.752,48.515,5.941,0.0,0.0,241905664.0,187765248.0,700461056.0,48709660672.0,5136384.0,163840.0,68.0,182.0,14.0
1522993986.542,18.830,45.293,21.756,13.995,0.0,0.127,10.204,36.735,27.551,25.510,0.0,0.0,23.0,60.0,4.0,13.0,0.0,0.0,27.273,39.394,20.202,13.131,0.0,0.0,13.0,36.0,20.0,30.0,0.0,1.0,27.273,47.475,14.141,11.111,0.0,0.0,21.649,50.515,20.619,7.216,0.0,0.0,14.286,55.102,30.612,0.0,0.0,0.0,11.828,37.634,39.785,10.753,0.0,0.0,279527424.0,245535744.0,742612992.0,48664891392.0,63119360.0,12288.0,98.800,525.0,3.0
1522993987.542,13.476,23.174,34.635,28.463,0.0,0.252,20.792,9.901,2.970,65.347,0.0,0.990,5.051,14.141,80.808,0.0,0.0,0.0,11.111,9.091,0.0,78.788,0.0,1.010,5.208,11.458,8.333,75.0,0.0,0.0,2.0,4.0,94.0,0.0,0.0,0.0,27.0,65.0,0.0,8.0,0.0,0.0,32.0,66.0,2.0,0.0,0.0,0.0,4.950,5.941,86.139,1.980,0.0,0.990,487612416.0,309877248.0,823910400.0,48590929920.0,58032128.0,372736.0,105.600,466.0,15.0
1522993988.542,17.067,28.824,33.881,20.228,0.0,0.0,26.531,23.469,9.184,40.816,0.0,0.0,12.0,25.0,63.0,0.0,0.0,0.0,7.143,20.408,2.041,70.408,0.0,0.0,7.0,23.0,68.0,2.0,0.0,0.0,6.122,15.306,70.408,8.163,0.0,0.0,19.192,23.232,29.293,28.283,0.0,0.0,33.0,52.0,3.0,12.0,0.0,0.0,26.263,47.475,23.232,3.030,0.0,0.0,524275712.0,352727552.0,844169216.0,48548794368.0,43032576.0,147456.0,93.600,432.0,12.0
1522993989.542,27.985,23.877,27.086,20.924,0.0,0.128,35.354,10.101,49.495,4.040,0.0,1.010,13.131,26.263,15.152,44.444,0.0,1.010,16.327,11.224,26.531,45.918,0.0,0.0,30.612,16.327,45.918,7.143,0.0,0.0,22.340,18.085,42.553,17.021,0.0,0.0,35.789,29.474,20.0,14.737,0.0,0.0,40.0,48.421,11.579,0.0,0.0,0.0,29.897,30.928,8.247,30.928,0.0,0.0,850608128.0,435454976.0,888930304.0,48442814464.0,20975616.0,290816.0,65.200,231.0,19.0
